,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
0,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ABATANGELO Laura,F,Politecnico di MILANO,,MAT/05,01/A3,MATEMATICA,2022,01 - Scienze matematiche e informatiche
1,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ABATANGELO Nicola,M,BOLOGNA,,MAT/05,01/A3,MATEMATICA,2022,01 - Scienze matematiche e informatiche
2,Ordinario,ABATE Andrea Francesco,M,SALERNO,,INF/01,01/B1,Informatica,2022,01 - Scienze matematiche e informatiche
3,Ordinario,ABATE Marco,M,PISA,,MAT/03,01/A2,MATEMATICA,2022,01 - Scienze matematiche e informatiche
4,Associato confermato,ABBATTISTA Fabio,M,BARI,,INF/01,01/B1,Informatica,2022,01 - Scienze matematiche e informatiche
5,Associato confermato,ABENDA Simonetta,F,BOLOGNA,,MAT/05,01/A3,Matematica,2022,01 - Scienze matematiche e informatiche
6,Associato,ABREU Marien,F,BASILICATA,,MAT/03,01/A2,"Matematica, Informatica ed Economia",2022,01 - Scienze matematiche e informatiche
7,Associato,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Matematica,2022,01 - Scienze matematiche e informatiche
8,Ordinario,ACAMPORA Giovanni,M,Napoli Federico II,,INF/01,01/B1,"Fisica ""Ettore Pancini""",2022,01 - Scienze matematiche e informatiche
9,Associato confermato,ACCIARO Vincenzo,M,CHIETI-PESCARA,,INF/01,01/B1,Economia,2022,01 - Scienze matematiche e informatiche
10,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ACCIARRI Cristina,F,MODENA e REGGIO EMILIA,,MAT/02,01/A2,"SCIENZE FISICHE, INFORMATICHE E MATEMATICHE",2022,01 - Scienze matematiche e informatiche
11,Ordinario,ACERBI Emilio Daniele G.,M,PARMA,,MAT/05,01/A3,"Scienze Matematiche, Fisiche e Informatiche",2022,01 - Scienze matematiche e informatiche
12,Associato,ACETO Lidia,F,PIEMONTE ORIENTALE,,MAT/08,01/A5,Scienze e Innovazione Tecnologica (DISIT),2022,01 - Scienze matematiche e informatiche
