,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
0,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ABATANGELO Laura,F,MILANO-BICOCCA,,MAT/05,01/A3,MATEMATICA E APPLICAZIONI,2019,01 - Scienze matematiche e informatiche
1,Associato confermato,ABATE Andrea Francesco,M,SALERNO,,INF/01,01/B1,Informatica,2019,01 - Scienze matematiche e informatiche
2,Ordinario,ABATE Marco,M,PISA,,MAT/03,01/A2,MATEMATICA,2019,01 - Scienze matematiche e informatiche
3,Associato confermato,ABBATTISTA Fabio,M,BARI,,INF/01,01/B1,Informatica,2019,01 - Scienze matematiche e informatiche
4,Associato confermato,ABENDA Simonetta,F,BOLOGNA,,MAT/05,01/A3,Matematica,2019,01 - Scienze matematiche e informatiche
5,Ricercatore,ABREU Marien,F,BASILICATA,,MAT/03,01/A2,"Matematica, Informatica ed Economia",2019,01 - Scienze matematiche e informatiche
6,Associato,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Matematica,2019,01 - Scienze matematiche e informatiche
7,Associato confermato,ACAMPORA Giovanni,M,Napoli Federico II,,INF/01,01/B1,"Fisica ""Ettore Pancini""",2019,01 - Scienze matematiche e informatiche
8,Associato confermato,ACCIARO Vincenzo,M,CHIETI-PESCARA,,INF/01,01/B1,Economia,2019,01 - Scienze matematiche e informatiche
9,Ordinario,ACERBI Emilio Daniele G.,M,PARMA,,MAT/05,01/A3,"Scienze Matematiche, Fisiche e Informatiche",2019,01 - Scienze matematiche e informatiche
10,Associato,ACETO Lidia,F,PISA,,MAT/08,01/A5,MATEMATICA,2019,01 - Scienze matematiche e informatiche
11,Ordinario,ACETO Luca,M,Gran Sasso Science Institute,,INF/01,01/B1,Area di Informatica,2019,01 - Scienze matematiche e informatiche
12,Associato confermato,ACQUISTAPACE Paolo,M,PISA,,MAT/05,01/A3,MATEMATICA,2019,01 - Scienze matematiche e informatiche
13,Ordinario,ADAMI Riccardo,M,Politecnico di TORINO,,MAT/05,01/A3,SCIENZE MATEMATICHE Giuseppe Luigi Lagrange,2019,01 - Scienze matematiche e informatiche
14,Associato confermato,AGLIANO' Paolo,M,SIENA,,MAT/02,01/A2,Ingegneria dellInformazione e Scienze Matematiche,2019,01 - Scienze matematiche e informatiche
15,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AGLIARI Elena,F,"ROMA ""La Sapienza""",,MAT/07,01/A4,MATEMATICA,2019,01 - Scienze matematiche e informatiche
16,Ordinario,AGNETIS Alessandro,M,SIENA,,MAT/09,01/A6,Ingegneria dellInformazione e Scienze Matematiche,2019,01 - Scienze matematiche e informatiche
17,Associato confermato,AGOSTINI Alessandra,F,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2019,01 - Scienze matematiche e informatiche
18,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AGOSTINIANI Virginia,F,VERONA,,MAT/05,01/A3,INFORMATICA,2019,01 - Scienze matematiche e informatiche
19,Ordinario,AGRACHEV Andrey,M,SISSA - TRIESTE,Classe di Fisica e Classe di Matematica,MAT/05,01/A3,AREA MATEMATICA,2019,01 - Scienze matematiche e informatiche
20,Associato,AGUGLIA Angela,F,Politecnico di BARI,,MAT/03,01/A2,"Dipartimento di Meccanica, Matematica e Management",2019,01 - Scienze matematiche e informatiche
21,Associato,AGUZZOLI Stefano,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2019,01 - Scienze matematiche e informatiche
22,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AHMETOVIC Dragan,M,MILANO,,INF/01,01/B1,INFORMATICA 'GIOVANNI DEGLI ANTONI',2019,01 - Scienze matematiche e informatiche
23,Associato,AIMI Alessandra,F,PARMA,,MAT/08,01/A5,"Scienze Matematiche, Fisiche e Informatiche",2019,01 - Scienze matematiche e informatiche
24,Associato,AIOLLI Fabio,M,PADOVA,,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2019,01 - Scienze matematiche e informatiche
25,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ALAIMO Salvatore,M,CATANIA,,INF/01,01/B1,MEDICINA CLINICA E SPERIMENTALE,2019,01 - Scienze matematiche e informatiche
26,Associato confermato,ALBANESE Angela Anna,F,SALENTO,,MAT/05,01/A3,Matematica e Fisica Ennio De Giorgi,2019,01 - Scienze matematiche e informatiche
27,Associato confermato,ALBANO Alberto,M,TORINO,,MAT/03,01/A2,Matematica Giuseppe Peano,2019,01 - Scienze matematiche e informatiche
28,Associato,ALBANO Giovannina,F,SALERNO,,MAT/04,01/A1,Ingegneria dell'Informazione ed Elettrica e Matematica applicata,2019,01 - Scienze matematiche e informatiche
29,Ordinario,ALBANO Paolo,M,BOLOGNA,,MAT/05,01/A3,Matematica,2019,01 - Scienze matematiche e informatiche
30,Associato,ALBARELLI Andrea,M,"""Ca' Foscari"" VENEZIA",,INF/01,01/B1,"Scienze Ambientali, Informatica e Statistica",2019,01 - Scienze matematiche e informatiche
31,Ordinario,ALBERTI Giovanni,M,PISA,,MAT/05,01/A3,MATEMATICA,2019,01 - Scienze matematiche e informatiche
32,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALBERTI Giovanni,M,GENOVA,,MAT/05,01/A3,MATEMATICA (DIMA),2019,01 - Scienze matematiche e informatiche
33,Associato,ALBERTI Marco,M,FERRARA,,INF/01,01/B1,Matematica e informatica,2019,01 - Scienze matematiche e informatiche
34,Associato,ALBERTINI Francesca,F,PADOVA,,MAT/05,01/A3,TECNICA E GESTIONE DEI SISTEMI INDUSTRIALI - DTG,2019,01 - Scienze matematiche e informatiche
35,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALBI Giacomo,M,VERONA,,MAT/08,01/A5,INFORMATICA,2019,01 - Scienze matematiche e informatiche
36,Associato,ALDINI Alessandro,M,Urbino Carlo Bo,,INF/01,01/B1,Scienze Pure e Applicate (DiSPeA),2019,01 - Scienze matematiche e informatiche
37,Ordinario,ALDINUCCI Marco,M,TORINO,,INF/01,01/B1,Informatica,2019,01 - Scienze matematiche e informatiche
38,Associato confermato,ALESSI Fabio,M,UDINE,,INF/01,01/B1,"Scienze Matematiche, Informatiche e Fisiche",2019,01 - Scienze matematiche e informatiche
