,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
39,Associato,ALESSIO Francesca Gemma,F,Politecnica delle MARCHE,,MAT/05,01/A3,INGEGNERIA INDUSTRIALE E SCIENZE MATEMATICHE,2019,01 - Scienze matematiche e informatiche
40,Ordinario,ALETTI Giacomo,M,MILANO,,MAT/06,01/A3,Scienze e politiche ambientali,2019,01 - Scienze matematiche e informatiche
41,Ricercatore,ALFIERI Roberto,M,PARMA,,INF/01,01/B1,"Scienze Matematiche, Fisiche e Informatiche",2019,01 - Scienze matematiche e informatiche
42,Associato,ALI' Giuseppe,M,della CALABRIA,,MAT/07,01/A4,Fisica,2019,01 - Scienze matematiche e informatiche
43,Associato,ALICANDRO Roberto,M,CASSINO e LAZIO MERIDIONALE,,MAT/05,01/A3,"Ingegneria Elettrica e dell'Informazione ""Maurizio Scarano""",2019,01 - Scienze matematiche e informatiche
44,Associato,ALONSO RODRIGUEZ Ana Maria,F,TRENTO,,MAT/08,01/A5,Matematica,2019,01 - Scienze matematiche e informatiche
45,Ordinario,ALTOMARE Francesco,M,BARI,,MAT/05,01/A3,Matematica,2019,01 - Scienze matematiche e informatiche
46,Associato,ALVIANO Mario,M,della CALABRIA,,INF/01,01/B1,Matematica e Informatica - DeMaCS,2019,01 - Scienze matematiche e informatiche
47,Ordinario,ALVINO Angelo,M,Napoli Federico II,,MAT/05,01/A3,"Matematica e Applicazioni ""Renato Caccioppoli""",2019,01 - Scienze matematiche e informatiche
48,Associato confermato,ALZATI Alberto,M,MILANO,,MAT/03,01/A2,Matematica 'Federigo Enriques',2019,01 - Scienze matematiche e informatiche
49,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AMADINI Roberto,M,BOLOGNA,,INF/01,01/B1,INFORMATICA - SCIENZA E INGEGNERIA,2019,01 - Scienze matematiche e informatiche
50,Ricercatore,AMADORI Anna Lisa,F,"""Parthenope"" di NAPOLI",,MAT/05,01/A3,SCIENZE E TECNOLOGIE,2019,01 - Scienze matematiche e informatiche
51,Ordinario,AMADORI Debora,F,L'AQUILA,,MAT/05,01/A3,Ingegneria e scienze dell'informazione e matematica,2019,01 - Scienze matematiche e informatiche
52,Ordinario,AMALDI Edoardo,M,Politecnico di MILANO,,MAT/09,01/A6,"Elettronica, Informazione e Bioingegneria",2019,01 - Scienze matematiche e informatiche
53,Associato confermato,AMAR Micol,F,"ROMA ""La Sapienza""",,MAT/05,01/A3,Scienze di base e applicate per l'ingegneria,2019,01 - Scienze matematiche e informatiche
54,Associato,AMATO Gianluca,M,CHIETI-PESCARA,,MAT/01,01/A1,Economia aziendale,2019,01 - Scienze matematiche e informatiche
55,Ricercatore,AMATO Roberto,M,MESSINA,,MAT/05,01/A3,Ingegneria,2019,01 - Scienze matematiche e informatiche
56,Ordinario,AMBRIOLA Vincenzo,M,PISA,,INF/01,01/B1,INFORMATICA,2019,01 - Scienze matematiche e informatiche
57,Ordinario,AMBROSI Davide Carlo,M,Politecnico di TORINO,,MAT/07,01/A4,SCIENZE MATEMATICHE Giuseppe Luigi Lagrange,2019,01 - Scienze matematiche e informatiche
58,Associato,AMBROSINO Daniela,F,GENOVA,,MAT/09,01/A6,Economia,2019,01 - Scienze matematiche e informatiche
59,Ordinario,AMBROSIO Luigi,M,Scuola Normale Superiore di PISA,,MAT/05,01/A3,Classe di scienze,2019,01 - Scienze matematiche e informatiche
60,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AMBROSIO Vincenzo,M,Politecnica delle MARCHE,,MAT/05,01/A3,INGEGNERIA INDUSTRIALE E SCIENZE MATEMATICHE,2019,01 - Scienze matematiche e informatiche
61,Associato,AMENDOLA Gennaro,M,"Univ. Telematica ""E-CAMPUS""",Ingegneria,MAT/03,01/A2,DIPARTIMENTO E-CAMPUS,2019,01 - Scienze matematiche e informatiche
62,Ricercatore,AMODDEO Antonino,M,Mediterranea di REGGIO CALABRIA,,MAT/07,01/A4,"Ingegneria Civile, dell'Energia, dell'Ambiente e dei Materiali",2019,01 - Scienze matematiche e informatiche
63,Associato confermato,AMODIO Pierluigi,M,BARI,,MAT/08,01/A5,Matematica,2019,01 - Scienze matematiche e informatiche
64,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AMOROSI Lavinia,F,"ROMA ""La Sapienza""",,MAT/09,01/A6,SCIENZE STATISTICHE,2019,01 - Scienze matematiche e informatiche
65,Associato confermato,AMOROSO Alessandro,M,BOLOGNA,,INF/01,01/B1,Informatica - Scienza e Ingegneria,2019,01 - Scienze matematiche e informatiche
66,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AMPARORE Elvio Gilberto,M,TORINO,,INF/01,01/B1,INFORMATICA,2019,01 - Scienze matematiche e informatiche
67,Ricercatore,ANATRIELLO Giuseppina,F,Napoli Federico II,,MAT/05,01/A3,Architettura,2019,01 - Scienze matematiche e informatiche
68,Associato,ANCONA Davide,M,GENOVA,,INF/01,01/B1,"Informatica, bioingegneria,robotica e ingegneria dei sistemi (DIBRIS)",2019,01 - Scienze matematiche e informatiche
69,Ordinario,ANCONA Fabio,M,PADOVA,,MAT/05,01/A3,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2019,01 - Scienze matematiche e informatiche
70,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ANDOLINA Salvatore,M,PALERMO,,INF/01,01/B1,MATEMATICA E INFORMATICA,2019,01 - Scienze matematiche e informatiche
71,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ANDRA' Chiara,F,PIEMONTE ORIENTALE,,MAT/04,01/A1,SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA,2019,01 - Scienze matematiche e informatiche
72,Ordinario,ANDREATTA Fabrizio,M,MILANO,,MAT/02,01/A2,Matematica 'Federigo Enriques',2019,01 - Scienze matematiche e informatiche
73,Ordinario,ANDREATTA Marco,M,TRENTO,,MAT/03,01/A2,Matematica,2019,01 - Scienze matematiche e informatiche
74,Ricercatore,ANDREOLINI Mauro,M,MODENA e REGGIO EMILIA,,INF/01,01/B1,"Scienze fisiche, informatiche e matematiche",2019,01 - Scienze matematiche e informatiche
75,Ordinario,ANDRETTA Alessandro,M,TORINO,,MAT/01,01/A1,Matematica Giuseppe Peano,2019,01 - Scienze matematiche e informatiche
76,Ordinario,ANDREUCCI Daniele,M,"ROMA ""La Sapienza""",,MAT/07,01/A4,Scienze di base e applicate per l'ingegneria,2019,01 - Scienze matematiche e informatiche
77,Ricercatore,ANEDDA Claudia,F,CAGLIARI,,MAT/05,01/A3,Matematica e Informatica,2019,01 - Scienze matematiche e informatiche
78,Ordinario,ANELLO Giovanni,M,MESSINA,,MAT/05,01/A3,"Scienze Matematiche ed Informatiche, Scienze Fisiche e Scienze della Terra",2019,01 - Scienze matematiche e informatiche
79,Ordinario,ANGELERI Lidia,F,VERONA,,MAT/02,01/A2,Informatica,2019,01 - Scienze matematiche e informatiche
80,Associato,ANGELLA Daniele,M,FIRENZE,,MAT/03,01/A2,Matematica e Informatica Ulisse Dini(DIMAI),2019,01 - Scienze matematiche e informatiche
81,Associato,ANGELONI Laura,F,PERUGIA,,MAT/05,01/A3,MATEMATICA E INFORMATICA,2019,01 - Scienze matematiche e informatiche
82,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ANGIULI Luciana,F,SALENTO,,MAT/05,01/A3,MATEMATICA E FISICA ENNIO DE GIORGI,2019,01 - Scienze matematiche e informatiche
83,Associato confermato,ANGLANO Cosimo Filomeno,M,PIEMONTE ORIENTALE,,INF/01,01/B1,Scienze e Innovazione Tecnologica (DISIT),2019,01 - Scienze matematiche e informatiche
84,Associato,ANISETTI Marco,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2019,01 - Scienze matematiche e informatiche
85,Ricercatore,ANNUNZIATO Mario,M,SALERNO,,MAT/08,01/A5,Fisica 'E.R. Caianiello',2019,01 - Scienze matematiche e informatiche
86,Ricercatore,ANSELMA Luca,M,TORINO,,INF/01,01/B1,Informatica,2019,01 - Scienze matematiche e informatiche
87,Associato confermato,ANSELMO Marcella,F,SALERNO,,INF/01,01/B1,Informatica,2019,01 - Scienze matematiche e informatiche
88,Ricercatore,ANSINI Nadia,F,"ROMA ""La Sapienza""",,MAT/05,01/A3,Matematica,2019,01 - Scienze matematiche e informatiche
89,Ricercatore,ANTONACCI Flavia,F,CHIETI-PESCARA,,MAT/05,01/A3,Economia,2019,01 - Scienze matematiche e informatiche
90,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ANTONELLI Paolo,M,Gran Sasso Science Institute,,MAT/05,01/A3,AREA DI MATEMATICA,2019,01 - Scienze matematiche e informatiche
91,Ordinario,ANTONIETTI Paola Francesca,F,Politecnico di MILANO,,MAT/08,01/A5,Matematica,2019,01 - Scienze matematiche e informatiche
92,Associato,ANTONINI Samuele,M,PAVIA,,MAT/04,01/A1,MATEMATICA,2019,01 - Scienze matematiche e informatiche
93,Associato confermato,ANTONIOTTI Marco,M,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2019,01 - Scienze matematiche e informatiche
94,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ARAGONA Riccardo,M,L'AQUILA,,MAT/02,01/A2,INGEGNERIA E SCIENZE DELL'INFORMAZIONE E MATEMATICA,2019,01 - Scienze matematiche e informatiche
95,Ordinario,ARBIB Claudio,M,L'AQUILA,,MAT/09,01/A6,Ingegneria e scienze dell'informazione e matematica,2019,01 - Scienze matematiche e informatiche
96,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ARCELLI Davide,M,L'AQUILA,,INF/01,01/B1,INGEGNERIA E SCIENZE DELL'INFORMAZIONE E MATEMATICA,2019,01 - Scienze matematiche e informatiche
97,Associato,ARCHETTI Claudia,F,BRESCIA,,MAT/09,01/A6,ECONOMIA E MANAGEMENT,2019,01 - Scienze matematiche e informatiche
98,Ordinario,ARCOZZI Nicola,M,BOLOGNA,,MAT/05,01/A3,Matematica,2019,01 - Scienze matematiche e informatiche
99,Associato,ARDAGNA Claudio Agostino,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2019,01 - Scienze matematiche e informatiche
100,Associato confermato,ARDISSONO Liliana,F,TORINO,,INF/01,01/B1,Informatica,2019,01 - Scienze matematiche e informatiche
101,Associato,ARDIZZONI Alessandro,M,TORINO,,MAT/02,01/A2,Matematica Giuseppe Peano,2019,01 - Scienze matematiche e informatiche
102,Ordinario,AREZZO Claudio,M,PARMA,,MAT/03,01/A2,"Scienze Matematiche, Fisiche e Informatiche",2019,01 - Scienze matematiche e informatiche
103,Associato,ARINGHIERI Roberto,M,TORINO,,MAT/09,01/A6,Informatica,2019,01 - Scienze matematiche e informatiche
104,Ordinario,ARIOLI Gianni,M,Politecnico di MILANO,,MAT/05,01/A3,Matematica,2019,01 - Scienze matematiche e informatiche
105,Straordinario tempo determinato,ARIOLI Mario,M,"LUM ""Giuseppe Degennaro""",,MAT/05,01/A3,"MANAGEMENT, FINANZA E TECNOLOGIA",2019,01 - Scienze matematiche e informatiche
106,Associato confermato,ARMANO Giuliano,M,CAGLIARI,,INF/01,01/B1,Matematica e Informatica,2019,01 - Scienze matematiche e informatiche
107,Ordinario,AROSIO Alberto Giorgio,M,PARMA,,MAT/05,01/A3,"Scienze Matematiche, Fisiche e Informatiche",2019,01 - Scienze matematiche e informatiche
108,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AROSIO Leandro,M,"ROMA ""Tor Vergata""",,MAT/03,01/A2,MATEMATICA,2019,01 - Scienze matematiche e informatiche
109,Associato,ARTALE Alessandro,M,Libera Università di BOLZANO,Scienze e Tecnologie Informatiche,INF/01,01/B1,FACOLTA' DI INGEGNERIA,2019,01 - Scienze matematiche e informatiche
110,Ordinario,ARUFFO Ada,F,GENOVA,,MAT/05,01/A3,Matematica (DIMA),2019,01 - Scienze matematiche e informatiche
111,Associato,ASCANELLI Alessia,F,FERRARA,,MAT/05,01/A3,Matematica e informatica,2019,01 - Scienze matematiche e informatiche
112,Ricercatore,ASCENZI Oscar,M,FERRARA,,MAT/05,01/A3,Matematica e informatica,2019,01 - Scienze matematiche e informatiche
113,Ricercatore,ASCI Claudio,M,TRIESTE,,MAT/06,01/A3,Matematica e Geoscienze,2019,01 - Scienze matematiche e informatiche
114,Ricercatore,ASCOLI Davide,M,TORINO,,MAT/05,01/A3,Matematica Giuseppe Peano,2019,01 - Scienze matematiche e informatiche
115,Ordinario,ASPERTI Andrea,M,BOLOGNA,,INF/01,01/B1,Informatica - Scienza e Ingegneria,2019,01 - Scienze matematiche e informatiche
116,Associato confermato,ASTENGO Francesca,F,GENOVA,,MAT/05,01/A3,Matematica (DIMA),2019,01 - Scienze matematiche e informatiche
117,Ordinario,ATTARDI Giuseppe,M,PISA,,INF/01,01/B1,INFORMATICA,2019,01 - Scienze matematiche e informatiche
118,Associato,ATZORI Maurizio,M,CAGLIARI,,INF/01,01/B1,Matematica e Informatica,2019,01 - Scienze matematiche e informatiche
119,Ordinario,AULETTA Vincenzo,M,SALERNO,,INF/01,01/B1,Ingegneria dell'Informazione ed Elettrica e Matematica applicata,2019,01 - Scienze matematiche e informatiche
120,Associato,AUTILI Marco,M,L'AQUILA,,INF/01,01/B1,Ingegneria e scienze dell'informazione e matematica,2019,01 - Scienze matematiche e informatiche
121,Associato confermato,AVALLONE Anna,F,BASILICATA,,MAT/05,01/A3,"Matematica, Informatica ed Economia",2019,01 - Scienze matematiche e informatiche
122,Associato,AVANZINI Federico,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2019,01 - Scienze matematiche e informatiche
123,Ordinario,AVELLA Pasquale,M,SANNIO di BENEVENTO,,MAT/09,01/A6,Ingegneria,2019,01 - Scienze matematiche e informatiche
124,Associato confermato,AVELLONE Alessandro,M,MILANO-BICOCCA,,INF/01,01/B1,STATISTICA E METODI QUANTITATIVI,2019,01 - Scienze matematiche e informatiche
125,Ricercatore,AVITABILE Marina,F,MILANO-BICOCCA,,MAT/02,01/A2,MATEMATICA E APPLICAZIONI,2019,01 - Scienze matematiche e informatiche
126,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AVOLA Danilo,M,"ROMA ""La Sapienza""",,INF/01,01/B1,COMUNICAZIONE E RICERCA SOCIALE,2019,01 - Scienze matematiche e informatiche
127,Associato,AYUSO DE DIOS Blanca Pilar,F,MILANO-BICOCCA,,MAT/08,01/A5,MATEMATICA E APPLICAZIONI,2019,01 - Scienze matematiche e informatiche
128,Associato,AZZOLLINI Antonio,M,BASILICATA,,MAT/05,01/A3,"Matematica, Informatica ed Economia",2019,01 - Scienze matematiche e informatiche
129,Ordinario,BABAOGLU Ozalp,M,BOLOGNA,,INF/01,01/B1,Informatica - Scienza e Ingegneria,2019,01 - Scienze matematiche e informatiche
130,Associato,BACCAGLINI-FRANK Anna Ethelwyn,F,PISA,,MAT/04,01/A1,MATEMATICA,2019,01 - Scienze matematiche e informatiche
131,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),BACCIU Davide,M,PISA,,INF/01,01/B1,INFORMATICA,2019,01 - Scienze matematiche e informatiche
132,Ordinario,BADIALE Marino,M,TORINO,,MAT/05,01/A3,Matematica Giuseppe Peano,2019,01 - Scienze matematiche e informatiche
133,Ricercatore,BAGAGIOLO Fabio,M,TRENTO,,MAT/05,01/A3,Matematica,2019,01 - Scienze matematiche e informatiche
134,Ordinario,BAGARELLO Fabio,M,PALERMO,,MAT/07,01/A4,Ingegneria,2019,01 - Scienze matematiche e informatiche
135,Ordinario,BAGNARA Roberto,M,PARMA,,INF/01,01/B1,"Scienze Matematiche, Fisiche e Informatiche",2019,01 - Scienze matematiche e informatiche
136,Associato,BAGNERINI Patrizia,F,GENOVA,,MAT/08,01/A5,"Ingegneria meccanica,energetica,gestionale e dei trasporti (DIME)",2019,01 - Scienze matematiche e informatiche
137,Ordinario,BAIARDI Fabrizio Emilio,M,PISA,,INF/01,01/B1,"FILOLOGIA, LETTERATURA E LINGUISTICA",2019,01 - Scienze matematiche e informatiche
138,Ricercatore,BAIOLETTI Marco,M,PERUGIA,,INF/01,01/B1,MATEMATICA E INFORMATICA,2019,01 - Scienze matematiche e informatiche
139,Ricercatore,BAITI Paolo,M,UDINE,,MAT/05,01/A3,"Scienze Matematiche, Informatiche e Fisiche",2019,01 - Scienze matematiche e informatiche
140,Associato,BALDACCI Roberto,M,BOLOGNA,,MAT/09,01/A6,"Ingegneria dell'Energia Elettrica e dell'Informazione ""Guglielmo Marconi""",2019,01 - Scienze matematiche e informatiche
141,Associato confermato,BALDAN Paolo,M,PADOVA,,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2019,01 - Scienze matematiche e informatiche
142,Ordinario,BALDASSARRI Francesco,M,PADOVA,,MAT/03,01/A2,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2019,01 - Scienze matematiche e informatiche
143,Associato,BALDI Annalisa,F,BOLOGNA,,MAT/05,01/A3,Matematica,2019,01 - Scienze matematiche e informatiche
144,Associato,BALDI Pietro,M,Napoli Federico II,,MAT/05,01/A3,"Matematica e Applicazioni ""Renato Caccioppoli""",2019,01 - Scienze matematiche e informatiche
145,Associato confermato,BALDO Sisto,M,VERONA,,MAT/05,01/A3,Informatica,2019,01 - Scienze matematiche e informatiche
146,Associato confermato,BALDONI Matteo,M,TORINO,,INF/01,01/B1,Informatica,2019,01 - Scienze matematiche e informatiche
147,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),BALLAN Lamberto,M,PADOVA,,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2019,01 - Scienze matematiche e informatiche
148,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),BALLARIN Francesco,M,SISSA - TRIESTE,Classe di Fisica e Classe di Matematica,MAT/08,01/A5,AREA MATEMATICA,2019,01 - Scienze matematiche e informatiche
149,Ordinario,BALLICO Edoardo,M,TRENTO,,MAT/03,01/A2,Matematica,2019,01 - Scienze matematiche e informatiche
150,Ricercatore,BALLIS Demis,M,UDINE,,INF/01,01/B1,"Scienze Matematiche, Informatiche e Fisiche",2019,01 - Scienze matematiche e informatiche
151,Ordinario,BALSAMO Maria Simonetta,F,"""Ca' Foscari"" VENEZIA",,INF/01,01/B1,"Scienze Ambientali, Informatica e Statistica",2019,01 - Scienze matematiche e informatiche
152,Ricercatore,BALZANO Walter,M,Napoli Federico II,,INF/01,01/B1,Ingegneria Elettrica e delle Tecnologie dell'Informazione,2019,01 - Scienze matematiche e informatiche
153,Ordinario,BAMBUSI Dario Paolo,M,MILANO,,MAT/07,01/A4,Matematica 'Federigo Enriques',2019,01 - Scienze matematiche e informatiche
154,Ordinario,BAMPI Franco,M,GENOVA,,MAT/07,01/A4,"Ingegneria meccanica,energetica,gestionale e dei trasporti (DIME)",2019,01 - Scienze matematiche e informatiche
155,Associato,BANDE Gianluca,M,CAGLIARI,,MAT/03,01/A2,Matematica e Informatica,2019,01 - Scienze matematiche e informatiche
156,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),BANDIERA Ruggero,M,"ROMA ""La Sapienza""",,MAT/03,01/A2,MATEMATICA,2019,01 - Scienze matematiche e informatiche
157,Associato,BANDINI Andrea,M,PISA,,MAT/02,01/A2,MATEMATICA,2019,01 - Scienze matematiche e informatiche
158,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),BANDINI Elena,F,MILANO-BICOCCA,,MAT/06,01/A3,MATEMATICA E APPLICAZIONI,2019,01 - Scienze matematiche e informatiche
159,Ordinario,BANDINI Stefania,F,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2019,01 - Scienze matematiche e informatiche
160,Associato,BARACCO Luca,M,PADOVA,,MAT/05,01/A3,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2019,01 - Scienze matematiche e informatiche
161,Ordinario,BARATELLA Stefano,M,TRENTO,,MAT/01,01/A1,Matematica,2019,01 - Scienze matematiche e informatiche
162,Associato,BARBAGALLO Annamaria,F,Napoli Federico II,,MAT/05,01/A3,"Matematica e Applicazioni ""Renato Caccioppoli""",2019,01 - Scienze matematiche e informatiche
163,Associato confermato,BARBANERA Franco,M,CATANIA,,INF/01,01/B1,Matematica e Informatica,2019,01 - Scienze matematiche e informatiche
164,Ricercatore,BARBANTE Paolo Francesco,M,Politecnico di MILANO,,MAT/07,01/A4,Matematica,2019,01 - Scienze matematiche e informatiche
165,Associato,BARBATO David,M,PADOVA,,MAT/06,01/A3,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2019,01 - Scienze matematiche e informatiche
166,Associato,BARBERA Elvira,F,MESSINA,,MAT/07,01/A4,"Scienze Matematiche ed Informatiche, Scienze Fisiche e Scienze della Terra",2019,01 - Scienze matematiche e informatiche
167,Associato confermato,BARBERIS Bruno Giuseppe,M,TORINO,,MAT/07,01/A4,Matematica Giuseppe Peano,2019,01 - Scienze matematiche e informatiche
