Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Associato confermato,VIRDIS Raffaele,M,PARMA,Medicina e Chirurgia,MED/38,,ETA' EVOLUTIVA,2008,06 - Scienze mediche
Ricercatore,VIRGA Tommaso,M,MESSINA,Medicina e Chirurgia,MED/11,,Non disponibile,2008,06 - Scienze mediche
Ordinario,VIRGILI Anna,F,FERRARA,Medicina e Chirurgia,MED/35,,MEDICINA CLINICA E SPERIMENTALE,2008,06 - Scienze mediche
Associato confermato,VIRGILI Gianni,M,FIRENZE,Medicina e Chirurgia,MED/30,,SCIENZE CHIRURGICHE SPECIALISTICHE,2008,06 - Scienze mediche
Associato confermato,VIRGILI Guido,M,"ROMA ""Tor Vergata""",Medicina e Chirurgia,MED/24,,SCIENZE CHIRURGICHE,2008,06 - Scienze mediche
Ricercatore,VIRZI' Antonio,M,CATANIA,Medicina e Chirurgia,MED/25,,BIO-MEDICINA CLINICA E MOLECOLARE,2008,06 - Scienze mediche
Ricercatore,VISALLI Carmela,F,MESSINA,Medicina e Chirurgia,MED/36,,SCIENZE RADIOLOGICHE,2008,06 - Scienze mediche
Associato non confermato,VISCO Vincenzo,M,"ROMA ""La Sapienza""",Medicina e Chirurgia II,MED/04,,MEDICINA CLINICA E MOLECOLARE,2008,06 - Scienze mediche
Ordinario,VISCOLI Claudio,M,GENOVA,Medicina e Chirurgia,MED/17,,SCIENZE DELLA SALUTE,2008,06 - Scienze mediche
Associato confermato,VISCONTI Luca,M,BRESCIA,Medicina e Chirurgia,MED/28,,"SPECIALITA'CHIRURGICHE, SCIENZE RADIOLOGICHE E MEDICO FORENSI",2008,06 - Scienze mediche
Ricercatore,VISCUSI Giuseppe,M,CATANIA,Medicina e Chirurgia,MED/24,,Non disponibile,2008,06 - Scienze mediche
Ricercatore,VISOCCHI Massimiliano,M,Cattolica del Sacro Cuore,Medicina e Chirurgia,MED/27,,NEUROCHIRURGIA,2008,06 - Scienze mediche
Associato confermato,VITA Antonio,M,BRESCIA,Medicina e Chirurgia,MED/25,,MATERNO-INFANTILE E TECNOLOGIE BIOMEDICHE,2008,06 - Scienze mediche
Ordinario,VITA Giuseppe,M,MESSINA,Medicina e Chirurgia,MED/26,,"NEUROSCIENZE, SCIENZE PSICHIATRICHE E ANESTESIOLOGICHE",2008,06 - Scienze mediche
Associato non confermato,VITACOLONNA Ester,F,CHIETI-PESCARA,Medicina e Chirurgia,MED/49,,MEDICINA E SCIENZE DELL' INVECCHIAMENTO,2008,06 - Scienze mediche
Ricercatore a t.d. (art.1 comma 14 L. 230/05),VITALE Anna Rita Domenica,F,L'AQUILA,Medicina e Chirurgia,MED/08,,MEDICINA SPERIMENTALE,2008,06 - Scienze mediche
Ricercatore non confermato,VITALE Carmine,M,"""Parthenope"" di NAPOLI",Scienze Motorie,MED/26,,STUDI DELLE ISTITUZIONI E DEI SISTEMI TERRITORIALI,2008,06 - Scienze mediche
Ricercatore non confermato,VITALE Chiara,F,GENOVA,Medicina e Chirurgia,MED/04,,MEDICINA SPERIMENTALE,2008,06 - Scienze mediche
Ordinario,VITALE Francesco,M,PALERMO,Medicina e Chirurgia,MED/42,,"SCIENZE PER LA PROMOZIONE DELLA SALUTE ""G.D'ALESSANDRO""",2008,06 - Scienze mediche
Ricercatore,VITALE Gaetano,M,UDINE,Medicina e Chirurgia,MED/04,,SCIENZE MEDICHE E BIOLOGICHE (DSMB),2008,06 - Scienze mediche
Ricercatore non confermato,VITALE Giovanni,M,MILANO,Medicina e Chirurgia,MED/13,,SCIENZE MEDICHE,2008,06 - Scienze mediche
Ricercatore,VITALE Marina Consuelo,F,PAVIA,Medicina e Chirurgia,MED/28,,DISCIPLINE ODONTOSTOMATOLOGICHE 'S. PALAZZI',2008,06 - Scienze mediche
Associato confermato,VITALE Mario,M,Napoli Federico II,Medicina e Chirurgia,MED/13,,MEDICINA E CHIRURGIA,2008,06 - Scienze mediche
Associato confermato,VITALE BROVARONE Filippo,M,TORINO,"Medicina e Chirurgia II ""San Luigi Gonzaga""",MED/30,,SCIENZE CLINICHE E BIOLOGICHE,2008,06 - Scienze mediche
Associato confermato,VITALI Cesare,M,BARI,Farmacia,MED/07,,FARMACO CHIMICO,2008,06 - Scienze mediche
Ricercatore,VITALI Luca Agostino,M,CAMERINO,Farmacia,MED/07,,SCUOLA DI SCIENZE DEL FARMACO E DEI PRODOTTI DELLA SALUTE,2008,06 - Scienze mediche
Associato confermato,VITALI Matteo,M,"ROMA ""La Sapienza""",Medicina e Chirurgia,MED/42,,Non disponibile,2008,06 - Scienze mediche
Ricercatore,VITARELLI Antonino,M,"ROMA ""La Sapienza""",Medicina e Chirurgia,MED/11,,"SCIENZE CARDIOVASCOLARI, RESPIRATORIE, NEFROLOGICHE E GERIATRICHE",2008,06 - Scienze mediche
Ricercatore,VITARELLI Susanna,F,CAMERINO,Farmacia,MED/42,,MEDICINA SPERIMENTALE E SANITÀ PUBBLICA,2008,06 - Scienze mediche
Associato confermato,VITOLO Domenico,M,"ROMA ""La Sapienza""",Medicina e Chirurgia,MED/08,,"SCIENZE RADIOLOGICHE, ONCOLOGICHE E ANATOMO-PATOLOGICHE",2008,06 - Scienze mediche
Ordinario,VITTI Paolo,M,PISA,Medicina e Chirurgia,MED/13,,"ENDOCRINOLOGIA E METABOLISMO, ORTOPEDIA E TRAUMATOLOGIA, MEDICINA DEL LAVORO",2008,06 - Scienze mediche
Associato confermato,VITTORE Donato,M,BARI,Medicina e Chirurgia,MED/33,,NEUROSCIENZE ED ORGANI D SENSO,2008,06 - Scienze mediche
Associato confermato,VITTORIA Aurelio,M,SIENA,Medicina e Chirurgia,MED/14,,MEDICINA CLINICA E SCIENZE IMMUNOLOGICHE,2008,06 - Scienze mediche
Ricercatore,VITTORIA Emanuela,F,Urbino Carlo Bo,Farmacia,MED/42,,SCIENZE BIOMOLECOLARI,2008,06 - Scienze mediche
Associato confermato,VITTURINI Alessandro,M,"ROMA ""La Sapienza""",Medicina e Chirurgia,MED/36,,"SCIENZE RADIOLOGICHE, ONCOLOGICHE E ANATOMO-PATOLOGICHE",2008,06 - Scienze mediche
Ricercatore non confermato,VIVACQUA Adele,F,della CALABRIA,Farmacia e Scienze Nutrizione e Salute,MED/46,,FARMACOBIOLOGICO,2008,06 - Scienze mediche
Ricercatore,VIVARELLI Marco,M,BOLOGNA,Medicina e Chirurgia,MED/18,,MEDICINA SPERIMENTALE E CLINICA,2008,06 - Scienze mediche
Associato confermato,VIVIANI Giorgio Luciano,M,GENOVA,Medicina e Chirurgia,MED/09,,MEDICINA INTERNA E SPECIALITA' MEDICHE,2008,06 - Scienze mediche
Ricercatore,VIZZA Carmine Dario,M,"ROMA ""La Sapienza""",Medicina e Chirurgia,MED/11,,"SCIENZE CARDIOVASCOLARI, RESPIRATORIE, NEFROLOGICHE E GERIATRICHE",2008,06 - Scienze mediche
Ricercatore,VIZZARDI Enrico,M,BRESCIA,Medicina e Chirurgia,MED/11,,MEDICINA SPERIMENTALE E APPLICATA,2008,06 - Scienze mediche
Ricercatore,VOCI Carlopietro,M,UNISR - San Raffaele,Medicina e Chirurgia,MED/21,,FACOLTA' DI MEDICINA E CHIRURGIA,2008,06 - Scienze mediche
Ricercatore,VOCI Paolo,M,"ROMA ""Tor Vergata""",Medicina e Chirurgia,MED/11,,MEDICINA INTERNA,2008,06 - Scienze mediche
Associato confermato,VOLANTE Enrico,M,PARMA,Medicina e Chirurgia,MED/38,,"SCIENZE GINECOLOGICHE, OSTETRICHE E DI NEONATOLOGIA",2008,06 - Scienze mediche
Ricercatore,VOLANTE Marco,M,TORINO,"Medicina e Chirurgia II ""San Luigi Gonzaga""",MED/08,,SCIENZE CLINICHE E BIOLOGICHE,2008,06 - Scienze mediche
Associato confermato,VOLPATO Gino,M,PAVIA,Medicina e Chirurgia,MED/21,,"SCIENZE CHIRURGICHE, RIANIMATORIE-RIABILITATIVE E DEI TRAPIANTI D'ORGANO",2008,06 - Scienze mediche
Ricercatore,VOLPATO Stefano,M,FERRARA,Medicina e Chirurgia,MED/09,,MEDICINA CLINICA E SPERIMENTALE,2008,06 - Scienze mediche
Ricercatore non confermato,VOLPE Alessandro,M,PIEMONTE ORIENTALE,Medicina e Chirurgia,MED/24,,MEDICINA CLINICA E SPERIMENTALE,2008,06 - Scienze mediche
Ordinario,VOLPE Annibale,M,MODENA e REGGIO EMILIA,Medicina e Chirurgia,MED/40,,ATTIVITA' INTEGRATA MATERNO INFANTILE,2008,06 - Scienze mediche
Ricercatore,VOLPE Laura,F,PISA,Medicina e Chirurgia,MED/13,,"ENDOCRINOLOGIA E METABOLISMO, ORTOPEDIA E TRAUMATOLOGIA, MEDICINA DEL LAVORO",2008,06 - Scienze mediche
Ordinario,VOLPE Massimo,M,"ROMA ""La Sapienza""",Medicina e Chirurgia II,MED/11,,MEDICINA CLINICA E MOLECOLARE,2008,06 - Scienze mediche
Associato confermato,VOLPE Pompeo,M,PADOVA,Farmacia,MED/04,,SCIENZE BIOMEDICHE - DSB,2008,06 - Scienze mediche
Ricercatore non confermato,VOLPE Umberto,M,"CAMPANIA - ""L. VANVITELLI""",Medicina e Chirurgia,MED/48,,Non disponibile,2008,06 - Scienze mediche
Ricercatore,VOLPENTESTA Giorgio,M,CATANZARO,Medicina e Chirurgia,MED/27,,SCIENZE MEDICHE E CHIRURGICHE,2008,06 - Scienze mediche
Ricercatore,VOLPI Annalisa,F,BARI,Medicina e Chirurgia,MED/18,,DELL'EMERGENZA E DEI TRAPIANTI DI ORGANI,2008,06 - Scienze mediche
Associato confermato,VOLPI Antonio,M,"ROMA ""Tor Vergata""",Medicina e Chirurgia,MED/17,,SANITA' PUBBLICA E BIOLOGIA CELLULARE,2008,06 - Scienze mediche
Associato confermato,VOLPI Riccardo,M,PARMA,Medicina e Chirurgia,MED/09,,MEDICINA INTERNA E SCIENZE BIOMEDICHE,2008,06 - Scienze mediche
Ricercatore,VOLPINO Patrizia,F,"ROMA ""La Sapienza""",Medicina e Chirurgia,MED/18,,CHIRURGIA,2008,06 - Scienze mediche
Associato non confermato,VOLTA Carlo Alberto,M,FERRARA,Medicina e Chirurgia,MED/41,,"SCIENZE CHIRURGICHE, ANESTESIOLOGICHE E RADIOLOGICHE",2008,06 - Scienze mediche
Ricercatore,VOLTA Cecilia,F,PARMA,Medicina e Chirurgia,MED/38,,ETA' EVOLUTIVA,2008,06 - Scienze mediche
Ricercatore,VOLTERRANI Duccio,M,PISA,Medicina e Chirurgia,MED/36,,"ONCOLOGIA,DEI TRAPIANTI E DELLE NUOVE TECNOLOGIE IN MEDICINA",2008,06 - Scienze mediche
Associato confermato,VOLTERRANI Luca,M,SIENA,Medicina e Chirurgia,MED/36,,PATOLOGIA UMANA ED ONCOLOGIA,2008,06 - Scienze mediche
Ricercatore,VON HELAND Magnus,M,"ROMA ""La Sapienza""",Medicina e Chirurgia,MED/24,,SCIENZE GINECOLOGICO-OSTETRICHE E SCIENZE UROLOGICHE,2008,06 - Scienze mediche
Ordinario,VOSA Carlo,M,Napoli Federico II,Medicina e Chirurgia,MED/23,,"MEDICINA CLINICA, SCIENZE CARDIOVASCOLARI E IMMUNOLOGICHE",2008,06 - Scienze mediche
Ricercatore,VOSO Maria Teresa,F,Cattolica del Sacro Cuore,Medicina e Chirurgia,MED/15,,EMATOLOGIA,2008,06 - Scienze mediche
Ricercatore,VOTINO Fortunato,M,Napoli Federico II,Medicina e Chirurgia,MED/40,,"SCIENZE OSTETRICO-GINECOLOGICHE, UROLOGICHE E MEDICINA DELLA RIPRODUZIONE",2008,06 - Scienze mediche
Associato non confermato,VOZZA Antonio,M,"CAMPANIA - ""L. VANVITELLI""",Medicina e Chirurgia,MED/35,,"PSICHIATRIA, NEUROPSICHIATRIA INFANTILE, AUDIOFONIATRIA E DERMATOVENEREOLOGIA",2008,06 - Scienze mediche
Ricercatore non confermato,VOZZA Iole,F,"ROMA ""La Sapienza""",Medicina e Chirurgia,MED/28,,SCIENZE ODONTOSTOMATOLOGICHE E MAXILLO-FACCIALI,2008,06 - Scienze mediche
Ordinario,VULLO Vincenzo,M,"ROMA ""La Sapienza""",Medicina e Chirurgia,MED/17,,SANITA' PUBBLICA E MALATTIE INFETTIVE,2008,06 - Scienze mediche
Ricercatore,VULPIANI Maria Chiara,F,"ROMA ""La Sapienza""",Medicina e Chirurgia II,MED/34,,SCIENZE MEDICO-CHIRURGICHE E DI MEDICINA TRASLAZIONALE,2008,06 - Scienze mediche
Ricercatore,VULPIO Carlo,M,Cattolica del Sacro Cuore,Medicina e Chirurgia,MED/18,,CLINICA CHIRURGICA GENERALE,2008,06 - Scienze mediche
Ricercatore,WASNIEWSKA Malgorzata Gabriella,F,MESSINA,Medicina e Chirurgia,MED/38,,SCIENZE PEDIATRICHE MEDICHE E CHIRURGICHE,2008,06 - Scienze mediche
Associato confermato,WEBER Giovanna,F,UNISR - San Raffaele,Medicina e Chirurgia,MED/38,,FACOLTA' DI MEDICINA E CHIRURGIA,2008,06 - Scienze mediche
