,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
0,Ordinario,ABATANGELO Vito,M,Politecnico di BARI,,MAT/03,01/A2,"Dipartimento di Meccanica, Matematica e Management",2012,01 - Scienze matematiche e informatiche
1,Associato confermato,ABATE Andrea Francesco,M,SALERNO,Scienze Matematiche Fisiche e Naturali,INF/01,01/B1,STUDI E RICERCHE AZIENDALI/DISTRA,2012,01 - Scienze matematiche e informatiche
2,Ordinario,ABATE Marco,M,PISA,,MAT/03,01/A2,MATEMATICA,2012,01 - Scienze matematiche e informatiche
3,Ricercatore,ABBA' Antonella,F,Politecnico di MILANO,Ingegneria Industriale,MAT/07,01/A4,MATEMATICA,2012,01 - Scienze matematiche e informatiche
4,Associato confermato,ABBATTISTA Fabio,M,BARI,,INF/01,01/B1,Informatica,2012,01 - Scienze matematiche e informatiche
5,Associato confermato,ABBENA Elsa,F,TORINO,,MAT/03,01/A2,Matematica Giuseppe Peano,2012,01 - Scienze matematiche e informatiche
6,Associato confermato,ABBONDANDOLO Alberto,M,PISA,,MAT/05,01/A3,MATEMATICA,2012,01 - Scienze matematiche e informatiche
7,Ricercatore a t.d. (art.1 comma 14 L. 230/05),ABBOTT John Anthony,M,GENOVA,,MAT/02,,MATEMATICA (DIMA),2012,01 - Scienze matematiche e informatiche
8,Associato confermato,ABENDA Simonetta,F,BOLOGNA,,MAT/05,01/A3,Matematica,2012,01 - Scienze matematiche e informatiche
9,Ricercatore non confermato,ABREU Marien,F,BASILICATA,,MAT/03,01/A2,"Matematica, Informatica ed Economia",2012,01 - Scienze matematiche e informatiche
10,Ricercatore,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Matematica,2012,01 - Scienze matematiche e informatiche
11,Associato confermato,ACANFORA Fausto,M,"CAMPANIA - ""L. VANVITELLI""",,MAT/05,01/A3,MATEMATICA E FISICA (DMF),2012,01 - Scienze matematiche e informatiche
12,Ordinario,ACCARDI Luigi,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Economia e Finanza,2012,01 - Scienze matematiche e informatiche
13,Associato confermato,ACCASCINA Giuseppe,M,"ROMA ""La Sapienza""",Ingegneria Civile e Industriale,MAT/03,01/A2,SCIENZE DI BASE ED APPLICATE PER L'INGEGNERIA,2012,01 - Scienze matematiche e informatiche
14,Associato confermato,ACCIARO Vincenzo,M,CHIETI-PESCARA,,INF/01,01/B1,Ingegneria e geologia,2012,01 - Scienze matematiche e informatiche
15,Ordinario,ACERBI Emilio Daniele G.,M,PARMA,,MAT/05,01/A3,MATEMATICA E INFORMATICA,2012,01 - Scienze matematiche e informatiche
