,Unnamed: 0,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
0,0,Associato,ABATANGELO Laura,F,Politecnico di MILANO,,MAT/05,01/A3,Matematica,2024,01 - Scienze matematiche e informatiche
1,1,Associato,ABATANGELO Nicola,M,BOLOGNA,,MAT/05,01/A3,Matematica,2024,01 - Scienze matematiche e informatiche
2,2,Ordinario,ABATE Andrea Francesco,M,SALERNO,,INF/01,01/B1,Informatica,2024,01 - Scienze matematiche e informatiche
3,3,Ordinario,ABATE Marco,M,PISA,,MAT/03,01/A2,MATEMATICA,2024,01 - Scienze matematiche e informatiche
4,4,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ABBATIELLO Anna,F,"CAMPANIA - ""L. VANVITELLI""",,MAT/07,01/A4,MATEMATICA E FISICA (DMF),2024,01 - Scienze matematiche e informatiche
5,5,Associato confermato,ABBATTISTA Fabio,M,BARI,,INF/01,01/B1,Informatica,2024,01 - Scienze matematiche e informatiche
6,6,Associato confermato,ABENDA Simonetta,F,BOLOGNA,,MAT/05,01/A3,Matematica,2024,01 - Scienze matematiche e informatiche
7,7,Associato,ABREU Marien,F,BASILICATA,,MAT/03,01/A2,Scienze di Base e Applicate,2024,01 - Scienze matematiche e informatiche
8,8,Associato,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Matematica,2024,01 - Scienze matematiche e informatiche
9,9,Ordinario,ACAMPORA Giovanni,M,Napoli Federico II,,INF/01,01/B1,"Fisica ""Ettore Pancini""",2024,01 - Scienze matematiche e informatiche
10,10,Associato confermato,ACCIARO Vincenzo,M,CHIETI-PESCARA,,INF/01,01/B1,Economia,2024,01 - Scienze matematiche e informatiche
11,11,Associato,ACCIARRI Cristina,F,MODENA e REGGIO EMILIA,,MAT/02,01/A2,"Scienze fisiche, informatiche e matematiche",2024,01 - Scienze matematiche e informatiche
12,12,Ordinario,ACERBI Emilio Daniele G.,M,PARMA,,MAT/05,01/A3,"Scienze Matematiche, Fisiche e Informatiche",2024,01 - Scienze matematiche e informatiche
13,13,Associato,ACETO Lidia,F,PIEMONTE ORIENTALE,,MAT/08,01/A5,Scienze e Innovazione Tecnologica (DISIT),2024,01 - Scienze matematiche e informatiche
14,14,Ordinario,ACETO Luca,M,Gran Sasso Science Institute,,INF/01,01/B1,Area di Informatica,2024,01 - Scienze matematiche e informatiche
15,15,Ordinario,ADAMI Riccardo,M,Politecnico di TORINO,,MAT/05,01/A3,SCIENZE MATEMATICHE �Giuseppe Luigi Lagrange�,2024,01 - Scienze matematiche e informatiche
16,16,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ADAMO Tommaso,M,SALENTO,,MAT/09,01/A6,INGEGNERIA DELL'INNOVAZIONE,2024,01 - Scienze matematiche e informatiche
17,17,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ADDONA Davide,M,PARMA,,MAT/05,01/A3,"SCIENZE MATEMATICHE, FISICHE E INFORMATICHE",2024,01 - Scienze matematiche e informatiche
18,18,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AFRICA Pasquale Claudio,M,SISSA - TRIESTE,Classe di Fisica e Classe di Matematica ,MAT/08,01/A5,AREA MATEMATICA,2024,01 - Scienze matematiche e informatiche
19,19,Associato confermato,AGLIANO' Paolo,M,SIENA,,MAT/02,01/A2,Ingegneria dell'Informazione e Scienze Matematiche,2024,01 - Scienze matematiche e informatiche
20,20,Associato,AGLIARI Elena,F,"ROMA ""La Sapienza""",,MAT/07,01/A4,Matematica,2024,01 - Scienze matematiche e informatiche
21,21,Ordinario,AGNETIS Alessandro,M,SIENA,,MAT/09,01/A6,Ingegneria dell'Informazione e Scienze Matematiche,2024,01 - Scienze matematiche e informatiche
22,22,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AGOSTI Abramo,M,PAVIA,,MAT/05,01/A3,MATEMATICA,2024,01 - Scienze matematiche e informatiche
23,23,Associato confermato,AGOSTINI Alessandra,F,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2024,01 - Scienze matematiche e informatiche
24,24,Associato,AGOSTINIANI Virginia,F,TRENTO,,MAT/05,01/A3,Matematica,2024,01 - Scienze matematiche e informatiche
25,25,Ricercatore a t.d. - t.pieno (L. 79/2022),AGRESTI Antonio,M,"ROMA ""La Sapienza""",,MAT/06,01/A3,MATEMATICA,2024,01 - Scienze matematiche e informatiche
26,26,Associato,AGUGLIA Angela,F,Politecnico di BARI,,MAT/03,01/A2,"Dipartimento di Meccanica, Matematica e Management",2024,01 - Scienze matematiche e informatiche
27,27,Associato,AGUZZOLI Stefano,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2024,01 - Scienze matematiche e informatiche
28,28,Associato,AHMETOVIC Dragan,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2024,01 - Scienze matematiche e informatiche
29,29,Ricercatore a t.d. - t.pieno (L. 79/2022),AIELLO Valeriano,M,"ROMA ""La Sapienza""",,MAT/05,01/A3,MATEMATICA,2024,01 - Scienze matematiche e informatiche
30,30,Ordinario,AIMI Alessandra,F,PARMA,,MAT/08,01/A5,"Scienze Matematiche, Fisiche e Informatiche",2024,01 - Scienze matematiche e informatiche
31,31,Associato,AIOLLI Fabio,M,PADOVA,,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2024,01 - Scienze matematiche e informatiche
32,32,Associato,ALAIMO Salvatore,M,CATANIA,,INF/01,01/B1,MEDICINA CLINICA E SPERIMENTALE,2024,01 - Scienze matematiche e informatiche
33,33,Ordinario,ALBANESE Angela Anna,F,SALENTO,,MAT/05,01/A3,Matematica e Fisica Ennio De Giorgi,2024,01 - Scienze matematiche e informatiche
34,34,Associato confermato,ALBANO Alberto,M,TORINO,,MAT/03,01/A2,Matematica Giuseppe Peano,2024,01 - Scienze matematiche e informatiche
35,35,Ordinario,ALBANO Giovannina,F,SALERNO,,MAT/04,01/A1,Ingegneria dell'Informazione ed Elettrica e Matematica applicata,2024,01 - Scienze matematiche e informatiche
36,36,Ordinario,ALBANO Paolo,M,BOLOGNA,,MAT/05,01/A3,Matematica,2024,01 - Scienze matematiche e informatiche
37,37,Associato,ALBERICI Diego,M,L'AQUILA,,MAT/07,01/A4,Ingegneria e scienze dell'informazione e matematica,2024,01 - Scienze matematiche e informatiche
38,38,Ordinario,ALBERTI Giovanni,M,PISA,,MAT/05,01/A3,MATEMATICA,2024,01 - Scienze matematiche e informatiche
39,39,Ordinario,ALBERTI Giovanni,M,GENOVA,,MAT/05,01/A3,Matematica  (DIMA),2024,01 - Scienze matematiche e informatiche
40,40,Associato,ALBERTI Marco,M,FERRARA,,INF/01,01/B1,Matematica e informatica,2024,01 - Scienze matematiche e informatiche
41,41,Associato,ALBERTINI Francesca,F,PADOVA,,MAT/05,01/A3,TECNICA E GESTIONE DEI SISTEMI INDUSTRIALI - DTG,2024,01 - Scienze matematiche e informatiche
42,42,Associato,ALBI Giacomo,M,VERONA,,MAT/08,01/A5,Informatica,2024,01 - Scienze matematiche e informatiche
43,43,Associato,ALDINI Alessandro,M,Urbino Carlo Bo,,INF/01,01/B1,Scienze Pure e Applicate (DiSPeA),2024,01 - Scienze matematiche e informatiche
44,44,Ordinario,ALDINUCCI Marco,M,TORINO,,INF/01,01/B1,Informatica,2024,01 - Scienze matematiche e informatiche
45,45,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ALESSANDRI' Luca,M,TORINO,,INF/01,01/B1,BIOTECNOLOGIE MOLECOLARI E SCIENZE PER LA SALUTE,2024,01 - Scienze matematiche e informatiche
46,46,Associato confermato,ALESSI Fabio,M,UDINE,,INF/01,01/B1,"Scienze Matematiche, Informatiche e Fisiche",2024,01 - Scienze matematiche e informatiche
47,47,Associato,ALESSIO Francesca Gemma,F,Politecnica delle MARCHE,,MAT/05,01/A3,INGEGNERIA INDUSTRIALE E SCIENZE MATEMATICHE,2024,01 - Scienze matematiche e informatiche
48,48,Ordinario,ALETTI Giacomo,M,MILANO,,MAT/06,01/A3,Scienze e politiche ambientali,2024,01 - Scienze matematiche e informatiche
49,49,Associato,ALI' Giuseppe,M,della CALABRIA,,MAT/07,01/A4,Fisica,2024,01 - Scienze matematiche e informatiche
50,50,Ordinario,ALICANDRO Roberto,M,Napoli Federico II,,MAT/05,01/A3,"Matematica e Applicazioni ""Renato Caccioppoli""",2024,01 - Scienze matematiche e informatiche
51,51,Associato,ALLA Alessandro,M,"ROMA ""La Sapienza""",,MAT/08,01/A5,Matematica,2024,01 - Scienze matematiche e informatiche
52,52,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALLEGRA Dario,M,CATANIA,,INF/01,01/B1,MATEMATICA E INFORMATICA,2024,01 - Scienze matematiche e informatiche
53,53,Associato,ALMI Stefano,M,Napoli Federico II,,MAT/06,01/A3,"Matematica e Applicazioni ""Renato Caccioppoli""",2024,01 - Scienze matematiche e informatiche
54,54,Ordinario,ALONSO RODRIGUEZ Ana Maria,F,TRENTO,,MAT/08,01/A5,Matematica,2024,01 - Scienze matematiche e informatiche
55,55,Associato,ALTAVILLA Amedeo,M,BARI,,MAT/03,01/A2,Matematica,2024,01 - Scienze matematiche e informatiche
56,56,Ordinario,ALVIANO Mario,M,della CALABRIA,,INF/01,01/B1,Matematica e Informatica - DeMaCS,2024,01 - Scienze matematiche e informatiche
57,57,Associato confermato,ALZATI Alberto,M,MILANO,,MAT/03,01/A2,Matematica 'Federigo Enriques',2024,01 - Scienze matematiche e informatiche
58,58,Associato,AMADINI Roberto,M,BOLOGNA,,INF/01,01/B1,Informatica - Scienza e Ingegneria,2024,01 - Scienze matematiche e informatiche
59,59,Associato,AMADORI Anna Lisa,F,"""Parthenope"" di NAPOLI",,MAT/05,01/A3,SCIENZE E TECNOLOGIE,2024,01 - Scienze matematiche e informatiche
60,60,Ordinario,AMADORI Debora,F,L'AQUILA,,MAT/05,01/A3,Ingegneria e scienze dell'informazione e matematica,2024,01 - Scienze matematiche e informatiche
61,61,Ordinario,AMALDI Edoardo,M,Politecnico di MILANO,,MAT/09,01/A6,"Elettronica, Informazione e Bioingegneria",2024,01 - Scienze matematiche e informatiche
62,62,Associato confermato,AMAR Micol,F,"ROMA ""La Sapienza""",,MAT/05,01/A3,Scienze di base e applicate per l'ingegneria,2024,01 - Scienze matematiche e informatiche
63,63,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AMATO Domenico,M,PALERMO,,INF/01,01/B1,MATEMATICA E INFORMATICA,2024,01 - Scienze matematiche e informatiche
64,64,Associato,AMATO Gianluca,M,CHIETI-PESCARA,,MAT/01,01/A1,Economia,2024,01 - Scienze matematiche e informatiche
65,65,Ricercatore,AMATO Roberto,M,MESSINA,,MAT/05,01/A3,Ingegneria,2024,01 - Scienze matematiche e informatiche
66,66,Ordinario,AMBROSI Davide Carlo,M,Politecnico di TORINO,,MAT/07,01/A4,SCIENZE MATEMATICHE �Giuseppe Luigi Lagrange�,2024,01 - Scienze matematiche e informatiche
67,67,Ordinario,AMBROSINO Daniela,F,GENOVA,,MAT/09,01/A6,Economia,2024,01 - Scienze matematiche e informatiche
68,68,Ordinario,AMBROSIO Luigi,M,Scuola Normale Superiore di PISA,,MAT/05,01/A3,Classe di scienze,2024,01 - Scienze matematiche e informatiche
69,69,Associato,AMBROSIO Vincenzo,M,Politecnica delle MARCHE,,MAT/05,01/A3,INGEGNERIA INDUSTRIALE E SCIENZE MATEMATICHE,2024,01 - Scienze matematiche e informatiche
70,70,Associato,AMENDOLA Ada,F,SALERNO,,MAT/07,01/A4,Ingegneria Civile,2024,01 - Scienze matematiche e informatiche
71,71,Associato,AMENDOLA Gennaro,M,"Univ. Telematica ""E-CAMPUS""",Ingegneria ,MAT/03,01/A2,DIPARTIMENTO E-CAMPUS,2024,01 - Scienze matematiche e informatiche
72,72,Associato,AMENDOLA Giovanni,M,della CALABRIA,,INF/01,01/B1,Matematica e Informatica - DeMaCS,2024,01 - Scienze matematiche e informatiche
73,73,Associato,AMODDEO Antonino,M,Mediterranea di REGGIO CALABRIA,,MAT/07,01/A4,"Ingegneria Civile, dell'Energia, dell'Ambiente e dei Materiali",2024,01 - Scienze matematiche e informatiche
74,74,Associato confermato,AMODIO Pierluigi,M,BARI,,MAT/08,01/A5,Matematica,2024,01 - Scienze matematiche e informatiche
75,75,Ricercatore a t.d. - t.pieno (L. 79/2022),AMOROSI Lavinia,F,"ROMA ""La Sapienza""",,MAT/09,01/A6,SCIENZE STATISTICHE,2024,01 - Scienze matematiche e informatiche
76,76,Associato confermato,AMOROSO Alessandro,M,BOLOGNA,,INF/01,01/B1,Informatica - Scienza e Ingegneria,2024,01 - Scienze matematiche e informatiche
77,77,Ordinario,AMOROSO Francesco,M,TORINO,,MAT/02,01/A2,Matematica Giuseppe Peano,2024,01 - Scienze matematiche e informatiche
78,78,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AMPARORE Elvio Gilberto,M,TORINO,,INF/01,01/B1,INFORMATICA,2024,01 - Scienze matematiche e informatiche
79,79,Ricercatore,ANATRIELLO Giuseppina,F,Napoli Federico II,,MAT/05,01/A3,Architettura,2024,01 - Scienze matematiche e informatiche
80,80,Associato,ANCONA Davide,M,GENOVA,,INF/01,01/B1,"Informatica, bioingegneria,robotica e ingegneria dei sistemi (DIBRIS)",2024,01 - Scienze matematiche e informatiche
81,81,Ordinario,ANCONA Fabio,M,PADOVA,,MAT/05,01/A3,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2024,01 - Scienze matematiche e informatiche
82,82,Associato,ANDRA' Chiara,F,PIEMONTE ORIENTALE,,MAT/04,01/A1,Sviluppo Sostenibile e la Transizione Ecologica,2024,01 - Scienze matematiche e informatiche
83,83,Ordinario,ANDREATTA Fabrizio,M,MILANO,,MAT/02,01/A2,Matematica 'Federigo Enriques',2024,01 - Scienze matematiche e informatiche
84,84,Ordinario,ANDREATTA Marco,M,TRENTO,,MAT/03,01/A2,Matematica,2024,01 - Scienze matematiche e informatiche
85,85,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ANDREIS Luisa,F,Politecnico di MILANO,,MAT/06,01/A3,MATEMATICA,2024,01 - Scienze matematiche e informatiche
86,86,Ricercatore,ANDREOLINI Mauro,M,MODENA e REGGIO EMILIA,,INF/01,01/B1,"Scienze fisiche, informatiche e matematiche",2024,01 - Scienze matematiche e informatiche
87,87,Ordinario,ANDRETTA Alessandro,M,TORINO,,MAT/01,01/A1,Matematica Giuseppe Peano,2024,01 - Scienze matematiche e informatiche
88,88,Ordinario,ANDREUCCI Daniele,M,"ROMA ""La Sapienza""",,MAT/07,01/A4,Scienze di base e applicate per l'ingegneria,2024,01 - Scienze matematiche e informatiche
89,89,Ricercatore,ANEDDA Claudia,F,CAGLIARI,,MAT/05,01/A3,Matematica e Informatica,2024,01 - Scienze matematiche e informatiche
90,90,Ordinario,ANELLO Giovanni,M,MESSINA,,MAT/05,01/A3,"Scienze Matematiche ed Informatiche, Scienze Fisiche e Scienze della Terra",2024,01 - Scienze matematiche e informatiche
91,91,Ordinario,ANGELERI Lidia,F,VERONA,,MAT/02,01/A2,Informatica,2024,01 - Scienze matematiche e informatiche
92,92,Ordinario,ANGELLA Daniele,M,FIRENZE,,MAT/03,01/A2,Matematica e Informatica �Ulisse Dini�(DIMAI),2024,01 - Scienze matematiche e informatiche
93,93,Associato,ANGELONI Laura,F,PERUGIA,,MAT/05,01/A3,MATEMATICA E INFORMATICA,2024,01 - Scienze matematiche e informatiche
94,94,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ANGILICA Denise,F,della CALABRIA,,INF/01,01/B1,MATEMATICA E INFORMATICA - DEMACS,2024,01 - Scienze matematiche e informatiche
95,95,Associato,ANGIULI Luciana,F,SALENTO,,MAT/05,01/A3,Matematica e Fisica Ennio De Giorgi,2024,01 - Scienze matematiche e informatiche
96,96,Ordinario,ANGLANO Cosimo Filomeno,M,PIEMONTE ORIENTALE,,INF/01,01/B1,Scienze e Innovazione Tecnologica (DISIT),2024,01 - Scienze matematiche e informatiche
97,97,Ordinario,ANISETTI Marco,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2024,01 - Scienze matematiche e informatiche
98,98,Ricercatore,ANNUNZIATO Mario,M,SALERNO,,MAT/08,01/A5,Fisica 'E.R. Caianiello',2024,01 - Scienze matematiche e informatiche
99,99,Associato,ANSELMA Luca,M,TORINO,,INF/01,01/B1,Informatica,2024,01 - Scienze matematiche e informatiche
100,100,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ANSELMI Fabio,M,TRIESTE,,INF/01,01/B1,"MATEMATICA, INFORMATICA E GEOSCIENZE",2024,01 - Scienze matematiche e informatiche
101,101,Associato confermato,ANSELMO Marcella,F,SALERNO,,INF/01,01/B1,Informatica,2024,01 - Scienze matematiche e informatiche
102,102,Associato,ANSINI Nadia,F,"ROMA ""La Sapienza""",,MAT/05,01/A3,Matematica,2024,01 - Scienze matematiche e informatiche
103,103,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ANTELMI Alessia,F,TORINO,,INF/01,01/B1,INFORMATICA,2024,01 - Scienze matematiche e informatiche
104,104,Ricercatore,ANTONACCI Flavia,F,CHIETI-PESCARA,,MAT/05,01/A3,Economia,2024,01 - Scienze matematiche e informatiche
105,105,Ordinario,ANTONELLI Paolo,M,Gran Sasso Science Institute,,MAT/05,01/A3,Area di Matematica,2024,01 - Scienze matematiche e informatiche
106,106,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ANTONELLI Vincenzo,M,Politecnico di TORINO,,MAT/03,01/A2,SCIENZE MATEMATICHE �GIUSEPPE LUIGI LAGRANGE�,2024,01 - Scienze matematiche e informatiche
107,107,Ordinario,ANTONIETTI Paola Francesca,F,Politecnico di MILANO,,MAT/08,01/A5,Matematica,2024,01 - Scienze matematiche e informatiche
108,108,Associato,ANTONINI Paolo,M,SALENTO,,MAT/03,01/A2,Matematica e Fisica Ennio De Giorgi,2024,01 - Scienze matematiche e informatiche
109,109,Associato,ANTONINI Samuele,M,FIRENZE,,MAT/04,01/A1,Matematica e Informatica �Ulisse Dini�(DIMAI),2024,01 - Scienze matematiche e informatiche
110,110,Ordinario,ANTONIOTTI Marco,M,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2024,01 - Scienze matematiche e informatiche
111,111,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),APICELLA Andrea,M,Napoli Federico II,,INF/01,01/B1,INGEGNERIA ELETTRICA E DELLE TECNOLOGIE DELL'INFORMAZIONE,2024,01 - Scienze matematiche e informatiche
112,112,Associato,APPEL Andrea,M,PARMA,,MAT/02,01/A2,"Scienze Matematiche, Fisiche e Informatiche",2024,01 - Scienze matematiche e informatiche
113,113,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),APRILE Manuel Francesco,M,PADOVA,,MAT/09,01/A6,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2024,01 - Scienze matematiche e informatiche
114,114,Associato,ARAGONA Riccardo,M,L'AQUILA,,MAT/02,01/A2,Ingegneria e scienze dell'informazione e matematica,2024,01 - Scienze matematiche e informatiche
115,115,Ordinario,ARBIB Claudio,M,L'AQUILA,,MAT/09,01/A6,Ingegneria e scienze dell'informazione e matematica,2024,01 - Scienze matematiche e informatiche
116,116,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ARCERI Vincenzo,M,PARMA,,INF/01,01/B1,"SCIENZE MATEMATICHE, FISICHE E INFORMATICHE",2024,01 - Scienze matematiche e informatiche
117,117,Associato,ARCHETTI Claudia,F,BRESCIA,,MAT/09,01/A6,ECONOMIA E MANAGEMENT,2024,01 - Scienze matematiche e informatiche
118,118,Ordinario,ARCOZZI Nicola,M,BOLOGNA,,MAT/05,01/A3,Matematica,2024,01 - Scienze matematiche e informatiche
119,119,Ordinario,ARDAGNA Claudio Agostino,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2024,01 - Scienze matematiche e informatiche
120,120,Ordinario,ARDISSONO Liliana,F,TORINO,,INF/01,01/B1,Informatica,2024,01 - Scienze matematiche e informatiche
121,121,Associato,ARDIZZONI Alessandro,M,TORINO,,MAT/02,01/A2,Matematica Giuseppe Peano,2024,01 - Scienze matematiche e informatiche
122,122,Ordinario,AREZZO Claudio,M,PARMA,,MAT/03,01/A2,"Scienze Matematiche, Fisiche e Informatiche",2024,01 - Scienze matematiche e informatiche
123,123,Ordinario,ARINGHIERI Roberto,M,TORINO,,MAT/09,01/A6,Informatica,2024,01 - Scienze matematiche e informatiche
124,124,Ordinario,ARIOLI Gianni,M,Politecnico di MILANO,,MAT/05,01/A3,Matematica,2024,01 - Scienze matematiche e informatiche
125,125,Associato confermato,ARMANO Giuliano,M,CAGLIARI,,INF/01,01/B1,Matematica e Informatica,2024,01 - Scienze matematiche e informatiche
126,126,Associato,AROSIO Leandro,M,"ROMA ""Tor Vergata""",,MAT/03,01/A2,Matematica,2024,01 - Scienze matematiche e informatiche
127,127,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ARRIGONI Viviana,F,"ROMA ""La Sapienza""",,INF/01,01/B1,INFORMATICA,2024,01 - Scienze matematiche e informatiche
128,128,Associato confermato,ARROYO RABASA Adolfo,M,PISA,,MAT/05,01/A3,MATEMATICA,2024,01 - Scienze matematiche e informatiche
129,129,Associato,ARTALE Alessandro,M,Libera Università di BOLZANO,Ingegneria ,INF/01,01/B1,FACOLTA' DI INGEGNERIA,2024,01 - Scienze matematiche e informatiche
130,130,Associato,ASCANELLI Alessia,F,FERRARA,,MAT/05,01/A3,Matematica e informatica,2024,01 - Scienze matematiche e informatiche
131,131,Ricercatore,ASCENZI Oscar,M,FERRARA,,MAT/05,01/A3,Matematica e informatica,2024,01 - Scienze matematiche e informatiche
132,132,Ricercatore,ASCI Claudio,M,TRIESTE,,MAT/06,01/A3,"Matematica, Informatica e Geoscienze",2024,01 - Scienze matematiche e informatiche
133,133,Ricercatore a t.d. - t.pieno (L. 79/2022),ASCIONE Giacomo,M,Scuola Superiore Meridionale,,,01/A3,AREA INTERDISCIPLINARE SCIENTIFICO-TECNOLOGICA,2024,
134,134,Ricercatore,ASCOLI Davide,M,TORINO,,MAT/05,01/A3,Matematica Giuseppe Peano,2024,01 - Scienze matematiche e informatiche
135,135,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ASENOVA Miglena,F,Libera Università di BOLZANO,Scienze della Formazione ,MAT/04,01/A1,Non disponibile,2024,01 - Scienze matematiche e informatiche
136,136,Associato,ASLAN Sinem,F,MILANO,,INF/01,01/B1,Studi storici,2024,01 - Scienze matematiche e informatiche
137,137,Ordinario,ASPERTI Andrea,M,BOLOGNA,,INF/01,01/B1,Informatica - Scienza e Ingegneria,2024,01 - Scienze matematiche e informatiche
138,138,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ASPRI Andrea,M,MILANO,,MAT/05,01/A3,MATEMATICA 'FEDERIGO ENRIQUES',2024,01 - Scienze matematiche e informatiche
139,139,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ASPRINO Luigi,M,BOLOGNA,,INF/01,01/B1,"LINGUE, LETTERATURE E CULTURE MODERNE",2024,01 - Scienze matematiche e informatiche
140,140,Associato confermato,ASTENGO Francesca,F,GENOVA,,MAT/05,01/A3,Matematica  (DIMA),2024,01 - Scienze matematiche e informatiche
141,141,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ASTORINO Annabella,F,della CALABRIA,,MAT/08,01/A5,"INGEGNERIA INFORMATICA, MODELLISTICA, ELETTRONICA E SISTEMISTICA - DIMES",2024,01 - Scienze matematiche e informatiche
142,142,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ASTUTO Clarissa,F,CATANIA,,MAT/08,01/A5,MATEMATICA E INFORMATICA,2024,01 - Scienze matematiche e informatiche
143,143,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ATIF Muhammad,M,FIRENZE,,INF/01,01/B1,MATEMATICA E INFORMATICA �ULISSE DINI�(DIMAI),2024,01 - Scienze matematiche e informatiche
144,144,Associato,ATZORI Maurizio,M,CAGLIARI,,INF/01,01/B1,Matematica e Informatica,2024,01 - Scienze matematiche e informatiche
145,145,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AUDRITO Alessandro,M,Politecnico di TORINO,,MAT/05,01/A3,SCIENZE MATEMATICHE �GIUSEPPE LUIGI LAGRANGE�,2024,01 - Scienze matematiche e informatiche
146,146,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AUDRITO Giorgio,M,TORINO,,INF/01,01/B1,INFORMATICA,2024,01 - Scienze matematiche e informatiche
147,147,Ordinario,AULETTA Vincenzo,M,SALERNO,,INF/01,01/B1,Ingegneria dell'Informazione ed Elettrica e Matematica applicata,2024,01 - Scienze matematiche e informatiche
148,148,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AURICCHIO Gennaro,M,PADOVA,,MAT/09,01/A6,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2024,01 - Scienze matematiche e informatiche
149,149,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AURIEMMA CITARELLA Alessia,F,SALERNO,,INF/01,01/B1,INFORMATICA,2024,01 - Scienze matematiche e informatiche
150,150,Associato,AUTILI Marco,M,L'AQUILA,,INF/01,01/B1,Ingegneria e scienze dell'informazione e matematica,2024,01 - Scienze matematiche e informatiche
151,151,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AUTUORI Giuseppina,F,Politecnica delle MARCHE,,MAT/05,01/A3,INGEGNERIA INDUSTRIALE E SCIENZE MATEMATICHE,2024,01 - Scienze matematiche e informatiche
152,152,Associato confermato,AVALLONE Anna,F,BASILICATA,,MAT/05,01/A3,Scienze di Base e Applicate,2024,01 - Scienze matematiche e informatiche
153,153,Ordinario,AVANZINI Federico,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2024,01 - Scienze matematiche e informatiche
154,154,Ordinario,AVELLA Pasquale,M,SANNIO di BENEVENTO,,MAT/09,01/A6,Ingegneria,2024,01 - Scienze matematiche e informatiche
155,155,Associato confermato,AVELLONE Alessandro,M,MILANO-BICOCCA,,INF/01,01/B1,STATISTICA E METODI QUANTITATIVI,2024,01 - Scienze matematiche e informatiche
156,156,Associato,AVENA Luca,M,FIRENZE,,MAT/06,01/A3,Matematica e Informatica �Ulisse Dini�(DIMAI),2024,01 - Scienze matematiche e informatiche
157,157,Associato,AVITABILE Marina,F,MILANO-BICOCCA,,MAT/02,01/A2,MATEMATICA E APPLICAZIONI,2024,01 - Scienze matematiche e informatiche
158,158,Associato,AVOLA Danilo,M,"ROMA ""La Sapienza""",,INF/01,01/B1,Informatica,2024,01 - Scienze matematiche e informatiche
159,159,Associato,AYUSO DE DIOS Blanca Pilar,F,MILANO-BICOCCA,,MAT/08,01/A5,MATEMATICA E APPLICAZIONI,2024,01 - Scienze matematiche e informatiche
160,160,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AZZALI Sara,F,BARI,,MAT/03,01/A2,MATEMATICA,2024,01 - Scienze matematiche e informatiche
