,Unnamed: 0,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
19293,19293,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),CUTRUZZOLA' Antonio,M,CATANZARO,,MED/50,06/N1,MEDICINA SPERIMENTALE E CLINICA,2024,06 - Scienze mediche
19294,19294,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CUTTONE Giuseppe,M,UKE - Università Kore di ENNA,Medicina e Chirurgia ,MED/41,06/L1,Non disponibile,2024,06 - Scienze mediche
19295,19295,Ricercatore,D'ABBICCO Dario,M,BARI,,MED/18,06/C1,Medicina di Precisione e Rigenerativa e Area Jonica - DiMePRe-J,2024,06 - Scienze mediche
19296,19296,Ricercatore a t.d. - t.defin. (art. 24 c.3-a L. 240/10),D'ABRAMO Mizar,F,"ROMA ""La Sapienza""",,MED/23,06/E1,"SCIENZE CLINICHE INTERNISTICHE, ANESTESIOLOGICHE E CARDIOVASCOLARI",2024,06 - Scienze mediche
19297,19297,Ricercatore a t.d. - t.defin. (art. 24 c.3-a L. 240/10),D'ACCOLTI Maria,F,FERRARA,,MED/07,06/A3,Scienze dell'Ambiente e della Prevenzione,2024,06 - Scienze mediche
19298,19298,Associato,D'ADAMO Adamo Pio,M,TRIESTE,,MED/03,06/A1,"Scienze Mediche, Chirurgiche e della Salute",2024,06 - Scienze mediche
19299,19299,Ricercatore,D'ADAMO Monica,F,"ROMA ""Tor Vergata""",,MED/09,06/B1,Medicina dei sistemi,2024,06 - Scienze mediche
19300,19300,Associato,D'ADDATO Sergio,M,BOLOGNA,,MED/09,06/B1,Scienze Mediche e Chirurgiche,2024,06 - Scienze mediche
19301,19301,Ricercatore a t.d. - t.defin. (art. 24 c.3-a L. 240/10),D'ADDAZIO Gianmaria,M,CHIETI-PESCARA,,MED/28,06/F1,DIPARTIMENTO DI TECNOLOGIE INNOVATIVE IN MEDICINA & ODONTOIATRIA,2024,06 - Scienze mediche
19302,19302,Associato,D'ADDIO Francesca,F,MILANO,,MED/13,06/D2,Scienze biomediche e cliniche,2024,06 - Scienze mediche
19303,19303,Ordinario,D'ADDONA Antonio,M,Cattolica del Sacro Cuore,Medicina e Chirurgia ,MED/28,06/F1,ODONTOIATRIA E CHIRURGIA MAXILLO-FACCIALE,2024,06 - Scienze mediche
19304,19304,Ricercatore,D'AGOSTINI Cartesio,M,"ROMA ""Tor Vergata""",,MED/07,06/A3,Medicina Sperimentale,2024,06 - Scienze mediche
19305,19305,Associato confermato,D'AGOSTINI Francesco,M,GENOVA,,MED/42,06/M1,Scienze della salute  (DISSAL),2024,06 - Scienze mediche
19306,19306,Ordinario,D'AGOSTINO Antonio,M,VERONA,,MED/29,06/E3,"Scienze Chirurgiche, Odontostomatologiche e Materno-infantili",2024,06 - Scienze mediche
19307,19307,Associato,D'AGOSTINO Armando,M,MILANO,,MED/25,06/D5,Scienze della salute,2024,06 - Scienze mediche
19308,19308,Associato,D'AGOSTINO Fabio,M,UniCamillus - Saint Camillus International U,,MED/45,06/M1,Facolt� dipartimentale di Medicina,2024,06 - Scienze mediche
19309,19309,Ordinario,D'AGOSTINO Maria Antonietta,F,Cattolica del Sacro Cuore,Medicina e Chirurgia ,MED/16,06/D3,REUMATOLOGIA E SCIENZE AFFINI,2024,06 - Scienze mediche
19310,19310,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),D'AGOSTINO Mattia,M,TORINO,,MED/15,06/D3,BIOTECNOLOGIE MOLECOLARI E SCIENZE PER LA SALUTE,2024,06 - Scienze mediche
19311,19311,Ricercatore,D'ALATRI Lucia,F,Cattolica del Sacro Cuore,Medicina e Chirurgia ,MED/32,06/F3,CLINICA OTORINOLARINGOIATRICA,2024,06 - Scienze mediche
19312,19312,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),D'ALESSANDRIS Nicoletta,F,Cattolica del Sacro Cuore,Medicina e Chirurgia ,MED/08,06/A4,Non disponibile,2024,06 - Scienze mediche
19313,19313,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),D'ALESSANDRIS Quintino Giorgio,M,Cattolica del Sacro Cuore,Medicina e Chirurgia ,MED/27,06/E3,Non disponibile,2024,06 - Scienze mediche
19314,19314,Ordinario,D'ALESSANDRO Daniela,F,"ROMA ""La Sapienza""",,MED/42,06/M1,"Ingegneria civile, edile e ambientale",2024,06 - Scienze mediche
19315,19315,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),D'ALESSANDRO Miriana,F,SIENA,,MED/46,06/N1,"SCIENZE MEDICHE, CHIRURGICHE E NEUROSCIENZE",2024,06 - Scienze mediche
19316,19316,Associato,D'ALESSANDRO Sarah,F,MILANO,,MED/04,06/A2,Scienze farmacologiche e biomolecolari,2024,06 - Scienze mediche
19317,19317,Ricercatore,D'ALFONSO Angela,F,L'AQUILA,,MED/40,06/H1,"Medicina clinica, sanit� pubblica, scienze della vita e dell'ambiente",2024,06 - Scienze mediche
19318,19318,Ordinario,D'ALFONSO Sandra,F,PIEMONTE ORIENTALE,,MED/03,06/A1,Scienze della Salute,2024,06 - Scienze mediche
19319,19319,Ricercatore,D'ALO' Francesco,M,Cattolica del Sacro Cuore,Medicina e Chirurgia ,MED/15,06/D3,SCIENZE RADIOLOGICHE ED EMATOLOGICHE,2024,06 - Scienze mediche
19320,19320,Ordinario,D'ALOJA Ernesto,M,CAGLIARI,,MED/43,06/M2,Scienze Mediche e Sanit� Pubblica,2024,06 - Scienze mediche
19321,19321,Ricercatore a t.d. - t.defin. (L. 79/2022),D'ALTERIO Maurizio Nicola,M,CAGLIARI,,MED/40,06/H1,SCIENZE CHIRURGICHE,2024,06 - Scienze mediche
19322,19322,Associato,D'AMARIO Domenico,M,PIEMONTE ORIENTALE,,MED/11,06/D1,Medicina Traslazionale,2024,06 - Scienze mediche
19323,19323,Ricercatore a t.d. - t.pieno (L. 79/2022),D'AMATI Antonio,M,"LUM ""Giuseppe Degennaro""",,MED/08,06/A4,DIPARTIMENTO DI MEDICINA E CHIRURGIA,2024,06 - Scienze mediche
19324,19324,Ordinario,D'AMATI Giulia,F,"ROMA ""La Sapienza""",,MED/08,06/A4,"Scienze radiologiche, oncologiche e anatomo-patologiche",2024,06 - Scienze mediche
19325,19325,Ricercatore a t.d. - t.defin. (art. 24 c.3-a L. 240/10),D'AMATO Giuseppe,M,UniCamillus - Saint Camillus International U,,MED/28,06/F1,FACOLT� DIPARTIMENTALE DI MEDICINA,2024,06 - Scienze mediche
19326,19326,Ordinario,D'AMATO Mauro,M,"LUM ""Giuseppe Degennaro""",,MED/03,06/A1,Dipartimento di Medicina e Chirurgia,2024,06 - Scienze mediche
19327,19327,Associato,D'AMATO Salvatore,M,"CAMPANIA - ""L. VANVITELLI""",,MED/29,06/E3,MULTIDISCIPLINARE DI SPECIALITA' MEDICO-CHIRURGICHE E ODONTOIATRICHE,2024,06 - Scienze mediche
19328,19328,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),D'AMBROSI Riccardo,M,MILANO,,MED/33,06/F4,SCIENZE BIOMEDICHE PER LA SALUTE,2024,06 - Scienze mediche
19329,19329,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),D'AMBROSIO Alessandro,M,"CAMPANIA - ""L. VANVITELLI""",,MED/26,06/D6,SCIENZE MEDICHE E CHIRURGICHE AVANZATE,2024,06 - Scienze mediche
19330,19330,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),D'AMBROSIO Enrico,M,BARI,,MED/25,06/D5,BIOMEDICINA TRASLAZIONALE E NEUROSCIENZE (DIBRAIN),2024,06 - Scienze mediche
19331,19331,Associato,D'AMBROSIO Giancarlo,M,"ROMA ""La Sapienza""",,MED/18,06/C1,Chirurgia Generale e Specialistica,2024,06 - Scienze mediche
19332,19332,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),D'AMBROSIO Lorenzo,M,TORINO,,MED/06,06/D3,ONCOLOGIA,2024,06 - Scienze mediche
