Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ABATANGELO Laura,F,MILANO-BICOCCA,,MAT/05,01/A3,MATEMATICA E APPLICAZIONI,2020,01 - Scienze matematiche e informatiche
Associato confermato,ABATE Andrea Francesco,M,SALERNO,,INF/01,01/B1,Informatica,2020,01 - Scienze matematiche e informatiche
Ordinario,ABATE Marco,M,PISA,,MAT/03,01/A2,MATEMATICA,2020,01 - Scienze matematiche e informatiche
Associato confermato,ABBATTISTA Fabio,M,BARI,,INF/01,01/B1,Informatica,2020,01 - Scienze matematiche e informatiche
Associato confermato,ABENDA Simonetta,F,BOLOGNA,,MAT/05,01/A3,Matematica,2020,01 - Scienze matematiche e informatiche
Ricercatore,ABREU Marien,F,BASILICATA,,MAT/03,01/A2,"Matematica, Informatica ed Economia",2020,01 - Scienze matematiche e informatiche
Associato,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Matematica,2020,01 - Scienze matematiche e informatiche
Associato confermato,ACAMPORA Giovanni,M,Napoli Federico II,,INF/01,01/B1,"Fisica ""Ettore Pancini""",2020,01 - Scienze matematiche e informatiche
Associato confermato,ACCIARO Vincenzo,M,CHIETI-PESCARA,,INF/01,01/B1,Economia,2020,01 - Scienze matematiche e informatiche
Ordinario,ACERBI Emilio Daniele G.,M,PARMA,,MAT/05,01/A3,"Scienze Matematiche, Fisiche e Informatiche",2020,01 - Scienze matematiche e informatiche
Associato,ACETO Lidia,F,PISA,,MAT/08,01/A5,MATEMATICA,2020,01 - Scienze matematiche e informatiche
Ordinario,ACETO Luca,M,Gran Sasso Science Institute,,INF/01,01/B1,Area di Informatica,2020,01 - Scienze matematiche e informatiche
Ordinario,ADAMI Riccardo,M,Politecnico di TORINO,,MAT/05,01/A3,SCIENZE MATEMATICHE Giuseppe Luigi Lagrange,2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ADDONA Davide,M,PARMA,,MAT/05,01/A3,"SCIENZE MATEMATICHE, FISICHE E INFORMATICHE",2020,01 - Scienze matematiche e informatiche
Associato confermato,AGLIANO' Paolo,M,SIENA,,MAT/02,01/A2,Ingegneria dellInformazione e Scienze Matematiche,2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AGLIARI Elena,F,"ROMA ""La Sapienza""",,MAT/07,01/A4,MATEMATICA,2020,01 - Scienze matematiche e informatiche
Ordinario,AGNETIS Alessandro,M,SIENA,,MAT/09,01/A6,Ingegneria dellInformazione e Scienze Matematiche,2020,01 - Scienze matematiche e informatiche
Associato confermato,AGOSTINI Alessandra,F,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2020,01 - Scienze matematiche e informatiche
Associato,AGOSTINIANI Virginia,F,TRENTO,,MAT/05,01/A3,Fisica,2020,01 - Scienze matematiche e informatiche
Ordinario,AGRACHEV Andrey,M,SISSA - TRIESTE,Classe di Fisica e Classe di Matematica,MAT/05,01/A3,AREA MATEMATICA,2020,01 - Scienze matematiche e informatiche
Associato,AGUGLIA Angela,F,Politecnico di BARI,,MAT/03,01/A2,"Dipartimento di Meccanica, Matematica e Management",2020,01 - Scienze matematiche e informatiche
Associato,AGUZZOLI Stefano,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AHMETOVIC Dragan,M,MILANO,,INF/01,01/B1,INFORMATICA 'GIOVANNI DEGLI ANTONI',2020,01 - Scienze matematiche e informatiche
Associato,AIMI Alessandra,F,PARMA,,MAT/08,01/A5,"Scienze Matematiche, Fisiche e Informatiche",2020,01 - Scienze matematiche e informatiche
Associato,AIOLLI Fabio,M,PADOVA,,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ALAIMO Salvatore,M,CATANIA,,INF/01,01/B1,MEDICINA CLINICA E SPERIMENTALE,2020,01 - Scienze matematiche e informatiche
Associato confermato,ALBANESE Angela Anna,F,SALENTO,,MAT/05,01/A3,Matematica e Fisica Ennio De Giorgi,2020,01 - Scienze matematiche e informatiche
Associato confermato,ALBANO Alberto,M,TORINO,,MAT/03,01/A2,Matematica Giuseppe Peano,2020,01 - Scienze matematiche e informatiche
Associato,ALBANO Giovannina,F,SALERNO,,MAT/04,01/A1,Ingegneria dell'Informazione ed Elettrica e Matematica applicata,2020,01 - Scienze matematiche e informatiche
Ordinario,ALBANO Paolo,M,BOLOGNA,,MAT/05,01/A3,Matematica,2020,01 - Scienze matematiche e informatiche
Associato,ALBARELLI Andrea,M,"""Ca' Foscari"" VENEZIA",,INF/01,01/B1,"Scienze Ambientali, Informatica e Statistica",2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALBERTI Giovanni,M,GENOVA,,MAT/05,01/A3,MATEMATICA (DIMA),2020,01 - Scienze matematiche e informatiche
Ordinario,ALBERTI Giovanni,M,PISA,,MAT/05,01/A3,MATEMATICA,2020,01 - Scienze matematiche e informatiche
Associato,ALBERTI Marco,M,FERRARA,,INF/01,01/B1,Matematica e informatica,2020,01 - Scienze matematiche e informatiche
Associato,ALBERTINI Francesca,F,PADOVA,,MAT/05,01/A3,TECNICA E GESTIONE DEI SISTEMI INDUSTRIALI - DTG,2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALBI Giacomo,M,VERONA,,MAT/08,01/A5,INFORMATICA,2020,01 - Scienze matematiche e informatiche
Associato,ALDINI Alessandro,M,Urbino Carlo Bo,,INF/01,01/B1,Scienze Pure e Applicate (DiSPeA),2020,01 - Scienze matematiche e informatiche
Ordinario,ALDINUCCI Marco,M,TORINO,,INF/01,01/B1,Informatica,2020,01 - Scienze matematiche e informatiche
Associato confermato,ALESSI Fabio,M,UDINE,,INF/01,01/B1,"Scienze Matematiche, Informatiche e Fisiche",2020,01 - Scienze matematiche e informatiche
Associato,ALESSIO Francesca Gemma,F,Politecnica delle MARCHE,,MAT/05,01/A3,INGEGNERIA INDUSTRIALE E SCIENZE MATEMATICHE,2020,01 - Scienze matematiche e informatiche
Ordinario,ALETTI Giacomo,M,MILANO,,MAT/06,01/A3,Scienze e politiche ambientali,2020,01 - Scienze matematiche e informatiche
Ricercatore,ALFIERI Roberto,M,PARMA,,INF/01,01/B1,"Scienze Matematiche, Fisiche e Informatiche",2020,01 - Scienze matematiche e informatiche
Associato,ALI' Giuseppe,M,della CALABRIA,,MAT/07,01/A4,Fisica,2020,01 - Scienze matematiche e informatiche
Associato,ALICANDRO Roberto,M,CASSINO e LAZIO MERIDIONALE,,MAT/05,01/A3,"Ingegneria Elettrica e dell'Informazione ""Maurizio Scarano""",2020,01 - Scienze matematiche e informatiche
Ordinario,ALONSO RODRIGUEZ Ana Maria,F,TRENTO,,MAT/08,01/A5,Matematica,2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALTAVILLA Amedeo,M,BARI,,MAT/03,01/A2,MATEMATICA,2020,01 - Scienze matematiche e informatiche
Ordinario,ALTOMARE Francesco,M,BARI,,MAT/05,01/A3,Matematica,2020,01 - Scienze matematiche e informatiche
Associato,ALVIANO Mario,M,della CALABRIA,,INF/01,01/B1,Matematica e Informatica - DeMaCS,2020,01 - Scienze matematiche e informatiche
Associato confermato,ALZATI Alberto,M,MILANO,,MAT/03,01/A2,Matematica 'Federigo Enriques',2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AMADINI Roberto,M,BOLOGNA,,INF/01,01/B1,INFORMATICA - SCIENZA E INGEGNERIA,2020,01 - Scienze matematiche e informatiche
Ricercatore,AMADORI Anna Lisa,F,"""Parthenope"" di NAPOLI",,MAT/05,01/A3,SCIENZE E TECNOLOGIE,2020,01 - Scienze matematiche e informatiche
Ordinario,AMADORI Debora,F,L'AQUILA,,MAT/05,01/A3,Ingegneria e scienze dell'informazione e matematica,2020,01 - Scienze matematiche e informatiche
Ordinario,AMALDI Edoardo,M,Politecnico di MILANO,,MAT/09,01/A6,"Elettronica, Informazione e Bioingegneria",2020,01 - Scienze matematiche e informatiche
Associato confermato,AMAR Micol,F,"ROMA ""La Sapienza""",,MAT/05,01/A3,Scienze di base e applicate per l'ingegneria,2020,01 - Scienze matematiche e informatiche
Associato,AMATO Gianluca,M,CHIETI-PESCARA,,MAT/01,01/A1,Economia aziendale,2020,01 - Scienze matematiche e informatiche
Ricercatore,AMATO Roberto,M,MESSINA,,MAT/05,01/A3,Ingegneria,2020,01 - Scienze matematiche e informatiche
Ordinario,AMBRIOLA Vincenzo,M,PISA,,INF/01,01/B1,INFORMATICA,2020,01 - Scienze matematiche e informatiche
Ordinario,AMBROSI Davide Carlo,M,Politecnico di TORINO,,MAT/07,01/A4,SCIENZE MATEMATICHE Giuseppe Luigi Lagrange,2020,01 - Scienze matematiche e informatiche
Associato,AMBROSINO Daniela,F,GENOVA,,MAT/09,01/A6,Economia,2020,01 - Scienze matematiche e informatiche
Ordinario,AMBROSIO Luigi,M,Scuola Normale Superiore di PISA,,MAT/05,01/A3,Classe di scienze,2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AMBROSIO Vincenzo,M,Politecnica delle MARCHE,,MAT/05,01/A3,INGEGNERIA INDUSTRIALE E SCIENZE MATEMATICHE,2020,01 - Scienze matematiche e informatiche
Associato,AMENDOLA Gennaro,M,"Univ. Telematica ""E-CAMPUS""",Ingegneria,MAT/03,01/A2,DIPARTIMENTO E-CAMPUS,2020,01 - Scienze matematiche e informatiche
Ricercatore,AMODDEO Antonino,M,Mediterranea di REGGIO CALABRIA,,MAT/07,01/A4,"Ingegneria Civile, dell'Energia, dell'Ambiente e dei Materiali",2020,01 - Scienze matematiche e informatiche
Associato confermato,AMODIO Pierluigi,M,BARI,,MAT/08,01/A5,Matematica,2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AMOROSI Lavinia,F,"ROMA ""La Sapienza""",,MAT/09,01/A6,SCIENZE STATISTICHE,2020,01 - Scienze matematiche e informatiche
Associato confermato,AMOROSO Alessandro,M,BOLOGNA,,INF/01,01/B1,Informatica - Scienza e Ingegneria,2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AMPARORE Elvio Gilberto,M,TORINO,,INF/01,01/B1,INFORMATICA,2020,01 - Scienze matematiche e informatiche
Ricercatore,ANATRIELLO Giuseppina,F,Napoli Federico II,,MAT/05,01/A3,Architettura,2020,01 - Scienze matematiche e informatiche
Associato,ANCONA Davide,M,GENOVA,,INF/01,01/B1,"Informatica, bioingegneria,robotica e ingegneria dei sistemi (DIBRIS)",2020,01 - Scienze matematiche e informatiche
Ordinario,ANCONA Fabio,M,PADOVA,,MAT/05,01/A3,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ANDOLINA Salvatore,M,PALERMO,,INF/01,01/B1,MATEMATICA E INFORMATICA,2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ANDRA' Chiara,F,PIEMONTE ORIENTALE,,MAT/04,01/A1,SVILUPPO SOSTENIBILE E LA TRANSIZIONE ECOLOGICA,2020,01 - Scienze matematiche e informatiche
Ordinario,ANDREATTA Fabrizio,M,MILANO,,MAT/02,01/A2,Matematica 'Federigo Enriques',2020,01 - Scienze matematiche e informatiche
Ordinario,ANDREATTA Marco,M,TRENTO,,MAT/03,01/A2,Matematica,2020,01 - Scienze matematiche e informatiche
Ricercatore,ANDREOLINI Mauro,M,MODENA e REGGIO EMILIA,,INF/01,01/B1,"Scienze fisiche, informatiche e matematiche",2020,01 - Scienze matematiche e informatiche
Ordinario,ANDRETTA Alessandro,M,TORINO,,MAT/01,01/A1,Matematica Giuseppe Peano,2020,01 - Scienze matematiche e informatiche
Ordinario,ANDREUCCI Daniele,M,"ROMA ""La Sapienza""",,MAT/07,01/A4,Scienze di base e applicate per l'ingegneria,2020,01 - Scienze matematiche e informatiche
Ricercatore,ANEDDA Claudia,F,CAGLIARI,,MAT/05,01/A3,Matematica e Informatica,2020,01 - Scienze matematiche e informatiche
Ordinario,ANELLO Giovanni,M,MESSINA,,MAT/05,01/A3,"Scienze Matematiche ed Informatiche, Scienze Fisiche e Scienze della Terra",2020,01 - Scienze matematiche e informatiche
Ordinario,ANGELERI Lidia,F,VERONA,,MAT/02,01/A2,Informatica,2020,01 - Scienze matematiche e informatiche
Associato,ANGELLA Daniele,M,FIRENZE,,MAT/03,01/A2,Matematica e Informatica Ulisse Dini(DIMAI),2020,01 - Scienze matematiche e informatiche
Associato,ANGELONI Laura,F,PERUGIA,,MAT/05,01/A3,MATEMATICA E INFORMATICA,2020,01 - Scienze matematiche e informatiche
Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ANGIULI Luciana,F,SALENTO,,MAT/05,01/A3,MATEMATICA E FISICA ENNIO DE GIORGI,2020,01 - Scienze matematiche e informatiche
