,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
0,Associato confermato,ABATANGELO Luca Maria I.,F,BARI,Economia,MAT/02,,STATISTICA,2000,01 - Scienze matematiche e informatiche
1,Associato confermato,ABATANGELO Vito,M,Politecnico di BARI,Ingegneria,MAT/03,,MATEMATICA,2000,01 - Scienze matematiche e informatiche
2,Ricercatore non confermato,ABATE Andrea Francesco,M,SALERNO,Farmacia,,,STUDI E RICERCHE AZIENDALI/DISTRA,2000,01 - Scienze matematiche e informatiche
3,Ordinario,ABATE Marco,M,"ROMA ""Tor Vergata""",Scienze Matematiche Fisiche e Naturali,MAT/03,,MATEMATICA,2000,01 - Scienze matematiche e informatiche
4,Ricercatore,ABBA' Antonella,F,Politecnico di MILANO,Ingegneria,MAT/07,,MATEMATICA,2000,01 - Scienze matematiche e informatiche
5,Ordinario,ABBATI MARESCOTTI Pier Paolo,M,BOLOGNA,Ingegneria,,,MATEMATICA,2000,01 - Scienze matematiche e informatiche
6,Ricercatore,ABBATTISTA Fabio,M,BARI,Scienze Matematiche Fisiche e Naturali,INF/01,,INFORMATICA,2000,01 - Scienze matematiche e informatiche
7,Ordinario,ABBATTISTA Nicola,M,BARI,Scienze Matematiche Fisiche e Naturali,INF/01,,INFORMATICA,2000,01 - Scienze matematiche e informatiche
8,Associato confermato,ABBENA Elsa,F,TORINO,Scienze Matematiche Fisiche e Naturali,,,MATEMATICA,2000,01 - Scienze matematiche e informatiche
9,Ricercatore,ABBONDANDOLO Alberto,M,Scuola Normale Superiore di PISA,Classe di Scienze Mat. e Nat.,,,MATEMATICA,2000,01 - Scienze matematiche e informatiche
10,Ordinario,ABEASIS Silvana,F,"ROMA ""Tor Vergata""",Scienze Matematiche Fisiche e Naturali,MAT/03,,MATEMATICA,2000,01 - Scienze matematiche e informatiche
11,Ricercatore,ABENDA Simonetta,F,BOLOGNA,Ingegneria,,,MATEMATICA,2000,01 - Scienze matematiche e informatiche
12,Ricercatore,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",Scienze Matematiche Fisiche e Naturali,MAT/06,,MATEMATICA,2000,01 - Scienze matematiche e informatiche
13,Associato confermato,ACANFORA Fausto,M,"CAMPANIA - ""L. VANVITELLI""",Ingegneria,,,INGEGNERIA DELL'INFORMAZIONE,2000,01 - Scienze matematiche e informatiche
14,Associato confermato,ACCASCINA Giuseppe,M,"ROMA ""La Sapienza""",Ingegneria,,,SCIENZE DI BASE ED APPLICATE PER L'INGEGNERIA,2000,01 - Scienze matematiche e informatiche
15,Associato non confermato,ACCIARO Vincenzo,M,BARI,Scienze Matematiche Fisiche e Naturali,INF/01,,SCIENZE,2000,01 - Scienze matematiche e informatiche
16,Ordinario,ACERBI Emilio Daniele G.,M,PARMA,Ingegneria,,,MATEMATICA,2000,01 - Scienze matematiche e informatiche
