,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
0,Ordinario,ABATANGELO Vito,M,Politecnico di BARI,,MAT/03,01/A2,"Dipartimento di Meccanica, Matematica e Management",2013,01 - Scienze matematiche e informatiche
1,Associato confermato,ABATE Andrea Francesco,M,SALERNO,,INF/01,01/B1,Studi e Ricerche Aziendali (Management & Information Technology),2013,01 - Scienze matematiche e informatiche
2,Ordinario,ABATE Marco,M,PISA,,MAT/03,01/A2,MATEMATICA,2013,01 - Scienze matematiche e informatiche
3,Ricercatore,ABBA' Antonella,F,Politecnico di MILANO,,MAT/07,01/A4,Scienze e Tecnologie Aerospaziali,2013,01 - Scienze matematiche e informatiche
4,Associato confermato,ABBATTISTA Fabio,M,BARI,,INF/01,01/B1,Informatica,2013,01 - Scienze matematiche e informatiche
5,Associato confermato,ABBENA Elsa,F,TORINO,,MAT/03,01/A2,Matematica Giuseppe Peano,2013,01 - Scienze matematiche e informatiche
6,Associato confermato,ABBONDANDOLO Alberto,M,PISA,,MAT/05,01/A3,MATEMATICA,2013,01 - Scienze matematiche e informatiche
7,Ricercatore a t.d. (art.1 comma 14 L. 230/05),ABBOTT John Anthony,M,GENOVA,,MAT/02,,MATEMATICA (DIMA),2013,01 - Scienze matematiche e informatiche
8,Associato confermato,ABENDA Simonetta,F,BOLOGNA,,MAT/05,01/A3,Matematica,2013,01 - Scienze matematiche e informatiche
9,Ricercatore,ABREU Marien,F,BASILICATA,,MAT/03,01/A2,"Matematica, Informatica ed Economia",2013,01 - Scienze matematiche e informatiche
10,Ricercatore,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Matematica,2013,01 - Scienze matematiche e informatiche
11,Associato confermato,ACANFORA Fausto,M,"CAMPANIA - ""L. VANVITELLI""",,MAT/05,01/A3,MATEMATICA E FISICA (DMF),2013,01 - Scienze matematiche e informatiche
12,Ordinario,ACCARDI Luigi,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Economia e Finanza,2013,01 - Scienze matematiche e informatiche
13,Associato confermato,ACCASCINA Giuseppe,M,"ROMA ""La Sapienza""",,MAT/03,01/A2,Scienze di base e applicate per l'ingegneria,2013,01 - Scienze matematiche e informatiche
14,Associato confermato,ACCIARO Vincenzo,M,CHIETI-PESCARA,,INF/01,01/B1,Ingegneria e geologia,2013,01 - Scienze matematiche e informatiche
15,Ordinario,ACERBI Emilio Daniele G.,M,PARMA,,MAT/05,01/A3,MATEMATICA E INFORMATICA,2013,01 - Scienze matematiche e informatiche
16,Ricercatore,ACETO Lidia,F,PISA,,MAT/08,01/A5,MATEMATICA,2013,01 - Scienze matematiche e informatiche
17,Associato confermato,ACHILLES Hans Joachim Rudiger,M,BOLOGNA,,MAT/03,01/A2,Matematica,2013,01 - Scienze matematiche e informatiche
18,Associato confermato,ACQUISTAPACE Francesca,F,PISA,,MAT/03,01/A2,MATEMATICA,2013,01 - Scienze matematiche e informatiche
19,Associato confermato,ACQUISTAPACE Paolo,M,PISA,,MAT/05,01/A3,MATEMATICA,2013,01 - Scienze matematiche e informatiche
20,Ricercatore,ADAMI Riccardo,M,Politecnico di TORINO,,MAT/07,01/A4,SCIENZE MATEMATICHE Giuseppe Luigi Lagrange,2013,01 - Scienze matematiche e informatiche
21,Associato confermato,AGLIANO' Paolo,M,SIENA,,MAT/02,01/A2,Ingegneria dellInformazione e Scienze Matematiche,2013,01 - Scienze matematiche e informatiche
22,Ordinario,AGNETIS Alessandro,M,SIENA,,MAT/09,01/A6,Ingegneria dellInformazione e Scienze Matematiche,2013,01 - Scienze matematiche e informatiche
23,Associato confermato,AGOSTINI Alessandra,F,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2013,01 - Scienze matematiche e informatiche
24,Ordinario,AGRACHEV Andrey,M,SISSA - TRIESTE,Classe di Fisica e Classe di Matematica,MAT/05,01/A3,AREA MATEMATICA,2013,01 - Scienze matematiche e informatiche
25,Ricercatore a t.d. (art.1 comma 14 L. 230/05),AGRESTE Santa,F,MESSINA,,INF/01,01/B1,"SCIENZE MATEMATICHE ED INFORMATICHE, SCIENZE FISICHE E SCIENZE DELLA TERRA",2013,01 - Scienze matematiche e informatiche
26,Ricercatore,AGUGLIA Angela,F,Politecnico di BARI,,MAT/03,01/A2,"Dipartimento di Meccanica, Matematica e Management",2013,01 - Scienze matematiche e informatiche
27,Ricercatore,AGUZZOLI Stefano,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2013,01 - Scienze matematiche e informatiche
28,Ordinario,AIENA Pietro,M,PALERMO,,MAT/05,01/A3,"Energia, Ingegneria dell'Informazione e Modelli Matematici (DEIM)",2013,01 - Scienze matematiche e informatiche
29,Ricercatore,AIMI Alessandra,F,PARMA,,MAT/08,01/A5,MATEMATICA E INFORMATICA,2013,01 - Scienze matematiche e informatiche
30,Ricercatore,AIOLLI Fabio,M,PADOVA,,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2013,01 - Scienze matematiche e informatiche
31,Associato confermato,ALBANESE Angela Anna,F,SALENTO,,MAT/05,01/A3,Matematica e Fisica Ennio De Giorgi,2013,01 - Scienze matematiche e informatiche
32,Associato confermato,ALBANO Alberto,M,TORINO,,MAT/03,01/A2,Matematica Giuseppe Peano,2013,01 - Scienze matematiche e informatiche
33,Ordinario,ALBANO Antonio,M,PISA,,INF/01,01/B1,INFORMATICA,2013,01 - Scienze matematiche e informatiche
34,Ricercatore,ALBANO Giovannina,F,SALERNO,,MAT/03,01/A2,"Ingegneria dell'informazione, Ingegneria elettrica e Matematica applicata",2013,01 - Scienze matematiche e informatiche
35,Ricercatore,ALBANO Paolo,M,BOLOGNA,,MAT/05,01/A3,Matematica,2013,01 - Scienze matematiche e informatiche
36,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ALBARELLI Andrea,M,"""Ca' Foscari"" VENEZIA",,INF/01,01/B1,"SCIENZE AMBIENTALI, INFORMATICA E STATISTICA",2013,01 - Scienze matematiche e informatiche
