,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
0,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ABATANGELO Laura,F,Politecnico di MILANO,,MAT/05,01/A3,MATEMATICA,2021,01 - Scienze matematiche e informatiche
1,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ABATANGELO Nicola,M,BOLOGNA,,MAT/05,01/A3,MATEMATICA,2021,01 - Scienze matematiche e informatiche
2,Ordinario,ABATE Andrea Francesco,M,SALERNO,,INF/01,01/B1,Informatica,2021,01 - Scienze matematiche e informatiche
3,Ordinario,ABATE Marco,M,PISA,,MAT/03,01/A2,MATEMATICA,2021,01 - Scienze matematiche e informatiche
4,Associato confermato,ABBATTISTA Fabio,M,BARI,,INF/01,01/B1,Informatica,2021,01 - Scienze matematiche e informatiche
5,Associato confermato,ABENDA Simonetta,F,BOLOGNA,,MAT/05,01/A3,Matematica,2021,01 - Scienze matematiche e informatiche
6,Associato,ABREU Marien,F,BASILICATA,,MAT/03,01/A2,"Matematica, Informatica ed Economia",2021,01 - Scienze matematiche e informatiche
7,Associato,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Matematica,2021,01 - Scienze matematiche e informatiche
8,Ordinario,ACAMPORA Giovanni,M,Napoli Federico II,,INF/01,01/B1,"Fisica ""Ettore Pancini""",2021,01 - Scienze matematiche e informatiche
9,Associato confermato,ACCIARO Vincenzo,M,CHIETI-PESCARA,,INF/01,01/B1,Economia,2021,01 - Scienze matematiche e informatiche
10,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ACCIARRI Cristina,F,MODENA e REGGIO EMILIA,,MAT/02,01/A2,"SCIENZE FISICHE, INFORMATICHE E MATEMATICHE",2021,01 - Scienze matematiche e informatiche
11,Ordinario,ACERBI Emilio Daniele G.,M,PARMA,,MAT/05,01/A3,"Scienze Matematiche, Fisiche e Informatiche",2021,01 - Scienze matematiche e informatiche
12,Associato,ACETO Lidia,F,PIEMONTE ORIENTALE,,MAT/08,01/A5,Scienze e Innovazione Tecnologica (DISIT),2021,01 - Scienze matematiche e informatiche
13,Ordinario,ACETO Luca,M,Gran Sasso Science Institute,,INF/01,01/B1,Area di Informatica,2021,01 - Scienze matematiche e informatiche
14,Ordinario,ADAMI Riccardo,M,Politecnico di TORINO,,MAT/05,01/A3,SCIENZE MATEMATICHE Giuseppe Luigi Lagrange,2021,01 - Scienze matematiche e informatiche
15,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ADDONA Davide,M,PARMA,,MAT/05,01/A3,"SCIENZE MATEMATICHE, FISICHE E INFORMATICHE",2021,01 - Scienze matematiche e informatiche
16,Associato confermato,AGLIANO' Paolo,M,SIENA,,MAT/02,01/A2,Ingegneria dellInformazione e Scienze Matematiche,2021,01 - Scienze matematiche e informatiche
17,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AGLIARI Elena,F,"ROMA ""La Sapienza""",,MAT/07,01/A4,MATEMATICA,2021,01 - Scienze matematiche e informatiche
18,Ordinario,AGNETIS Alessandro,M,SIENA,,MAT/09,01/A6,Ingegneria dellInformazione e Scienze Matematiche,2021,01 - Scienze matematiche e informatiche
19,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AGOSTI Abramo,M,PAVIA,,MAT/05,01/A3,MATEMATICA,2021,01 - Scienze matematiche e informatiche
20,Associato confermato,AGOSTINI Alessandra,F,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2021,01 - Scienze matematiche e informatiche
21,Associato,AGOSTINIANI Virginia,F,TRENTO,,MAT/05,01/A3,Fisica,2021,01 - Scienze matematiche e informatiche
22,Ordinario,AGRACHEV Andrey,M,SISSA - TRIESTE,Classe di Fisica e Classe di Matematica,MAT/05,01/A3,AREA MATEMATICA,2021,01 - Scienze matematiche e informatiche
23,Associato,AGUGLIA Angela,F,Politecnico di BARI,,MAT/03,01/A2,"Dipartimento di Meccanica, Matematica e Management",2021,01 - Scienze matematiche e informatiche
24,Associato,AGUZZOLI Stefano,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2021,01 - Scienze matematiche e informatiche
25,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AHMETOVIC Dragan,M,MILANO,,INF/01,01/B1,INFORMATICA 'GIOVANNI DEGLI ANTONI',2021,01 - Scienze matematiche e informatiche
26,Associato,AIMI Alessandra,F,PARMA,,MAT/08,01/A5,"Scienze Matematiche, Fisiche e Informatiche",2021,01 - Scienze matematiche e informatiche
27,Associato,AIOLLI Fabio,M,PADOVA,,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2021,01 - Scienze matematiche e informatiche
28,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALAIMO Salvatore,M,CATANIA,,INF/01,01/B1,MEDICINA CLINICA E SPERIMENTALE,2021,01 - Scienze matematiche e informatiche
29,Ordinario,ALBANESE Angela Anna,F,SALENTO,,MAT/05,01/A3,Matematica e Fisica Ennio De Giorgi,2021,01 - Scienze matematiche e informatiche
30,Associato confermato,ALBANO Alberto,M,TORINO,,MAT/03,01/A2,Matematica Giuseppe Peano,2021,01 - Scienze matematiche e informatiche
31,Associato,ALBANO Giovannina,F,SALERNO,,MAT/04,01/A1,Ingegneria dell'Informazione ed Elettrica e Matematica applicata,2021,01 - Scienze matematiche e informatiche
32,Ordinario,ALBANO Paolo,M,BOLOGNA,,MAT/05,01/A3,Matematica,2021,01 - Scienze matematiche e informatiche
33,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALBERICI Diego,M,L'AQUILA,,MAT/07,01/A4,INGEGNERIA E SCIENZE DELL'INFORMAZIONE E MATEMATICA,2021,01 - Scienze matematiche e informatiche
34,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALBERTI Giovanni,M,GENOVA,,MAT/05,01/A3,MATEMATICA (DIMA),2021,01 - Scienze matematiche e informatiche
35,Ordinario,ALBERTI Giovanni,M,PISA,,MAT/05,01/A3,MATEMATICA,2021,01 - Scienze matematiche e informatiche
36,Associato,ALBERTI Marco,M,FERRARA,,INF/01,01/B1,Matematica e informatica,2021,01 - Scienze matematiche e informatiche
37,Associato,ALBERTINI Francesca,F,PADOVA,,MAT/05,01/A3,TECNICA E GESTIONE DEI SISTEMI INDUSTRIALI - DTG,2021,01 - Scienze matematiche e informatiche
38,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALBI Giacomo,M,VERONA,,MAT/08,01/A5,INFORMATICA,2021,01 - Scienze matematiche e informatiche
39,Associato,ALDINI Alessandro,M,Urbino Carlo Bo,,INF/01,01/B1,Scienze Pure e Applicate (DiSPeA),2021,01 - Scienze matematiche e informatiche
40,Ordinario,ALDINUCCI Marco,M,TORINO,,INF/01,01/B1,Informatica,2021,01 - Scienze matematiche e informatiche
41,Associato confermato,ALESSI Fabio,M,UDINE,,INF/01,01/B1,"Scienze Matematiche, Informatiche e Fisiche",2021,01 - Scienze matematiche e informatiche
42,Associato,ALESSIO Francesca Gemma,F,Politecnica delle MARCHE,,MAT/05,01/A3,INGEGNERIA INDUSTRIALE E SCIENZE MATEMATICHE,2021,01 - Scienze matematiche e informatiche
43,Ordinario,ALETTI Giacomo,M,MILANO,,MAT/06,01/A3,Scienze e politiche ambientali,2021,01 - Scienze matematiche e informatiche
44,Ricercatore,ALFIERI Roberto,M,PARMA,,INF/01,01/B1,"Scienze Matematiche, Fisiche e Informatiche",2021,01 - Scienze matematiche e informatiche
45,Associato,ALI' Giuseppe,M,della CALABRIA,,MAT/07,01/A4,Fisica,2021,01 - Scienze matematiche e informatiche
46,Associato,ALICANDRO Roberto,M,CASSINO e LAZIO MERIDIONALE,,MAT/05,01/A3,"Ingegneria Elettrica e dell'Informazione ""Maurizio Scarano""",2021,01 - Scienze matematiche e informatiche
47,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALLA Alessandro,M,"""Ca' Foscari"" VENEZIA",,MAT/08,01/A5,SCIENZE MOLECOLARI E NANOSISTEMI,2021,01 - Scienze matematiche e informatiche
48,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALMI Stefano,M,Napoli Federico II,,MAT/05,01/A3,"MATEMATICA E APPLICAZIONI ""RENATO CACCIOPPOLI""",2021,01 - Scienze matematiche e informatiche
49,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ALOISIO Alessandro,M,Univ. Studi Internazionali di ROMA (UNINT),Economia,INF/01,01/B1,PIO V,2021,01 - Scienze matematiche e informatiche
50,Ordinario,ALONSO RODRIGUEZ Ana Maria,F,TRENTO,,MAT/08,01/A5,Matematica,2021,01 - Scienze matematiche e informatiche
51,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALTAVILLA Amedeo,M,BARI,,MAT/03,01/A2,MATEMATICA,2021,01 - Scienze matematiche e informatiche
52,Associato,ALVIANO Mario,M,della CALABRIA,,INF/01,01/B1,Matematica e Informatica - DeMaCS,2021,01 - Scienze matematiche e informatiche
53,Associato confermato,ALZATI Alberto,M,MILANO,,MAT/03,01/A2,Matematica 'Federigo Enriques',2021,01 - Scienze matematiche e informatiche
54,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AMADINI Roberto,M,BOLOGNA,,INF/01,01/B1,INFORMATICA - SCIENZA E INGEGNERIA,2021,01 - Scienze matematiche e informatiche
55,Ricercatore,AMADORI Anna Lisa,F,"""Parthenope"" di NAPOLI",,MAT/05,01/A3,SCIENZE E TECNOLOGIE,2021,01 - Scienze matematiche e informatiche
56,Ordinario,AMADORI Debora,F,L'AQUILA,,MAT/05,01/A3,Ingegneria e scienze dell'informazione e matematica,2021,01 - Scienze matematiche e informatiche
57,Ordinario,AMALDI Edoardo,M,Politecnico di MILANO,,MAT/09,01/A6,"Elettronica, Informazione e Bioingegneria",2021,01 - Scienze matematiche e informatiche
58,Associato confermato,AMAR Micol,F,"ROMA ""La Sapienza""",,MAT/05,01/A3,Scienze di base e applicate per l'ingegneria,2021,01 - Scienze matematiche e informatiche
59,Associato,AMATO Gianluca,M,CHIETI-PESCARA,,MAT/01,01/A1,Economia,2021,01 - Scienze matematiche e informatiche
60,Ricercatore,AMATO Roberto,M,MESSINA,,MAT/05,01/A3,Ingegneria,2021,01 - Scienze matematiche e informatiche
61,Ordinario,AMBRIOLA Vincenzo,M,PISA,,INF/01,01/B1,INFORMATICA,2021,01 - Scienze matematiche e informatiche
62,Ordinario,AMBROSI Davide Carlo,M,Politecnico di TORINO,,MAT/07,01/A4,SCIENZE MATEMATICHE Giuseppe Luigi Lagrange,2021,01 - Scienze matematiche e informatiche
63,Associato,AMBROSINO Daniela,F,GENOVA,,MAT/09,01/A6,Economia,2021,01 - Scienze matematiche e informatiche
64,Ordinario,AMBROSIO Luigi,M,Scuola Normale Superiore di PISA,,MAT/05,01/A3,Classe di scienze,2021,01 - Scienze matematiche e informatiche
65,Associato,AMBROSIO Vincenzo,M,Politecnica delle MARCHE,,MAT/05,01/A3,INGEGNERIA INDUSTRIALE E SCIENZE MATEMATICHE,2021,01 - Scienze matematiche e informatiche
66,Associato,AMENDOLA Gennaro,M,"Univ. Telematica ""E-CAMPUS""",Ingegneria,MAT/03,01/A2,DIPARTIMENTO E-CAMPUS,2021,01 - Scienze matematiche e informatiche
67,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AMENDOLA Giovanni,M,della CALABRIA,,INF/01,01/B1,MATEMATICA E INFORMATICA - DEMACS,2021,01 - Scienze matematiche e informatiche
68,Ricercatore,AMODDEO Antonino,M,Mediterranea di REGGIO CALABRIA,,MAT/07,01/A4,"Ingegneria Civile, dell'Energia, dell'Ambiente e dei Materiali",2021,01 - Scienze matematiche e informatiche
69,Associato confermato,AMODIO Pierluigi,M,BARI,,MAT/08,01/A5,Matematica,2021,01 - Scienze matematiche e informatiche
