,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
0,Associato confermato,ABATE Andrea Francesco,M,SALERNO,,INF/01,01/B1,Informatica,2015,01 - Scienze matematiche e informatiche
1,Ordinario,ABATE Marco,M,PISA,,MAT/03,01/A2,MATEMATICA,2015,01 - Scienze matematiche e informatiche
2,Ricercatore,ABBA' Antonella,F,Politecnico di MILANO,,MAT/07,01/A4,Scienze e Tecnologie Aerospaziali,2015,01 - Scienze matematiche e informatiche
3,Associato confermato,ABBATTISTA Fabio,M,BARI,,INF/01,01/B1,Informatica,2015,01 - Scienze matematiche e informatiche
4,Associato confermato,ABBENA Elsa,F,TORINO,,MAT/03,01/A2,Matematica Giuseppe Peano,2015,01 - Scienze matematiche e informatiche
5,Associato confermato,ABBONDANDOLO Alberto,M,PISA,,MAT/05,01/A3,MATEMATICA,2015,01 - Scienze matematiche e informatiche
6,Associato confermato,ABENDA Simonetta,F,BOLOGNA,,MAT/05,01/A3,Matematica,2015,01 - Scienze matematiche e informatiche
7,Ricercatore,ABREU Marien,F,BASILICATA,,MAT/03,01/A2,"Matematica, Informatica ed Economia",2015,01 - Scienze matematiche e informatiche
8,Ricercatore,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Matematica,2015,01 - Scienze matematiche e informatiche
9,Associato confermato,ACANFORA Fausto,M,"CAMPANIA - ""L. VANVITELLI""",,MAT/05,01/A3,MATEMATICA E FISICA (DMF),2015,01 - Scienze matematiche e informatiche
10,Ordinario,ACCARDI Luigi,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Economia e Finanza,2015,01 - Scienze matematiche e informatiche
11,Associato confermato,ACCIARO Vincenzo,M,CHIETI-PESCARA,,INF/01,01/B1,Ingegneria e geologia,2015,01 - Scienze matematiche e informatiche
12,Ordinario,ACERBI Emilio Daniele G.,M,PARMA,,MAT/05,01/A3,MATEMATICA E INFORMATICA,2015,01 - Scienze matematiche e informatiche
13,Associato,ACETO Lidia,F,PISA,,MAT/08,01/A5,MATEMATICA,2015,01 - Scienze matematiche e informatiche
14,Associato confermato,ACHILLES Hans Joachim Rudiger,M,BOLOGNA,,MAT/03,01/A2,Matematica,2015,01 - Scienze matematiche e informatiche
15,Associato confermato,ACQUISTAPACE Francesca,F,PISA,,MAT/03,01/A2,MATEMATICA,2015,01 - Scienze matematiche e informatiche
16,Associato confermato,ACQUISTAPACE Paolo,M,PISA,,MAT/05,01/A3,MATEMATICA,2015,01 - Scienze matematiche e informatiche
17,Associato,ADAMI Riccardo,M,Politecnico di TORINO,,MAT/05,01/A3,SCIENZE MATEMATICHE Giuseppe Luigi Lagrange,2015,01 - Scienze matematiche e informatiche
18,Associato confermato,AGLIANO' Paolo,M,SIENA,,MAT/02,01/A2,Ingegneria dellInformazione e Scienze Matematiche,2015,01 - Scienze matematiche e informatiche
19,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),AGLIARI Elena,F,"ROMA ""La Sapienza""",,MAT/07,01/A4,MATEMATICA,2015,01 - Scienze matematiche e informatiche
20,Ordinario,AGNETIS Alessandro,M,SIENA,,MAT/09,01/A6,Ingegneria dellInformazione e Scienze Matematiche,2015,01 - Scienze matematiche e informatiche
21,Associato confermato,AGOSTINI Alessandra,F,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2015,01 - Scienze matematiche e informatiche
22,Ordinario,AGRACHEV Andrey,M,SISSA - TRIESTE,Classe di Fisica e Classe di Matematica,MAT/05,01/A3,AREA MATEMATICA,2015,01 - Scienze matematiche e informatiche
23,Ricercatore a t.d. (art.1 comma 14 L. 230/05),AGRESTE Santa,F,MESSINA,,INF/01,01/B1,"SCIENZE MATEMATICHE ED INFORMATICHE, SCIENZE FISICHE E SCIENZE DELLA TERRA",2015,01 - Scienze matematiche e informatiche
24,Associato,AGUGLIA Angela,F,Politecnico di BARI,,MAT/03,01/A2,"Dipartimento di Meccanica, Matematica e Management",2015,01 - Scienze matematiche e informatiche
25,Associato,AGUZZOLI Stefano,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2015,01 - Scienze matematiche e informatiche
26,Associato,AIMI Alessandra,F,PARMA,,MAT/08,01/A5,MATEMATICA E INFORMATICA,2015,01 - Scienze matematiche e informatiche
27,Ricercatore,AIOLLI Fabio,M,PADOVA,,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2015,01 - Scienze matematiche e informatiche
28,Associato confermato,ALBANESE Angela Anna,F,SALENTO,,MAT/05,01/A3,Matematica e Fisica Ennio De Giorgi,2015,01 - Scienze matematiche e informatiche
