,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
0,Associato confermato,ABATE Andrea Francesco,M,SALERNO,,INF/01,01/B1,Informatica,2018,01 - Scienze matematiche e informatiche
1,Ordinario,ABATE Marco,M,PISA,,MAT/03,01/A2,MATEMATICA,2018,01 - Scienze matematiche e informatiche
2,Associato confermato,ABBATTISTA Fabio,M,BARI,,INF/01,01/B1,Informatica,2018,01 - Scienze matematiche e informatiche
3,Associato confermato,ABENDA Simonetta,F,BOLOGNA,,MAT/05,01/A3,Matematica,2018,01 - Scienze matematiche e informatiche
4,Ricercatore,ABREU Marien,F,BASILICATA,,MAT/03,01/A2,"Matematica, Informatica ed Economia",2018,01 - Scienze matematiche e informatiche
5,Associato,ABUNDO Mario Rosolino,M,"ROMA ""Tor Vergata""",,MAT/06,01/A3,Matematica,2018,01 - Scienze matematiche e informatiche
6,Associato confermato,ACAMPORA Giovanni,M,Napoli Federico II,,INF/01,01/B1,"Fisica ""Ettore Pancini""",2018,01 - Scienze matematiche e informatiche
7,Associato confermato,ACCIARO Vincenzo,M,CHIETI-PESCARA,,INF/01,01/B1,Economia,2018,01 - Scienze matematiche e informatiche
8,Ordinario,ACERBI Emilio Daniele G.,M,PARMA,,MAT/05,01/A3,"Scienze Matematiche, Fisiche e Informatiche",2018,01 - Scienze matematiche e informatiche
9,Associato,ACETO Lidia,F,PISA,,MAT/08,01/A5,MATEMATICA,2018,01 - Scienze matematiche e informatiche
10,Ordinario,ACETO Luca,M,Gran Sasso Science Institute,,INF/01,01/B1,Area di Informatica,2018,01 - Scienze matematiche e informatiche
11,Associato confermato,ACQUISTAPACE Paolo,M,PISA,,MAT/05,01/A3,MATEMATICA,2018,01 - Scienze matematiche e informatiche
12,Ordinario,ADAMI Riccardo,M,Politecnico di TORINO,,MAT/05,01/A3,SCIENZE MATEMATICHE Giuseppe Luigi Lagrange,2018,01 - Scienze matematiche e informatiche
13,Associato confermato,AGLIANO' Paolo,M,SIENA,,MAT/02,01/A2,Ingegneria dellInformazione e Scienze Matematiche,2018,01 - Scienze matematiche e informatiche
14,Ricercatore a t.d. - t.defin. (art. 24 c.3-a L. 240/10),AGLIARI Elena,F,"ROMA ""La Sapienza""",,MAT/07,01/A4,MATEMATICA,2018,01 - Scienze matematiche e informatiche
15,Ordinario,AGNETIS Alessandro,M,SIENA,,MAT/09,01/A6,Ingegneria dellInformazione e Scienze Matematiche,2018,01 - Scienze matematiche e informatiche
16,Associato confermato,AGOSTINI Alessandra,F,MILANO-BICOCCA,,INF/01,01/B1,"INFORMATICA, SISTEMISTICA E COMUNICAZIONE",2018,01 - Scienze matematiche e informatiche
17,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AGOSTINIANI Virginia,F,VERONA,,MAT/05,01/A3,INFORMATICA,2018,01 - Scienze matematiche e informatiche
18,Ordinario,AGRACHEV Andrey,M,SISSA - TRIESTE,Classe di Fisica e Classe di Matematica,MAT/05,01/A3,AREA MATEMATICA,2018,01 - Scienze matematiche e informatiche
19,Associato,AGUGLIA Angela,F,Politecnico di BARI,,MAT/03,01/A2,"Dipartimento di Meccanica, Matematica e Management",2018,01 - Scienze matematiche e informatiche
20,Associato,AGUZZOLI Stefano,M,MILANO,,INF/01,01/B1,Informatica 'Giovanni Degli Antoni',2018,01 - Scienze matematiche e informatiche
21,Associato,AIMI Alessandra,F,PARMA,,MAT/08,01/A5,"Scienze Matematiche, Fisiche e Informatiche",2018,01 - Scienze matematiche e informatiche
22,Associato,AIOLLI Fabio,M,PADOVA,,INF/01,01/B1,"MATEMATICA ""TULLIO LEVI-CIVITA"" - DM",2018,01 - Scienze matematiche e informatiche
23,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ALAIMO Salvatore,M,CATANIA,,INF/01,01/B1,MEDICINA CLINICA E SPERIMENTALE,2018,01 - Scienze matematiche e informatiche
24,Associato confermato,ALBANESE Angela Anna,F,SALENTO,,MAT/05,01/A3,Matematica e Fisica Ennio De Giorgi,2018,01 - Scienze matematiche e informatiche
25,Associato confermato,ALBANO Alberto,M,TORINO,,MAT/03,01/A2,Matematica Giuseppe Peano,2018,01 - Scienze matematiche e informatiche
26,Associato,ALBANO Giovannina,F,SALERNO,,MAT/04,01/A1,Ingegneria dell'Informazione ed Elettrica e Matematica applicata,2018,01 - Scienze matematiche e informatiche
27,Associato,ALBANO Paolo,M,BOLOGNA,,MAT/05,01/A3,Matematica,2018,01 - Scienze matematiche e informatiche
28,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALBARELLI Andrea,M,"""Ca' Foscari"" VENEZIA",,INF/01,01/B1,"SCIENZE AMBIENTALI, INFORMATICA E STATISTICA",2018,01 - Scienze matematiche e informatiche
29,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ALBERTI Giovanni,M,GENOVA,,MAT/05,01/A3,MATEMATICA (DIMA),2018,01 - Scienze matematiche e informatiche
30,Ordinario,ALBERTI Giovanni,M,PISA,,MAT/05,01/A3,MATEMATICA,2018,01 - Scienze matematiche e informatiche
31,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),ALBERTI Marco,M,FERRARA,,INF/01,01/B1,MATEMATICA E INFORMATICA,2018,01 - Scienze matematiche e informatiche
32,Associato,ALBERTINI Francesca,F,PADOVA,,MAT/05,01/A3,TECNICA E GESTIONE DEI SISTEMI INDUSTRIALI - DTG,2018,01 - Scienze matematiche e informatiche
33,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),ALBI Giacomo,M,VERONA,,MAT/08,01/A5,INFORMATICA,2018,01 - Scienze matematiche e informatiche
34,Associato,ALDINI Alessandro,M,Urbino Carlo Bo,,INF/01,01/B1,Scienze Pure e Applicate (DiSPeA),2018,01 - Scienze matematiche e informatiche
35,Associato,ALDINUCCI Marco,M,TORINO,,INF/01,01/B1,Informatica,2018,01 - Scienze matematiche e informatiche
36,Ordinario,ALESSANDRINI Giovanni,M,TRIESTE,,MAT/05,01/A3,Matematica e Geoscienze,2018,01 - Scienze matematiche e informatiche
37,Ordinario,ALESSANDRINI Lucia,F,PARMA,,MAT/03,01/A2,"Scienze Matematiche, Fisiche e Informatiche",2018,01 - Scienze matematiche e informatiche
38,Associato confermato,ALESSI Fabio,M,UDINE,,INF/01,01/B1,"Scienze Matematiche, Informatiche e Fisiche",2018,01 - Scienze matematiche e informatiche
39,Associato,ALESSIO Francesca Gemma,F,Politecnica delle MARCHE,,MAT/05,01/A3,INGEGNERIA INDUSTRIALE E SCIENZE MATEMATICHE,2018,01 - Scienze matematiche e informatiche
40,Ordinario,ALETTI Giacomo,M,MILANO,,MAT/06,01/A3,Scienze e politiche ambientali,2018,01 - Scienze matematiche e informatiche
41,Ricercatore,ALFIERI Roberto,M,PARMA,,INF/01,01/B1,"Scienze Matematiche, Fisiche e Informatiche",2018,01 - Scienze matematiche e informatiche
42,Associato,ALI' Giuseppe,M,della CALABRIA,,MAT/07,01/A4,Fisica,2018,01 - Scienze matematiche e informatiche
43,Associato,ALICANDRO Roberto,M,CASSINO e LAZIO MERIDIONALE,,MAT/05,01/A3,"Ingegneria Elettrica e dell'Informazione ""Maurizio Scarano""",2018,01 - Scienze matematiche e informatiche
44,Associato,ALONSO RODRIGUEZ Ana Maria,F,TRENTO,,MAT/08,01/A5,Matematica,2018,01 - Scienze matematiche e informatiche
45,Ordinario,ALTOMARE Francesco,M,BARI,,MAT/05,01/A3,Matematica,2018,01 - Scienze matematiche e informatiche
46,Associato,ALVIANO Mario,M,della CALABRIA,,INF/01,01/B1,Matematica e Informatica - DeMaCS,2018,01 - Scienze matematiche e informatiche
47,Ordinario,ALVINO Angelo,M,Napoli Federico II,,MAT/05,01/A3,"Matematica e Applicazioni ""Renato Caccioppoli""",2018,01 - Scienze matematiche e informatiche
48,Associato confermato,ALZATI Alberto,M,MILANO,,MAT/03,01/A2,Matematica 'Federigo Enriques',2018,01 - Scienze matematiche e informatiche
49,Ricercatore,AMADORI Anna Lisa,F,"""Parthenope"" di NAPOLI",,MAT/05,01/A3,SCIENZE E TECNOLOGIE,2018,01 - Scienze matematiche e informatiche
50,Associato,AMADORI Debora,F,L'AQUILA,,MAT/05,01/A3,Ingegneria e scienze dell'informazione e matematica,2018,01 - Scienze matematiche e informatiche
51,Ordinario,AMALDI Edoardo,M,Politecnico di MILANO,,MAT/09,01/A6,"Elettronica, Informazione e Bioingegneria",2018,01 - Scienze matematiche e informatiche
52,Associato confermato,AMAR Micol,F,"ROMA ""La Sapienza""",,MAT/05,01/A3,Scienze di base e applicate per l'ingegneria,2018,01 - Scienze matematiche e informatiche
53,Associato,AMATO Gianluca,M,CHIETI-PESCARA,,MAT/01,01/A1,Economia aziendale,2018,01 - Scienze matematiche e informatiche
54,Ricercatore,AMATO Roberto,M,MESSINA,,MAT/05,01/A3,Ingegneria,2018,01 - Scienze matematiche e informatiche
55,Ordinario,AMBRIOLA Vincenzo,M,PISA,,INF/01,01/B1,INFORMATICA,2018,01 - Scienze matematiche e informatiche
56,Ordinario,AMBROSI Davide Carlo,M,Politecnico di TORINO,,MAT/07,01/A4,SCIENZE MATEMATICHE Giuseppe Luigi Lagrange,2018,01 - Scienze matematiche e informatiche
57,Associato,AMBROSINO Daniela,F,GENOVA,,MAT/09,01/A6,Economia,2018,01 - Scienze matematiche e informatiche
58,Ordinario,AMBROSIO Luigi,M,Scuola Normale Superiore di PISA,,MAT/05,01/A3,Classe di scienze,2018,01 - Scienze matematiche e informatiche
59,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),AMBROSIO Vincenzo,M,Politecnica delle MARCHE,,MAT/05,01/A3,INGEGNERIA INDUSTRIALE E SCIENZE MATEMATICHE,2018,01 - Scienze matematiche e informatiche
60,Associato,AMENDOLA Gennaro,M,"Univ. Telematica ""E-CAMPUS""",Ingegneria,MAT/03,01/A2,DIPARTIMENTO E-CAMPUS,2018,01 - Scienze matematiche e informatiche
61,Associato confermato,AMICI Oriella Maria,F,BARI,,MAT/03,01/A2,Matematica,2018,01 - Scienze matematiche e informatiche
62,Ricercatore,AMODDEO Antonino,M,Mediterranea di REGGIO CALABRIA,,MAT/07,01/A4,"Ingegneria Civile, dell'Energia, dell'Ambiente e dei Materiali",2018,01 - Scienze matematiche e informatiche
63,Associato confermato,AMODIO Pierluigi,M,BARI,,MAT/08,01/A5,Matematica,2018,01 - Scienze matematiche e informatiche
64,Associato confermato,AMOROSO Alessandro,M,BOLOGNA,,INF/01,01/B1,Informatica - Scienza e Ingegneria,2018,01 - Scienze matematiche e informatiche
65,Ricercatore,ANATRIELLO Giuseppina,F,Napoli Federico II,,MAT/05,01/A3,Architettura,2018,01 - Scienze matematiche e informatiche
66,Associato,ANCONA Davide,M,GENOVA,,INF/01,01/B1,"Informatica, bioingegneria,robotica e ingegneria dei sistemi (DIBRIS)",2018,01 - Scienze matematiche e informatiche
