,Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
52139,Ordinario,CAMPOBASSO Mario,M,"CAMPANIA - ""L. VANVITELLI""",,IUS/04,12/B1,GIURISPRUDENZA,2023,12 - Scienze giuridiche
52140,Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),CAMPOBELLO Francesco,M,TORINO,,IUS/19,12/H2,GIURISPRUDENZA,2023,12 - Scienze giuridiche
52141,Ricercatore,CAMPUS Marco Giovanni,M,SASSARI,,IUS/15,12/F1,Giurisprudenza,2023,12 - Scienze giuridiche
52142,Ordinario,CANALE Damiano,M,Bocconi MILANO,Economia,IUS/20,12/H3,STUDI GIURIDICI,2023,12 - Scienze giuridiche
52143,Ordinario,CANALE Guido,M,PIEMONTE ORIENTALE,,IUS/15,12/F1,"Giurisprudenza e Scienze Politiche, Economiche e Sociali",2023,12 - Scienze giuridiche
52144,Associato,CANANZI Daniele,M,Mediterranea di REGGIO CALABRIA,,IUS/20,12/H3,"Giurisprudenza, Economia e Scienze Umane",2023,12 - Scienze giuridiche
52145,Ordinario,CANAVESI Guido Luigi,M,MACERATA,,IUS/07,12/B2,Giurisprudenza,2023,12 - Scienze giuridiche
52146,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CANDELMO Claudia,F,UDINE,,IUS/13,12/E1,SCIENZE GIURIDICHE,2023,12 - Scienze giuridiche
52147,Ordinario,CANDIAN Albina,F,MILANO,,IUS/02,12/E2,Diritto privato e storia del diritto,2023,12 - Scienze giuridiche
52148,Ricercatore a t.d. - t.pieno (art. 24 c.3-b L. 240/10),CANDIDO Alessandro,M,MILANO-BICOCCA,,IUS/09,12/C1,SCIENZE ECONOMICO-AZIENDALI E DIRITTO PER L'ECONOMIA,2023,12 - Scienze giuridiche
52149,Associato,CANELLA Maria Giulia,F,BOLOGNA,,IUS/15,12/F1,Scienze Giuridiche,2023,12 - Scienze giuridiche
52150,Associato,CANEPA Allegra,F,MILANO,,IUS/05,12/E3,"Studi internazionali, giuridici e storico-politici",2023,12 - Scienze giuridiche
