Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ricercatore,CAZZOLA Marina,F,MILANO-BICOCCA,Scienze Matematiche Fisiche e Naturali,MAT/02,,MATEMATICA E APPLICAZIONI,2001,01 - Scienze matematiche e informatiche
Ricercatore,CECCARELLI Michele,M,SANNIO di BENEVENTO,Scienze Matematiche Fisiche e Naturali,INF/01,,"SCIENZE PER LA BIOLOGIA, LA GEOLOGIA E L'AMBIENTE",2001,01 - Scienze matematiche e informatiche
Ordinario,CECCHERINI Pier Vittorio,M,"ROMA ""La Sapienza""",Scienze Matematiche Fisiche e Naturali,MAT/03,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Associato confermato,CECCHERINI SILBERSTEIN Tullio,M,SANNIO di BENEVENTO,Ingegneria,MAT/05,,INGEGNERIA,2001,01 - Scienze matematiche e informatiche
Associato confermato,CECCHI Mariella,F,FIRENZE,Ingegneria,MAT/05,,ELETTRONICA E TELECOMUNICAZIONI,2001,01 - Scienze matematiche e informatiche
Ordinario,CECCHINI Carlo Luciano,M,UDINE,Scienze Matematiche Fisiche e Naturali,MAT/05,,MATEMATICA E INFORMATICA,2001,01 - Scienze matematiche e informatiche
Associato confermato,CECI Claudia,F,CHIETI-PESCARA,Economia,MAT/06,,ECONOMIA,2001,01 - Scienze matematiche e informatiche
Ricercatore,CELADA Pietro,M,PARMA,Ingegneria,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ricercatore,CELENTANI Maria Rosaria,F,Napoli Federico II,Scienze Matematiche Fisiche e Naturali,MAT/02,,MATEMATICA E APPLICAZIONI,2001,01 - Scienze matematiche e informatiche
Assistente r.e.,CELLA Carmela,F,Napoli Federico II,Architettura,MAT/03,,Non disponibile,2001,01 - Scienze matematiche e informatiche
Associato non confermato,CELLETTI Alessandra,F,"ROMA ""Tor Vergata""",Scienze Matematiche Fisiche e Naturali,MAT/07,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
Ordinario,CELLINA Arrigo,M,MILANO-BICOCCA,Scienze Matematiche Fisiche e Naturali,MAT/05,,MATEMATICA E APPLICAZIONI,2001,01 - Scienze matematiche e informatiche
Associato non confermato,CELLINI Paola,F,CHIETI-PESCARA,Economia,MAT/02,,INGEGNERIA E GEOLOGIA,2001,01 - Scienze matematiche e informatiche
Ricercatore non confermato,CENCIARELLI Pietro,M,"ROMA ""La Sapienza""",Scienze Matematiche Fisiche e Naturali,INF/01,,INFORMATICA,2001,01 - Scienze matematiche e informatiche
Associato confermato,CEPPITELLI Rita,F,PERUGIA,Agraria,MAT/05,,MATEMATICA E INFORMATICA,2001,01 - Scienze matematiche e informatiche
Ordinario,CERAMI Giovanna,F,PALERMO,Scienze Matematiche Fisiche e Naturali,MAT/05,,MATEMATICA,2001,01 - Scienze matematiche e informatiche
