Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ricercatore,MONGILLO Roberta,F,SANNIO di BENEVENTO,Giurisprudenza,IUS/04,12/B1,"STUDI DEI SISTEMI ECONOMICI, GIURIDICI E SOCIALI",2011,12 - Scienze giuridiche
Ricercatore a t.d. (art.1 comma 14 L. 230/05),MONGILLO Vincenzo,M,"ROMA ""La Sapienza""",,IUS/17,12/G1,SCIENZE GIURIDICHE,2011,12 - Scienze giuridiche
Associato confermato,MONTAGNA Mariangela,F,PERUGIA,Giurisprudenza,IUS/16,12/G2,DIRITTO PUBBLICO,2011,12 - Scienze giuridiche
Ordinario,MONTAGNANI Caterina,F,CASSINO e LAZIO MERIDIONALE,Giurisprudenza,IUS/04,12/B1,SCIENZE GIURIDICHE E POLITICO-SOCIALI,2011,12 - Scienze giuridiche
Ricercatore a t.d. (art.1 comma 14 L. 230/05),MONTAGNANI Maria Lilla',F,Bocconi MILANO,Economia,IUS/04,,STUDI GIURIDICI,2011,12 - Scienze giuridiche
Ricercatore non confermato,MONTALDO Fabrizio,M,CAGLIARI,Giurisprudenza,IUS/15,12/F1,SCIENZE GIURIDICHE E FORENSI,2011,12 - Scienze giuridiche
Ordinario,MONTALENTI Paolo,M,TORINO,Giurisprudenza,IUS/04,12/B1,GIURISPRUDENZA,2011,12 - Scienze giuridiche
Ricercatore,MONTANARA Giuseppe,M,TERAMO,Giurisprudenza,IUS/17,12/G1,SCIENZE GIURIDICHE PUBBLICISTICHE,2011,12 - Scienze giuridiche
Ricercatore non confermato,MONTANARI Anna,F,BOLOGNA,Economia,IUS/07,12/B2,DISCIPLINE GIURIDICHE DELL'ECONOMIA E DELL'AZIENDA,2011,12 - Scienze giuridiche
Ordinario,MONTANARI Bruno,M,CATANIA,,IUS/20,12/H3,Giurisprudenza,2011,12 - Scienze giuridiche
Ordinario,MONTANARI Laura,F,UDINE,,IUS/21,12/E2,Scienze Giuridiche,2011,12 - Scienze giuridiche
Ordinario,MONTANARI Massimo,M,PARMA,Giurisprudenza,IUS/15,12/F1,SCIENZE GIURIDICHE,2011,12 - Scienze giuridiche
Ordinario,MONTANARI Massimo,M,MODENA e REGGIO EMILIA,Giurisprudenza,IUS/04,12/B1,SCIENZE GIURIDICHE,2011,12 - Scienze giuridiche
