Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ordinario,LIGRONE Roberto,M,"CAMPANIA - ""L. VANVITELLI""",Scienze del Farmaco per Ambiente e Salute,BIO/01,,SCIENZE AMBIENTALI,2010,05 - Scienze biologiche
Ordinario,LIMATOLA Cristina,F,"ROMA ""La Sapienza""",Farmacia e Medicina (*),BIO/09,,FISIOLOGIA E FARMACOLOGIA,2010,05 - Scienze biologiche
Straordinario,LIMATOLA Ermelinda,F,Napoli Federico II,Scienze Matematiche Fisiche e Naturali,BIO/06,,SCIENZE BIOLOGICHE,2010,05 - Scienze biologiche
Ricercatore,LIMAURO Danila,F,Napoli Federico II,Scienze Matematiche Fisiche e Naturali,BIO/10,,BIOLOGIA STRUTTURALE E FUNZIONALE,2010,05 - Scienze biologiche
Associato confermato,LIMONTA Patrizia,F,MILANO,Farmacia,BIO/13,,"ENDOCRINOLOGIA, FISIOPATOLOGIA E BIOLOGIA APPLICATA",2010,05 - Scienze biologiche
Associato confermato,LINARI Marco,M,FIRENZE,Scienze Matematiche Fisiche e Naturali,BIO/09,,"BIOLOGIA EVOLUZIONISTICA ""LEO PARDI""",2010,05 - Scienze biologiche
Associato confermato,LINDI Clara,F,MILANO,Farmacia,BIO/10,,SCIENZE MOLECOLARI APPLICATE AI BIOSISTEMI,2010,05 - Scienze biologiche
Ricercatore,LINGUA Guido,M,PIEMONTE ORIENTALE,Scienze Matematiche Fisiche e Naturali,BIO/01,,SCIENZE DELL'AMBIENTE E DELLA VITA,2010,05 - Scienze biologiche
Ricercatore,LIONETTI Lilla',F,Napoli Federico II,Scienze Matematiche Fisiche e Naturali,BIO/09,,SCIENZE BIOLOGICHE,2010,05 - Scienze biologiche
Ricercatore a t.d. (art.1 comma 14 L. 230/05),LIONETTI Vincenzo,M,Scuola Superiore Sant'Anna,,BIO/09,05/D1,ISTITUTO DI SCIENZE DELLA VITA,2010,05 - Scienze biologiche
Ricercatore a t.d. (art.1 comma 14 L. 230/05),LIONETTI Vincenzo,M,"ROMA ""La Sapienza""",,BIO/04,,"BIOLOGIA E BIOTECNOLOGIE ""CHARLES DARWIN""",2010,05 - Scienze biologiche
Ricercatore,LIONETTO Maria Giulia,F,SALENTO,Scienze Matematiche Fisiche e Naturali,BIO/09,,SCIENZE E TECNOLOGIE BIOLOGICHE ED AMBIENTALI,2010,05 - Scienze biologiche
Associato confermato,LIPPA Silvio,M,Cattolica del Sacro Cuore,Medicina e Chirurgia,BIO/12,,BIOCHIMICA E BIOCHIMICA CLINICA,2010,05 - Scienze biologiche
Associato confermato,LIPPE Giovanna,F,UDINE,Agraria,BIO/10,,SCIENZE DEGLI ALIMENTI,2010,05 - Scienze biologiche
Associato confermato,LIQUORI Giuseppa Esterina,F,BARI,Scienze Matematiche Fisiche e Naturali,BIO/06,,BIOLOGIA,2010,05 - Scienze biologiche
Ordinario,LISCIA Anna Maria,F,CAGLIARI,Farmacia,BIO/09,,SCIENZE DELLA VITA E DELL'AMBIENTE (DI.S.V.A.),2010,05 - Scienze biologiche
Ricercatore,LISI Sabrina,F,BARI,Medicina e Chirurgia,BIO/16,,SCIENZE MEDICHE DI BASE (SMB),2010,05 - Scienze biologiche
Ordinario,LITTARRU Gianpaolo,M,Politecnica delle MARCHE,Medicina e Chirurgia,BIO/10,,"BIOCHIMICA, BIOLOGIA E GENETICA",2010,05 - Scienze biologiche
Associato confermato,LIUT Gianfranco,M,TRIESTE,Medicina e Chirurgia,BIO/10,,SCIENZE DELLA VITA,2010,05 - Scienze biologiche
Ricercatore,LIUZZI Grazia Maria,F,BARI,Scienze Mat. Fis. Nat. II,BIO/10,,"BIOSCIENZE, BIOTECNOLOGIE E SCIENZE FARMACOLOGICHE",2010,05 - Scienze biologiche
Ordinario,LIVERINI Giovanna,F,Napoli Federico II,Scienze Matematiche Fisiche e Naturali,BIO/09,,BIOLOGIA STRUTTURALE E FUNZIONALE,2010,05 - Scienze biologiche
Ordinario,LIVREA Maria Antonia,F,PALERMO,Farmacia,BIO/10,,SCIENZE E TECNOLOGIE MOLECOLARI E BIOMOLECOLARI (STEMBIO),2010,05 - Scienze biologiche
Ordinario,LO BELLO Mario,M,"ROMA ""Tor Vergata""",Scienze Matematiche Fisiche e Naturali,BIO/12,,BIOLOGIA,2010,05 - Scienze biologiche
Ricercatore,LO BRUTTO Sabrina,F,PALERMO,Scienze Matematiche Fisiche e Naturali,BIO/05,,BIOLOGIA AMBIENTALE E BIODIVERSITA',2010,05 - Scienze biologiche
Associato confermato,LO CASCIO Patrizia,F,MESSINA,Scienze Matematiche Fisiche e Naturali,BIO/06,,SCIENZE DEGLI ALIMENTI E DELL'AMBIENTE,2010,05 - Scienze biologiche
Associato confermato,LO GIUDICE Rosa,F,CATANIA,Scienze Matematiche Fisiche e Naturali,BIO/03,,"SCIENZE BIOLOGICHE, GEOLOGICHE E AMBIENTALI",2010,05 - Scienze biologiche
