Project Number,Acronym,Researcher(s),Ateneo,Grant Type,year,EU contribution
101117858,HOLOFAST,Franco Valduga De Almeida Camargo,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2023,1499838.0
101117082,HYPMET,Gabriele Stevanato,"University of Padua [999995602,IT]",Starting Grants,2023,1499968.75
101123123,HYPER,Giulia Fulvia Mancini,"University of Pavia [999893752,IT]",Proof of Concept,2023,150000.0
101077181,ULYSSES,Margherita Maiuri,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2022,1497100.0
101069250,IMMUNO-MONITORING,Francesco Ricci,"Biostructures and Biosystems National Institute (INBB) [998052207,IT]",Proof of Concept,2022,150000.0
101081361,SEMISOFT,Michele Ceotto,"University of Milan [999995796,IT]",Proof of Concept,2022,150000.0
101068936,SPIKE,Giulia Grancini,"University of Pavia [999893752,IT]",Proof of Concept,2022,150000.0
101095012,CHIRAX,Majed Chergui,"Sinctrotrone Trieste / Electtra Laboratory [999589851,IT]",Advanced Grants,2022,2474813.0
101040798,CHEIR,Serena Arnaboldi,"University of Milan [999995796,IT]",Starting Grants,2021,1492004.0
101040197,QED-Spin,Enrico Ronca,"University of Perugia [999846319,IT]",Starting Grants,2021,1499754.0
101052708,DELIGHT,Matteo Calandra,"University of Trento [999841954,IT]",Advanced Grants,2021,2117141.0
966759,FLE-X,Annamaria Petrozza,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2020,150000.0
851154,ULTRAIMAGE,Giulia Fulvia Mancini,"University of Pavia [999893752,IT]",Starting Grants,2019,1894577.0
802862,HY-NANO,Giulia Grancini,"University of Pavia [999893752,IT]",Starting Grants,2018,1499084.0
819644,BioDisOrder,Alfonso De Simone,"University of Naples Federico II [999976590,IT]",Consolidator Grants,2018,1999945.0
818776,DYNAPOL,Giovanni Maria Pavan,"Polytechnic University of Turin [999977754,IT]",Consolidator Grants,2018,1999623.0
818064,GEMS,Chiara Cappelli,"Normal Superior School of Pisa [999886962,IT]",Consolidator Grants,2018,1609500.0
819160,PRO-TOOLKITS,Francesco Ricci,"University of Rome - Tor Vergata [999844864,IT]",Consolidator Grants,2018,1999375.0
771528,SOPHY,Annamaria Petrozza,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2017,2150000.0
786714,LIFETimeS,Benedetta Mennucci,"University of Pisa [999862712,IT]",Advanced Grants,2017,2400000.0
681285,TAME-Plasmons,Stefano Corni,"University of Padua [999995602,IT]",Consolidator Grants,2015,1432890.0
665635,MISSION,Giulio Cerullo,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2014,149625.0
647107,SEMICOMPLEX,Michele Ceotto,"University of Milan [999995796,IT]",Consolidator Grants,2014,1899973.0
306662,S-RNA-S,Giovanni Bussi,"International School for Advanced Studies - Trieste [999850878,IT]",Starting Grants,2012,1295700.0
277755,EnLight,Benedetta Mennucci,"University of Pisa [999862712,IT]",Starting Grants,2011,1300000.0
278560,QUENTRHEL,Elisabetta Collini,"University of Padua [999995602,IT]",Starting Grants,2011,1479480.0
291198,STRATUS,"Giulio Cerullo, Marco Garavelli","Polytechnic University of Milan [999879881,IT], Polytechnic University of Milan [999879881,IT]",Advanced Grants,2011,2493000.0
240624,MultiscaleChemBio,Leonardo Guidoni,"Sapienza University of Rome [999987745,IT]",Starting Grants,2009,1200000.0
207441,DEDOM,Fabio Della Sala,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2007,1250000.0
101138070,STORE-LIGHT,Ilka Kriegel,"Polytechnic University of Turin [999977754,IT]",Proof of Concept,2023,150000.0
101124411,EVA,Milena Patricia Arciniegas,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2023,1996889.0
101141690,PHOTOZYME,Paolo Melchiorre,"University of Bologna [999993953,IT]",Advanced Grants,2023,2945000.0
101077698,PhotoDark,Luka Dordevic,"University of Padua [999995602,IT]",Starting Grants,2022,1494500.0
101069295,CONDINKS,Ilka Kriegel,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2022,150000.0
101095974,NEHA,Liberato Manna,"Italian Institute of Technology [999596447,IT]",Advanced Grants,2022,2499375.0
101039841,DEBUGGING-LPS,Flaviana Di Lorenzo,"University of Naples Federico II [999976590,IT]",Starting Grants,2021,1954308.0
101039890,ELECTRA,Mauro Perfetti,"University of Florence [999895789,IT]",Starting Grants,2021,1498784.0
101039578,PROTOMAT,Pierangelo Gobbo,"University of Trieste [999842051,IT]",Starting Grants,2021,2097713.0
101040025,SYNPHOCAT,Luca Dell'Amico,"University of Padua [999995602,IT]",Starting Grants,2021,1920260.0
949087,BioPoweredCL,Alessandro Aliprandi,"University of Padua [999995602,IT]",Starting Grants,2020,1449750.0
966334,FREENERGY,Antonio Abate,"University of Naples Federico II [999976590,IT]",Proof of Concept,2020,150000.0
963933,PHOSMED,Maurizio Peruzzini,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2020,150000.0
851356,GLYCOSWITCH,Roberta Marchetti,"University of Naples Federico II [999976590,IT]",Starting Grants,2019,1994117.0
850875,Light-DYNAMO,Ilka Kriegel,"Italian Institute of Technology [999596447,IT]",Starting Grants,2019,1500000.0
899412,HyCat,Liberato Manna,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2019,150000.0
899661,HyperCube,Teresa Pellegrino,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2019,150000.0
865819,ANFIBIO,Laura Fabris,"Polytechnic University of Turin [999977754,IT]",Consolidator Grants,2019,2725510.0
804583,SusDrug,David Sarlah,"University of Pavia [999893752,IT]",Starting Grants,2018,1400000.0
758108,ERACHRON,Sara Sattin,"University of Milan [999995796,IT]",Starting Grants,2017,1500000.0
789815,MINIRES,Pierangelo Metrangolo,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2017,150000.0
780061,SiNBioSys,Paola Ceroni,"University of Bologna [999993953,IT]",Proof of Concept,2017,149937.5
773048,MMGNRs,Lapo Bogani,"University of Oxford [999984350,UK]",Consolidator Grants,2017,1729668.0
678109,ICARO,Teresa Pellegrino,"Italian Institute of Technology [999596447,IT]",Starting Grants,2015,1160000.0
692981,LEAPS,Alberto Credi,"University of Bologna [999993953,IT]",Advanced Grants,2015,2362950.0
640849,INSIGHT,Fabrizio Mancin,"University of Padua [999995602,IT]",Proof of Concept,2014,150000.0
647020,BIOINOHYB,Cristiana Di Valentin,"University of Milan -  Bicocca [999923531,IT]",Consolidator Grants,2014,1748125.0
670173,PHOSFUN,Maurizio Peruzzini,"National Research Council (CNR) - Italy [999979500,IT]",Advanced Grants,2014,1995554.0
614897,TRANS-NANO,Liberato Manna,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2013,2430720.0
307108,FOLDHALO,Pierangelo Metrangolo,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2012,1393000.0
320951,DREAMS,Vincenzo Barone,"Normal Superior School of Pisa [999886962,IT]",Advanced Grants,2012,2152600.0
278912,PhotoSi,Paola Ceroni,"University of Bologna [999993953,IT]",Starting Grants,2011,1182606.0
259014,MOSAIC,Fabrizio Mancin,"University of Padua [999995602,IT]",Starting Grants,2010,1499000.0
239898,DYCOCA,Leonard Jan Prins,"University of Padua [999995602,IT]",Starting Grants,2009,1400000.0
240111,NANO-ARCH,Liberato Manna,"Italian Institute of Technology [999596447,IT]",Starting Grants,2009,1299960.0
227135,CARBONANOBRIDGE,Maurizio Prato,"University of Trieste [999842051,IT]",Advanced Grants,2008,2500000.0
101166056,beyond2,Sebastian Goldt,"International School for Advanced Studies - Trieste [999850878,IT]",Starting Grants,2024,1499999.0
101165466,PLA-STEER,Andrea Celli,"Bocconi University Milan [999838850,IT]",Starting Grants,2024,1316544.0
101113826,DEDUCE,Stefano Cresci,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2023,1494775.0
101116095,PERSONAE,Debora Nozza,"Bocconi University Milan [999838850,IT]",Starting Grants,2023,1499775.0
101115870,STEP-RL,Andrea Micheli,"Bruno Kessler Foundation (FBK) [999625450,IT]",Starting Grants,2023,1493750.0
101077455,ObfusQation,Giulio Malavolta,"Bocconi University Milan [999838850,IT]",Starting Grants,2022,1458750.0
101043189,DynAI,Laura Leal-Taixe,"NVIDIA Italy [884638061,IT]",Starting Grants,2021,1500000.0
101039208,REGINDEX,Nicola Prezza,"University of Venice [999897341,IT]",Starting Grants,2021,1385743.0
949944,INTEGRATOR,Dirk Hovy,"Bocconi University Milan [999838850,IT]",Starting Grants,2020,1498937.0
947908,REAL,Alessandro Rudi,"National Institute for Research in Computer Science and Automatic Control (INRIA) [999547074,FR]",Starting Grants,2020,1498830.0
101019547,FGC,Alon Rosen,"Bocconi University Milan [999838850,IT]",Advanced Grants,2020,2493750.0
802554,SPECGEO,Emanuele Rodola',"Sapienza University of Rome [999987745,IT]",Starting Grants,2018,1434000.0
824939,AST,Leonardo Mariani,"University of Milan -  Bicocca [999923531,IT]",Proof of Concept,2018,150000.0
818616,DIAPASoN,Ugo Dal Lago,"University of Bologna [999993953,IT]",Consolidator Grants,2018,959562.0
819789,SLING,Lorenzo Rosasco,"University of Genoa [999976687,IT]",Consolidator Grants,2018,1977500.0
834861,SO-ReCoDi,Luca Trevisan,"Bocconi University Milan [999838850,IT]",Advanced Grants,2018,1971805.0
834756,XAI,Fosca Giannotti,"Normal Superior School of Pisa [999886962,IT]",Advanced Grants,2018,2500000.0
788893,AMDROMA,Stefano Leonardi,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2017,1780150.0
726487,MOUSSE,Roberto Navigli,"Sapienza University of Rome [999987745,IT]",Consolidator Grants,2016,1497250.0
680153,DMAP,Flavio Chierichetti,"Sapienza University of Rome [999987745,IT]",Starting Grants,2015,1137500.0
693174,GeCo,Stefano Ceri,"Polytechnic University of Milan [999879881,IT]",Advanced Grants,2015,2500000.0
637076,RoboExNovo,Barbara Caputo,"Italian Institute of Technology [999596447,IT]",Starting Grants,2014,1496277.0
646867,Learn,Leonardo Mariani,"University of Milan -  Bicocca [999923531,IT]",Consolidator Grants,2014,1141875.0
297463,3DV, ,"University of Parma [999846028,IT]",Proof of Concept,2011,148061.0
291389,CME,Bertrand Philippe Meyer,"Polytechnic University of Milan [999879881,IT]",Advanced Grants,2011,2482957.16
291125,MULTITHERMAN,Luca Benini,"University of Bologna [999993953,IT]",Advanced Grants,2011,2483397.0
259234,MultiJEDI,Roberto Navigli,"Sapienza University of Rome [999987745,IT]",Starting Grants,2010,1288400.0
267856,Lucretius,John Mylopoulos,"University of Trento [999841954,IT]",Advanced Grants,2010,2462095.0
228045,OFAV,Alberto Broggi,"University of Parma [999846028,IT]",Advanced Grants,2008,1751066.54
227793,SeCo,Stefano Ceri,"Polytechnic University of Milan [999879881,IT]",Advanced Grants,2008,2500000.0
227977,SMScom,Carlo Ghezzi,"Polytechnic University of Milan [999879881,IT]",Advanced Grants,2008,2544156.0
101163668,flEAP,Giacomo Moretti,"University of Trento [999841954,IT]",Starting Grants,2024,1486161.0
101164874,HyperMaSH,Stefano Luigi Oscurato,"University of Naples Federico II [999976590,IT]",Starting Grants,2024,1620500.0
101162939,I-BOT,Veronica Iacovacci,"Superior School Sant'Anna [999884731,IT]",Starting Grants,2024,1497923.75
101162173,LOOP,Davide Pierangeli,"Sapienza University of Rome [999987745,IT]",Starting Grants,2024,1499928.0
101163003,NEUROLIDAR,Filippo Pisano,"University of Padua [999995602,IT]",Starting Grants,2024,1634825.0
101189508,NEURO2D,Daniele Ielmini,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2024,150000.0
101213190,SOFTINVADERS,Stefano Palagi,"Superior School Sant'Anna [999884731,IT]",Proof of Concept,2024,150000.0
101189419,TurboEEG,Francesco Paolo Andriulli,"Polytechnic University of Turin [999977754,IT]",Proof of Concept,2024,150000.0
101169850,QNattyNet,Angela Sara Cacciapuoti,"University of Naples Federico II [999976590,IT]",Consolidator Grants,2024,1999531.0
101116257,CUE-GO,Anna Guerra,"University of Bologna [999993953,IT]",Starting Grants,2023,1055314.0
101116943,HERMES,Giulia Acconcia,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2023,1500000.0
101117133,MALIN,Luca Calatroni,"University of Genoa [999976687,IT]",Starting Grants,2023,1432734.0
101116249,MUSE,Leonardo Cappello,"Superior School Sant'Anna [999884731,IT]",Starting Grants,2023,1499160.0
101116856,ROBOFLUID,Vito Cacucciolo,"Polytechnic University of Bari [999431159,IT]",Starting Grants,2023,1498750.0
101157307,MYTI,Christian Cipriani,"Superior School Sant'Anna [999884731,IT]",Proof of Concept,2023,150000.0
101138301,PROFTH,Paolo Fiorini,"Needleye Robotics - Italy [886438769,IT]",Proof of Concept,2023,150000.0
101136845,Real-Move,Arash Ajoudani,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2023,150000.0
101157731,TeraScan,Miriam Serena Vitiello,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2023,150000.0
101125498,MINING,Ferruccio Pisanello,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2023,2992875.0
101125923,QuNIm,Lucia Caspani,"University of Insubria [999855243,IT]",Consolidator Grants,2023,1979704.0
101141351,COMPACT,Alberto Bemporad,"IMT Institute for Advanced Studies Lucca [965146412,IT]",Advanced Grants,2023,2499375.0
101139828,HYPERSPIM,Claudio Conti,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2023,2490000.0
101078411,FIND-OUT,Stefania Bartoletti,"University of Rome - Tor Vergata [999844864,IT]",Starting Grants,2022,1019000.0
101076926,INSPIRE,Giulia Giordano,"University of Trento [999841954,IT]",Starting Grants,2022,1500000.0
101077917,QOMUNE,Davide Bacco,"University of Florence [999895789,IT]",Starting Grants,2022,1498750.0
101081871,MULTIBRIDGE,Stefan Wabnitz,"Sapienza University of Rome [999987745,IT]",Proof of Concept,2022,150000.0
101069187,PhotonFAB,Roberto Osellame,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2022,150000.0
101069279,PROCT,Paolo Fiorini,"University of Verona [999838074,IT]",Proof of Concept,2022,150000.0
101069299,SHANNON,Daniele Ielmini,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2022,150000.0
101081567,STAR,Miriam Serena Vitiello,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2022,150000.0
101045605,INcEPTION,Francesco Negro,"University of Brescia [999893946,IT]",Consolidator Grants,2021,1999533.75
101054098,ANIMATE,Daniele Ielmini,"Polytechnic University of Milan [999879881,IT]",Advanced Grants,2021,2498868.0
948590,CELLOIDS,Stefano Palagi,"Superior School Sant'Anna [999884731,IT]",Starting Grants,2020,1499375.0
948250,SubNanoOptoDevices,Michele Tamagnone,"Italian Institute of Technology [999596447,IT]",Starting Grants,2020,1499500.0
963463,ALPI,Lorenzo Pavesi,"University of Trento [999841954,IT]",Proof of Concept,2020,150000.0
966674,IN DEPTH,Ferruccio Pisanello,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2020,150000.0
966722,Preprint,Gianluca Fiori,"University of Pisa [999862712,IT]",Proof of Concept,2020,150000.0
963893,STIMBOY,Giovanni Di Pino,"Biomedical Campus University of Rome [999440665,IT]",Proof of Concept,2020,150000.0
101003304,I-Wood,Barbara Mazzolai,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2020,2000000.0
850932,Ergo-Lean,Arash Ajoudani,"Italian Institute of Technology [999596447,IT]",Starting Grants,2019,1488750.0
862085,DISPLAYGHT,Roberto Osellame,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2019,150000.0
875523,PROST,Paolo Fiorini,"University of Verona [999838074,IT]",Proof of Concept,2019,150000.0
874596,WAVESCOPE,Stefan Wabnitz,"Sapienza University of Rome [999987745,IT]",Proof of Concept,2019,150000.0
864299,ELFO,Mario Caironi,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2019,1980000.0
842472,CIRCUS,Daniele Ielmini,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2018,149463.75
840446,SoftHandler,Antonio Bicchi,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2018,150000.0
818669,BrightEyes,Giuseppe Vicidomini,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2018,1861250.0
770047,PEP2D,Gianluca Fiori,"University of Pisa [999862712,IT]",Consolidator Grants,2017,1883868.0
788793,BACKUP,Lorenzo Pavesi,"University of Trento [999841954,IT]",Advanced Grants,2017,2499825.0
727536,SoftHand Pro-H,Antonio Bicchi,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2016,149787.0
724846,321,Francesco Paolo Andriulli,"Polytechnic University of Turin [999977754,IT]",Consolidator Grants,2016,2000000.0
742671,ARS,Paolo Fiorini,"University of Verona [999838074,IT]",Advanced Grants,2016,2750000.0
742745,CAPABLE,Roberto Osellame,"National Research Council (CNR) - Italy [999979500,IT]",Advanced Grants,2016,2381875.0
740355,STEMS,Stefan Wabnitz,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2016,2084180.82
677683,MODEM,Ferruccio Pisanello,"Italian Institute of Technology [999596447,IT]",Starting Grants,2015,1996250.0
679820,MYKI,Christian Cipriani,"Superior School Sant'Anna [999884731,IT]",Starting Grants,2015,1475269.0
678908,RESHAPE,Giovanni Di Pino,"Biomedical Campus University of Rome [999440665,IT]",Starting Grants,2015,1490750.0
693680,iCARE,Dajana Cassioli,"SMARTLY: Natives of Smart Living [934717609,IT]",Proof of Concept,2015,150000.0
681379,SPRINT,Miriam Serena Vitiello,"National Research Council (CNR) - Italy [999979500,IT]",Consolidator Grants,2015,1990011.0
638059,HEROIC,Mario Caironi,"Italian Institute of Technology [999596447,IT]",Starting Grants,2014,1608125.0
638992,OPT4SMART,Giuseppe Notarstefano,"University of Bologna [999993953,IT]",Starting Grants,2014,1488750.0
641388,PETRA,Antonella Bogoni,"National Inter-University Consortium for Telecommunications - Italy [999649603,IT]",Proof of Concept,2014,150000.0
665421,ToothPic,Enrico Magli,"Polytechnic University of Turin [999977754,IT]",Proof of Concept,2014,149526.0
648635,RESCUE,Daniele Ielmini,"Polytechnic University of Milan [999879881,IT]",Consolidator Grants,2014,1998113.12
324629,PREPaRE, ,"National Inter-University Consortium for Telecommunications - Italy [999649603,IT]",Proof of Concept,2012,148300.0
320992,RoDyMan,Bruno Siciliano,"Consortium for Energy Research and Technological Applications of Electromagnetism (C.R.E.A.T.E.) [954718427,IT]",Advanced Grants,2012,2496600.0
279848,CRISP,Enrico Magli,"Polytechnic University of Turin [999977754,IT]",Starting Grants,2011,1390000.0
291166,SOFT HANDS,Antonio Bicchi,"Italian Institute of Technology [999596447,IT]",Advanced Grants,2011,2279600.0
239640,PHODIR,Antonella Bogoni,"National Inter-University Consortium for Telecommunications - Italy [999649603,IT]",Starting Grants,2009,1600000.0
240555,VISION,Dajana Cassioli,"University of L'Aquila [999859511,IT]",Starting Grants,2009,1173680.0
101163880,AMF,Luca Fortunato,"University of Naples Federico II [999976590,IT]",Starting Grants,2024,1412500.0
101162848,BREAKDOWN,Enrico Salvati,"University of Udine [999899281,IT]",Starting Grants,2024,1499954.0
101163330,E-Nucl,Mirko Gallo,"Sapienza University of Rome [999987745,IT]",Starting Grants,2024,1499875.0
101165321,HYPOR,Aronne Dell'Oca,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2024,1482520.0
101162753,PROTEGO,Giulia Luraghi,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2024,1498295.0
101189358,AXESS,Francesco Topputo,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2024,150000.0
101188238,CATSYNEX,Gianvito Vile,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2024,150000.0
101188904,Core,Sara Bagherifard,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2024,150000.0
101213773,GINNY,Federico Bella,"Polytechnic University of Turin [999977754,IT]",Proof of Concept,2024,150000.0
101187935,LBFAST,Sauro Succi,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2024,150000.0
101189244,NewOilFactory,Elena Simone,"Polytechnic University of Turin [999977754,IT]",Proof of Concept,2024,150000.0
101187967,TNext,Alessandro Molle,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2024,150000.0
101170592,MiGEM,Alessio Gizzi,"Biomedical Campus University of Rome [999440665,IT]",Consolidator Grants,2024,2000000.0
101114664,CIRCULARIZE,Alessandro Pellis,"University of Genoa [999976687,IT]",Starting Grants,2023,1500000.0
101115741,DANTE,Giovanni Stabile,"Superior School Sant'Anna [999884731,IT]",Starting Grants,2023,1450560.0
101116811,MINIONS,Chiara Paganelli,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2023,1487676.0
101117759,OriSha,Onelia Gagliano,"University of Padua [999995602,IT]",Starting Grants,2023,1499633.0
101158013,ARACHNID,Elisa Cimetta,"University of Padua [999995602,IT]",Proof of Concept,2023,150000.0
101123370,BioChord,Antonio D'Amore,"Ri.MED Foundation [933814927,IT]",Proof of Concept,2023,150000.0
101146025,BiSCUIT,Gianni Ciofani,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2023,150000.0
101158332,EMPATIC,Valeria Chiono,"Polytechnic University of Turin [999977754,IT]",Proof of Concept,2023,150000.0
101158039,hiPSCmore,Francesco Pasqualini,"University of Pavia [999893752,IT]",Proof of Concept,2023,150000.0
101123385,INCANT,Enrico Tronconi,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2023,150000.0
101123231,MetaCam,Antonio Ambrosio,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2023,150000.0
101156586,MOONSHOT,Francesco Di Stasio,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2023,150000.0
101123099,Smart Skin,Anna Maria Coclite,"University of Bari Aldo Moro [999840596,IT]",Proof of Concept,2023,150000.0
101126209,3D.FETOPRINT,Alessandro Filippo Maria Pellegata,"Polytechnic University of Milan [999879881,IT]",Consolidator Grants,2023,1972500.0
101125466,Epeius,Michele Conti,"University of Pavia [999893752,IT]",Consolidator Grants,2023,1991225.0
101140720,IMMENSE,Alberto Corigliano,"Polytechnic University of Milan [999879881,IT]",Advanced Grants,2023,2500000.0
101077146,EvOoC,Paola Occhetta,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2022,2430625.0
101075903,LINING,Francesco Avallone,"Polytechnic University of Turin [999977754,IT]",Starting Grants,2022,1499069.0
101075832,SAC_2.0,Gianvito Vile,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2022,1499681.0
101077758,TRACES,Fabio Ferrari,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2022,1499750.0
101112677,CATALYSE,Matteo Maestri,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2022,150000.0
101081171,DROPTRACK,Sauro Succi,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2022,150000.0
101112725,GUIDO,Francesco Topputo,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2022,150000.0
101069181,LEILA,Paola Saccomandi,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2022,150000.0
101081539,MagDock,Gianni Ciofani,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2022,150000.0
101069326,microMESH,Paolo Decuzzi,"Italian Institute of Technology [999596447,IT]",Proof of Concept,2022,150000.0
101068512,NICHILD,Manuela Teresa Raimondi,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2022,150000.0
101059685,NODRY,Alberto Giacomello,"Sapienza University of Rome [999987745,IT]",Proof of Concept,2022,150000.0
101069171,PANTANI,Matteo Passoni,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2022,150000.0
101113522,POLIRNA,Valeria Chiono,"Polytechnic University of Turin [999977754,IT]",Proof of Concept,2022,150000.0
101113125,PROMETEO,Carmen Giordano,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2022,150000.0
101113345,PYPAINT,Carlo Spartaco Casari,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2022,150000.0
101069172,SENSE,Francesco Topputo,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2022,150000.0
101069436,Stripe-o-Morph,Antonio Desimone,"International School for Advanced Studies - Trieste [999850878,IT]",Proof of Concept,2022,150000.0
101061820,TCOtronics,Francesco Scotognella,"Polytechnic University of Milan [999879881,IT], Polytechnic University of Turin [999977754,IT]",Proof of Concept,2022,150000.0
101069262,XMem,Alessandro Molle,"National Research Council (CNR) - Italy [999979500,IT]",Proof of Concept,2022,150000.0
101088694,BREATHE,Tommaso Andreussi,"Superior School Sant'Anna [999884731,IT]",Consolidator Grants,2022,2344135.0
101089265,GREEN SPECIES,Camilla Colombo,"Polytechnic University of Milan [999879881,IT]",Consolidator Grants,2022,1999398.0
101086644,S-FOAM,Diego Misseroni,"University of Trento [999841954,IT]",Consolidator Grants,2022,1930096.0
101093897,ButterFly,Filippo Berto,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2022,2499811.0
101039657,CARDIOTRIALS,Francesco Viola,"Gran Sasso Science Institute (GSSI) [917519994,IT]",Starting Grants,2021,1499423.0
101039467,CoDe4Bio,Giulia Scalet,"University of Pavia [999893752,IT]",Starting Grants,2021,1495100.0
101041255,HELIOS,Anna Laura Pisello,"University of Perugia [999846319,IT]",Starting Grants,2021,1498125.0
101040383,NoOne,Eleonora Macchia,"University of Bari Aldo Moro [999840596,IT]",Starting Grants,2021,2499579.0
101039198,SURFACE,Antonio Papangelo,"Polytechnic University of Bari [999431159,IT]",Starting Grants,2021,1499750.0
101044228,ArcHIDep,Sara Bagherifard,"Polytechnic University of Milan [999879881,IT]",Consolidator Grants,2021,1998000.0
101045746,HYNANOSTORE,Luisa De Marco,"National Research Council (CNR) - Italy [999979500,IT]",Consolidator Grants,2021,1973133.75
101053122,BEACONSANDEGG,Manuela Teresa Raimondi,"Polytechnic University of Milan [999879881,IT]",Advanced Grants,2021,2498690.0
101052956,Beyond,Davide Bigoni,"University of Trento [999841954,IT]",Advanced Grants,2021,2476084.0
101053309,NABUCCO,Chiara Bisagni,"Polytechnic University of Milan [999879881,IT]",Advanced Grants,2021,2342038.0
948225,B3YOND,Edoardo Albisetti,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2020,1498385.0
949916,CO2CAP,Andrea Lamberti,"Polytechnic University of Turin [999977754,IT]",Starting Grants,2020,1497500.0
949229,CryForm,Elena Simone,"Polytechnic University of Turin [999977754,IT]",Starting Grants,2020,1963562.0
949388,PhyCo,Luca Magri,"Polytechnic University of Turin [999977754,IT]",Starting Grants,2020,1500000.0
948769,SuN2rise,Federico Bella,"Polytechnic University of Turin [999977754,IT]",Starting Grants,2020,1498750.0
966725,INSTANT,Enrico Tronconi,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2020,150000.0
966758,SPECTROKIN,Matteo Maestri,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2020,150000.0
101002561,BIOMITRAL,Antonio D'Amore,"Ri.MED Foundation [933814927,IT]",Consolidator Grants,2020,1990530.0
101002422,REPLY,Andrea Toma,"Italian Institute of Technology [999596447,IT]",Consolidator Grants,2020,1986250.0
101002724,RIDING,Agnese Seminara,"University of Genoa [999976687,IT]",Consolidator Grants,2020,1973485.0
851794,NANOLED,Francesco Di Stasio,"Italian Institute of Technology [999596447,IT]",Starting Grants,2019,1496250.0
850437,PRE-ECO,Alfonso Pagani,"Polytechnic University of Turin [999977754,IT]",Starting Grants,2019,1477901.0
852560,SYNBIO.ECM,Francesco Pasqualini,"University of Pavia [999893752,IT]",Starting Grants,2019,1999375.0
899431,DIANA,Carmen Giordano,"Polytechnic University of Milan [999879881,IT]",Proof of Concept,2019,150000.0
875183,IDEAL DRONE,Gian Paolo Cimellaro,"Polytechnic University of Turin [999977754,IT]",Proof of Concept,2019,150000.0
