Project Number,Acronym,Researcher(s),Ateneo,Grant Type,year,EU contribution
246923,GeMeThnES,Luigi Ambrosio,"Normal Superior School of Pisa [999886962,IT]",Advanced Grants,2009,749800.0
246953,MALADY,Carlangelo Liverani,"University of Rome - Tor Vergata [999844864,IT]",Advanced Grants,2009,1372720.0
226234,AnTeGeFI,Nicola Fusco,"University of Naples Federico II [999976590,IT]",Advanced Grants,2008,600000.0
228217,FroM-PDE,Boris Dubrovin,"International School for Advanced Studies - Trieste [999850878,IT]",Advanced Grants,2008,864000.0
227458,OACFT,Roberto Longo,"University of Rome - Tor Vergata [999844864,IT]",Advanced Grants,2008,1044750.0
228032,PTRELSS,Fabio Martinelli,"University of Rome - Roma Tre [999866107,IT]",Advanced Grants,2008,1248067.0
200497,BioSMA,Ulisse Stefanelli,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2007,700000.0
205004,GeoPDEs,Annalisa Buffa,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2007,750000.0
204979,HamiltonianPDEs,Massimiliano Berti,"University of Naples Federico II [999976590,IT]",Starting Grants,2007,400000.0
207573,Vectorial Problems,Giuseppe Mingione,"University of Parma [999846028,IT]",Starting Grants,2007,500000.0
101164646,FORESEEING,Simona Colombelli,"University of Naples Federico II [999976590,IT]",Starting Grants,2024,1231718.0
101162816,OMEN,Giacomo Pozzi,"University of Padua [999995602,IT]",Starting Grants,2024,2143975.0
101213818,MODEM,Manuele Faccenda,"University of Padua [999995602,IT]",Proof of Concept,2024,150000.0
101170872,DEGAS,Sara Callegaro,"University of Bologna [999993953,IT]",Consolidator Grants,2024,1999401.0
101167761,MATRICs,Pietro Sternai,"University of Milan -  Bicocca [999923531,IT]",Consolidator Grants,2024,1999968.75
101199315,MADAM,Fabrizio Nestola,"University of Padua [999995602,IT]",Advanced Grants,2024,3499978.0
101040600,HYQUAKE,Marco Maria Scuderi,"Sapienza University of Rome [999987745,IT]",Starting Grants,2021,1462710.0
101041620,INHERIT,Martha Giovanna Pamato,"University of Padua [999995602,IT]",Starting Grants,2021,1499758.0
101044772,NANOVOLC,Danilo Di Genova,"National Research Council (CNR) - Italy [999979500,IT]",Consolidator Grants,2021,1999073.39
948972,COEVOLVE,Donato Giovannelli,"University of Naples Federico II [999976590,IT]",Starting Grants,2020,2080438.0
948666,NaPuE,Monica Passananti,"University of Turin [999861936,IT]",Starting Grants,2020,1624751.0
949417,VapLoss,Remco Hin,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2020,1600232.0
864045,DeepSeep,Alberto Vitale Brovarone,"University of Bologna [999993953,IT]",Consolidator Grants,2019,2474368.0
802777,MONIFAULTS,Piero Poli,"University of Padua [999995602,IT]",Starting Grants,2018,1393174.0
802414,WARMCOASTS,Alessio Rovere,"University of Venice [999897341,IT]",Starting Grants,2018,1499965.0
835012,TECTONIC,Chris Marone,"Sapienza University of Rome [999987745,IT]",Advanced Grants,2018,3459750.0
758199,NEWTON,Manuele Faccenda,"University of Padua [999995602,IT]",Starting Grants,2017,1466030.0
770999,DyNET,Gianluca Botter,"University of Padua [999995602,IT]",Consolidator Grants,2017,1999758.0
714936,TRUE DEPTHS,Matteo Alvaro,"University of Pavia [999893752,IT]",Starting Grants,2016,1697500.0
612776,CHRONOS,Diego Perugini,"University of Perugia [999846319,IT]",Consolidator Grants,2013,1993813.0
614705,NOFEAR,Giulio Di Toro,"University of Padua [999995602,IT]",Consolidator Grants,2013,1963800.0
305377,BRIDGE,Alessandro Aiuppa,"University of Palermo [999734284,IT]",Starting Grants,2012,1496222.0
307322,INDIMEDEA,Fabrizio Nestola,"University of Padua [999995602,IT]",Starting Grants,2012,1423464.1
259256,GLASS,Cristiano Collettini,"National Institute of Geophysics and Volcanology- Italy (INGV) [999472675,IT]",Starting Grants,2010,1514400.0
267696,EARLYhumanIMPACT,Carlo Barbante,"University of Venice [999897341,IT]",Advanced Grants,2010,2370767.0
247349,AFRICA-GHG,Riccardo Valentini,"National Research Center on Climate Science and Policy - Italy [999419422,IT]",Advanced Grants,2009,2406950.0
205175,USEMS,Giulio Di Toro,"National Institute of Geophysics and Volcanology- Italy (INGV) [999472675,IT]",Starting Grants,2007,1992000.0
101163799,3DnanoGiant,Sara Nocentini,"National Institute of Metrological Research [998627805,IT]",Starting Grants,2024,1500000.0
101160604,MEMBRAIN,Gianluca Milano,"National Institute of Metrological Research [998627805,IT]",Starting Grants,2024,1487500.0
101162914,TREAT,Eva Arianna Aurelia Pogna,"National Research Council (CNR) - Italy [999979500,IT]",Starting Grants,2024,1500000.0
101171012,ELOW-DI,Giulia Grancini,"University of Pavia [999893752,IT]",Consolidator Grants,2024,1991250.0
101115925,EOS,Giuseppe Maria Paternò,"Polytechnic University of Milan [999879881,IT]",Starting Grants,2023,1500000.0
101116135,MiMETIC,Giorgio Ernesto Bonacchini,"University of Padua [999995602,IT]",Starting Grants,2023,2216250.0
101124721,EpiC,Fabian Meder,"Superior School Sant'Anna [999884731,IT]",Consolidator Grants,2023,1999625.0
