Project Number,Acronym,Researcher(s),Ateneo,Numero di organizzazioni,Grant Type,year,EU contribution
101040197,QED-Spin,Enrico Ronca,PERUGIA,1,Starting Grants,2021,1499754.0
101052708,DELIGHT,Matteo Calandra,TRENTO,1,Advanced Grants,2021,2117141.0
851154,ULTRAIMAGE,Giulia Fulvia Mancini,PAVIA,1,Starting Grants,2019,1894577.0
802862,HY-NANO,Giulia Grancini,PAVIA,1,Starting Grants,2018,1499084.0
819644,BioDisOrder,Alfonso De Simone,Napoli Federico II,1,Consolidator Grants,2018,1999945.0
818776,DYNAPOL,Giovanni Maria Pavan,Politecnico di TORINO,1,Consolidator Grants,2018,1999623.0
818064,GEMS,Chiara Cappelli,Scuola Normale Superiore di PISA,1,Consolidator Grants,2018,1609500.0
819160,PRO-TOOLKITS,Francesco Ricci,"ROMA ""Tor Vergata""",1,Consolidator Grants,2018,1999375.0
786714,LIFETimeS,Benedetta Mennucci,PISA,1,Advanced Grants,2017,2400000.0
681285,TAME-Plasmons,Stefano Corni,PADOVA,1,Consolidator Grants,2015,1432890.0
665635,MISSION,Giulio Cerullo,Politecnico di MILANO,1,Proof of Concept,2014,149625.0
647107,SEMICOMPLEX,Michele Ceotto,MILANO,1,Consolidator Grants,2014,1899973.0
306662,S-RNA-S,Giovanni Bussi,SISSA - TRIESTE,1,Starting Grants,2012,1295700.0
277755,EnLight,Benedetta Mennucci,PISA,1,Starting Grants,2011,1300000.0
278560,QUENTRHEL,Elisabetta Collini,PADOVA,1,Starting Grants,2011,1479480.0
291198,STRATUS,"Giulio Cerullo, Marco Garavelli","Politecnico di MILANO,Politecnico di MILANO",2,Advanced Grants,2011,2493000.0
240624,MultiscaleChemBio,Leonardo Guidoni,"ROMA ""La Sapienza""",1,Starting Grants,2009,1200000.0
101138070,STORE-LIGHT,Ilka Kriegel,Politecnico di TORINO,1,Proof of Concept,2023,150000.0
101141690,PHOTOZYME,Paolo Melchiorre,BOLOGNA,1,Advanced Grants,2023,2945000.0
101077698,PhotoDark,Luka Dordevic,PADOVA,1,Starting Grants,2022,1494500.0
101039841,DEBUGGING-LPS,Flaviana Di Lorenzo,Napoli Federico II,1,Starting Grants,2021,1954308.0
101039890,ELECTRA,Mauro Perfetti,FIRENZE,1,Starting Grants,2021,1498784.0
101039578,PROTOMAT,Pierangelo Gobbo,TRIESTE,1,Starting Grants,2021,2097713.0
101040025,SYNPHOCAT,Luca Dell'Amico,PADOVA,1,Starting Grants,2021,1920260.0
949087,BioPoweredCL,Alessandro Aliprandi,PADOVA,1,Starting Grants,2020,1449750.0
966334,FREENERGY,Antonio Abate,Napoli Federico II,1,Proof of Concept,2020,150000.0
851356,GLYCOSWITCH,Roberta Marchetti,Napoli Federico II,1,Starting Grants,2019,1994117.0
865819,ANFIBIO,Laura Fabris,Politecnico di TORINO,1,Consolidator Grants,2019,2725510.0
804583,SusDrug,David Sarlah,PAVIA,1,Starting Grants,2018,1400000.0
758108,ERACHRON,Sara Sattin,MILANO,1,Starting Grants,2017,1500000.0
789815,MINIRES,Pierangelo Metrangolo,Politecnico di MILANO,1,Proof of Concept,2017,150000.0
780061,SiNBioSys,Paola Ceroni,BOLOGNA,1,Proof of Concept,2017,149937.5
692981,LEAPS,Alberto Credi,BOLOGNA,1,Advanced Grants,2015,2362950.0
640849,INSIGHT,Fabrizio Mancin,PADOVA,1,Proof of Concept,2014,150000.0
647020,BIOINOHYB,Cristiana Di Valentin,MILANO-BICOCCA,1,Consolidator Grants,2014,1748125.0
307108,FOLDHALO,Pierangelo Metrangolo,Politecnico di MILANO,1,Starting Grants,2012,1393000.0
320951,DREAMS,Vincenzo Barone,Scuola Normale Superiore di PISA,1,Advanced Grants,2012,2152600.0
278912,PhotoSi,Paola Ceroni,BOLOGNA,1,Starting Grants,2011,1182606.0
259014,MOSAIC,Fabrizio Mancin,PADOVA,1,Starting Grants,2010,1499000.0
239898,DYCOCA,Leonard Jan Prins,PADOVA,1,Starting Grants,2009,1400000.0
227135,CARBONANOBRIDGE,Maurizio Prato,TRIESTE,1,Advanced Grants,2008,2500000.0
101166056,beyond2,Sebastian Goldt,SISSA - TRIESTE,1,Starting Grants,2024,1499999.0
101165466,PLA-STEER,Andrea Celli,Bocconi MILANO,1,Starting Grants,2024,1316544.0
101116095,PERSONAE,Debora Nozza,Bocconi MILANO,1,Starting Grants,2023,1499775.0
101077455,ObfusQation,Giulio Malavolta,Bocconi MILANO,1,Starting Grants,2022,1458750.0
101039208,REGINDEX,Nicola Prezza,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2021,1385743.0
949944,INTEGRATOR,Dirk Hovy,Bocconi MILANO,1,Starting Grants,2020,1498937.0
101019547,FGC,Alon Rosen,Bocconi MILANO,1,Advanced Grants,2020,2493750.0
802554,SPECGEO,Emanuele Rodola',"ROMA ""La Sapienza""",1,Starting Grants,2018,1434000.0
824939,AST,Leonardo Mariani,MILANO-BICOCCA,1,Proof of Concept,2018,150000.0
818616,DIAPASoN,Ugo Dal Lago,BOLOGNA,1,Consolidator Grants,2018,959562.0
819789,SLING,Lorenzo Rosasco,GENOVA,1,Consolidator Grants,2018,1977500.0
834861,SO-ReCoDi,Luca Trevisan,Bocconi MILANO,1,Advanced Grants,2018,1971805.0
834756,XAI,Fosca Giannotti,Scuola Normale Superiore di PISA,1,Advanced Grants,2018,2500000.0
788893,AMDROMA,Stefano Leonardi,"ROMA ""La Sapienza""",1,Advanced Grants,2017,1780150.0
726487,MOUSSE,Roberto Navigli,"ROMA ""La Sapienza""",1,Consolidator Grants,2016,1497250.0
680153,DMAP,Flavio Chierichetti,"ROMA ""La Sapienza""",1,Starting Grants,2015,1137500.0
693174,GeCo,Stefano Ceri,Politecnico di MILANO,1,Advanced Grants,2015,2500000.0
646867,Learn,Leonardo Mariani,MILANO-BICOCCA,1,Consolidator Grants,2014,1141875.0
297463,3DV, ,PARMA,1,Proof of Concept,2011,148061.0
291389,CME,Bertrand Philippe Meyer,Politecnico di MILANO,1,Advanced Grants,2011,2482957.16
291125,MULTITHERMAN,Luca Benini,BOLOGNA,1,Advanced Grants,2011,2483397.0
259234,MultiJEDI,Roberto Navigli,"ROMA ""La Sapienza""",1,Starting Grants,2010,1288400.0
267856,Lucretius,John Mylopoulos,TRENTO,1,Advanced Grants,2010,2462095.0
228045,OFAV,Alberto Broggi,PARMA,1,Advanced Grants,2008,1751066.54
227793,SeCo,Stefano Ceri,Politecnico di MILANO,1,Advanced Grants,2008,2500000.0
227977,SMScom,Carlo Ghezzi,Politecnico di MILANO,1,Advanced Grants,2008,2544156.0
101163668,flEAP,Giacomo Moretti,TRENTO,1,Starting Grants,2024,1486161.0
101164874,HyperMaSH,Stefano Luigi Oscurato,Napoli Federico II,1,Starting Grants,2024,1620500.0
101162939,I-BOT,Veronica Iacovacci,Scuola Superiore Sant'Anna,1,Starting Grants,2024,1497923.75
101162173,LOOP,Davide Pierangeli,"ROMA ""La Sapienza""",1,Starting Grants,2024,1499928.0
101163003,NEUROLIDAR,Filippo Pisano,PADOVA,1,Starting Grants,2024,1634825.0
101189508,NEURO2D,Daniele Ielmini,Politecnico di MILANO,1,Proof of Concept,2024,150000.0
101213190,SOFTINVADERS,Stefano Palagi,Scuola Superiore Sant'Anna,1,Proof of Concept,2024,150000.0
101189419,TurboEEG,Francesco Paolo Andriulli,Politecnico di TORINO,1,Proof of Concept,2024,150000.0
101169850,QNattyNet,Angela Sara Cacciapuoti,Napoli Federico II,1,Consolidator Grants,2024,1999531.0
101116257,CUE-GO,Anna Guerra,BOLOGNA,1,Starting Grants,2023,1055314.0
101116943,HERMES,Giulia Acconcia,Politecnico di MILANO,1,Starting Grants,2023,1500000.0
101117133,MALIN,Luca Calatroni,GENOVA,1,Starting Grants,2023,1432734.0
101116249,MUSE,Leonardo Cappello,Scuola Superiore Sant'Anna,1,Starting Grants,2023,1499160.0
