Project Number,Acronym,Researcher(s),Ateneo,Numero di organizzazioni,Grant Type,year,EU contribution
646990,NICHOID,Manuela Teresa Raimondi,Politecnico di MILANO,1,Consolidator Grants,2014,1903330.0
632277,KNOTOUGH, ,TRENTO,1,Proof of Concept,2013,149490.0
619448,REPLICA2, ,TRENTO,1,Proof of Concept,2013,147000.0
617603,NSHOCK,Alberto Guardone,Politecnico di MILANO,1,Consolidator Grants,2013,1485600.0
617972,StruBa,Angelo Simone,PADOVA,1,Consolidator Grants,2013,1968053.0
339446,BIC,Carlo Massimo Casciola,"ROMA ""La Sapienza""",1,Advanced Grants,2013,2491200.0
340561,INSTABILITIES,Davide Bigoni,TRENTO,1,Advanced Grants,2013,2379359.0
340685,MicroMotility,Antonio De Simone,SISSA - TRIESTE,1,Advanced Grants,2013,1302270.0
339032,NewTURB,Luca Biferale,"ROMA ""Tor Vergata""",1,Advanced Grants,2013,1986000.0
306622,CA2PVM,Marco Paggi,Scuola IMT Alti Studi LUCCA,1,Starting Grants,2012,1483980.0
308261,MORPHOSIS,Giulia Lanzara,ROMA TRE,1,Starting Grants,2012,1664600.0
306357,NANO-JETS,Dario Pisignano,SALENTO,1,Starting Grants,2012,1491823.0
279985,BIHSNAM,Nicola Pugno,TRENTO,1,Starting Grants,2011,1004400.0
291002,SIZEFFECTS,Stefano Zapperi,MILANO,1,Advanced Grants,2011,2500000.0
259229,ISOBIO,Alessandro Reali,PAVIA,1,Starting Grants,2010,1195200.0
101169773,BELOVED,Annalisa Bonafede,BOLOGNA,1,Consolidator Grants,2024,1856133.0
101116226,GalFlow,Mattia Carlo Sormani,INSUBRIA,1,Starting Grants,2023,1499281.0
101117455,TREASURES,Ása Skúladóttir,FIRENZE,1,Starting Grants,2023,1500000.0
101142079,PINGU,Alberto Sesana,MILANO-BICOCCA,1,Advanced Grants,2023,2291444.0
101141533,SWIM,Elena Pettinelli,ROMA TRE,1,Advanced Grants,2023,3176790.0
101076080,Red Cardinal,Sirio Belli,BOLOGNA,1,Starting Grants,2022,1270668.0
101076613,UNVEIL,Stefano Facchini,MILANO,1,Starting Grants,2022,1498850.0
101086804,BlackHoleWeather,Massimo Gaspari,MODENA e REGGIO EMILIA,1,Consolidator Grants,2022,1999956.0
101096035,POLOCALC,Federico Nati,MILANO-BICOCCA,1,Advanced Grants,2022,2418281.0
101039651,DiscEvol,Giovanni Rosotti,MILANO,1,Starting Grants,2021,1495755.0
101040751,MW-WINDS,Enrico Di Teodoro,FIRENZE,1,Starting Grants,2021,1026250.0
101040227,WINGS,Stefano Carniani,Scuola Normale Superiore di PISA,1,Starting Grants,2021,1199519.0
945155,GWmining,Davide Gerosa,MILANO-BICOCCA,1,Starting Grants,2020,1499917.0
101002761,BHianca,Eleonora Troja,"ROMA ""Tor Vergata""",1,Consolidator Grants,2020,1974000.0
864361,CosmicWeb,Sebastiano Cantalupo,MILANO-BICOCCA,1,Consolidator Grants,2019,2000000.0
804240,NEFERTITI,Stefania Salvadori,FIRENZE,1,Starting Grants,2018,1180813.0
818691,B Massive,Alberto Sesana,MILANO-BICOCCA,1,Consolidator Grants,2018,1532750.0
815673,GRAMS,Enrico Barausse,SISSA - TRIESTE,1,Consolidator Grants,2018,1993920.0
757535,FEEDGALAXIES,Michele Fumagalli,MILANO-BICOCCA,1,Starting Grants,2017,1499557.0
772293,Asterochronometry,Andrea Miglio,BOLOGNA,1,Consolidator Grants,2017,1958863.0
716762,ClustersXCosmo,Alexandro Saro,TRIESTE,1,Starting Grants,2016,1230403.0
714245,DRANOEL,Annalisa Bonafede,BOLOGNA,1,Starting Grants,2016,1496250.0
716082,GALFOR,Antonino Milone,PADOVA,1,Starting Grants,2016,717246.0
714196,MAGCOW,Franco Vazza,BOLOGNA,1,Starting Grants,2016,1465943.0
740120,INTERSTELLAR,Andrea Ferrara,Scuola Normale Superiore di PISA,1,Advanced Grants,2016,2151875.0
638809,AIDA,Andrei Albert Mesinger,Scuola Normale Superiore di PISA,1,Starting Grants,2014,1468750.0
615604,STARKEY,Paola Marigo,PADOVA,1,Consolidator Grants,2013,1930628.0
291521,DARKLIGHT,Luigi Guzzo,MILANO,1,Advanced Grants,2011,1723600.0
259349,GLENCO,Robert Benton Metcalf,BOLOGNA,1,Starting Grants,2010,1500000.0
267675,Cosmic-Lab,Francesco Ferraro,BOLOGNA,1,Advanced Grants,2010,1880000.0
101164784,CHAIN,Carlo Schwarz,Bocconi MILANO,1,Starting Grants,2024,1491649.0
101165373,DynamicInfoAsym,Esat Doruk Cetemen,Luiss Guido Carli,1,Starting Grants,2024,1136046.0
101171473,WeSET,Thomas Le Barbanchon,Bocconi MILANO,1,Consolidator Grants,2024,1721563.0
101116015,DIGIDEV,Erika Deserranno,Bocconi MILANO,1,Starting Grants,2023,1498500.0
101115804,FINDEV,Nicola Limodio,Bocconi MILANO,1,Starting Grants,2023,1496312.5
101117032,Persistence,Katerina Petrova,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2023,664850.0
101117537,SOFIA,Michela Carlana,Bocconi MILANO,1,Starting Grants,2023,1499875.0
101116966,SOME,Luca Braghieri,Bocconi MILANO,1,Starting Grants,2023,1494625.0
101142844,TRAITS-GAMES,Pierpaolo Battigalli,Bocconi MILANO,1,Advanced Grants,2023,1874575.0
101075924,NTAOTC,Florian Nagler,Bocconi MILANO,1,Starting Grants,2022,1416812.5
101087978,GEM,Luigi Iovino,Bocconi MILANO,1,Consolidator Grants,2022,1532955.0
101088889,ROOTS,Luigi Pascali,Luiss Guido Carli,1,Consolidator Grants,2022,748079.0
101098332,AI-Comp,Emilio Calvano,Luiss Guido Carli,1,Advanced Grants,2022,1877793.0
101097687,MARKINDOWN,Tito Boeri,Bocconi MILANO,1,Advanced Grants,2022,1859312.5
101097578,MemDec,Nicola Gennaioli,Bocconi MILANO,1,Advanced Grants,2022,1936400.0
101042055,EDIPO,Mara Pasquamaria Squicciarini,Bocconi MILANO,1,Starting Grants,2021,1463212.5
101054421,DCS,Francesco Lippi,Luiss Guido Carli,1,Advanced Grants,2021,1447893.0
101055295,InfoEcoScience,Marco Ottaviani,Bocconi MILANO,1,Advanced Grants,2021,1461050.0
101002867,CoDiM,Francesco Decarolis,Bocconi MILANO,1,Consolidator Grants,2020,1721425.0
101021061,SAIM,Alfonso Gambardella,Bocconi MILANO,1,Advanced Grants,2020,1978213.0
852172,HarmfulTraditions,Lucia Corno,Cattolica del Sacro Cuore,1,Starting Grants,2019,1389687.5
852526,POPULIZATION,Salvatore Nunnari,Bocconi MILANO,1,Starting Grants,2019,1415760.0
866181,CLEAN,Paolo Pinotti,Bocconi MILANO,1,Consolidator Grants,2019,1770838.0
835201,ISEProD,Fabiano Schivardi,Luiss Guido Carli,1,Advanced Grants,2018,1944581.0
758190,ESEARCH,Thomas Le Barbanchon,Bocconi MILANO,1,Starting Grants,2017,1250250.0
789049,MIMAT,Gianmarco Ottaviano,Bocconi MILANO,1,Advanced Grants,2017,1335693.75
741643,EUROPOPULISM,Guido Enrico Tabellini,Bocconi MILANO,1,Advanced Grants,2016,1276250.0
679217,REPCOR,Francesco Decarolis,Bocconi MILANO,1,Starting Grants,2015,1046850.0
679949,SDDM-TEA,Simone Cerreia Vioglio,Bocconi MILANO,1,Starting Grants,2015,667875.0
694882,ASNODEV,Eliana La Ferrara,Bocconi MILANO,1,Advanced Grants,2015,1618125.0
694583,PolEc,Massimo Morelli,Bocconi MILANO,1,Advanced Grants,2015,1540625.0
648833,POLITICALMIND,Tommaso Nannicini,Bocconi MILANO,1,Consolidator Grants,2014,1375869.0
647782,SalThApp,Nicola Gennaioli,Bocconi MILANO,1,Consolidator Grants,2014,1431650.0
670337,INDIMACRO,Massimo Marinacci,Bocconi MILANO,1,Advanced Grants,2014,1394716.0
614879,MONPMOD,Pierpaolo Benigno,Luiss Guido Carli,1,Consolidator Grants,2013,837680.0
313671,RESOCONBUCY,Fabrizio Perri,Bocconi MILANO,1,Starting Grants,2012,1098800.0
324219,STRATEMOTIONS,Pierpaolo Lorenzo Aurelio Battigalli,Bocconi MILANO,1,Advanced Grants,2012,1210000.0
283483,FINIMPMACRO,Tommaso Monacelli,Bocconi MILANO,1,Starting Grants,2011,778800.0
295710,ECONOMICHISTORY,"Maristella Botticini, Zvi Eckstein","Bocconi MILANO,Bocconi MILANO",2,Advanced Grants,2011,1113900.0
295835,EVALIDEA,Marco Maria Ottaviani,Bocconi MILANO,1,Advanced Grants,2011,1142200.0
295709,FINLAB,Marco Pagano,Napoli Federico II,1,Advanced Grants,2011,1873800.0
241114,Inst&Glob,Nicola Gennaioli,Bocconi MILANO,1,Starting Grants,2009,1002000.0
240819,MACROMOD,Pierpaolo Benigno,Luiss Guido Carli,1,Starting Grants,2009,648000.0
241196,STRANGERS,Marco Casari,BOLOGNA,1,Starting Grants,2009,769090.0
230367,BRSCDP-TEA,Massimo Marinacci,Bocconi MILANO,1,Advanced Grants,2008,1399800.0
230088,Institutions,Guido Tabellini,Bocconi MILANO,1,Advanced Grants,2008,1068000.0
208661,CIDAM,Eliana La Ferrara,Bocconi MILANO,1,Starting Grants,2007,429480.0
101164328,P-AGE,Xenia Chiaramonte,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2024,1499049.0
101078683,ACCESS,Madalina Moraru,BOLOGNA,1,Starting Grants,2022,1499788.0
101076616,HABITAT,Alessio Sardo,GENOVA,1,Starting Grants,2022,1497340.0
101044015,MENA-PERC,Kevin Koehler,Scuola Superiore Sant'Anna,1,Consolidator Grants,2021,1915601.0
101055185,HyperModeLex,Monica Palmirani,BOLOGNA,1,Advanced Grants,2021,2494509.0
853487,2D4D,Elena Verdolini,BRESCIA,1,Starting Grants,2019,1498375.0
851940,RadicalHOUSING,Michele Lancione,Politecnico di TORINO,1,Starting Grants,2019,1499791.0
853050,SMOOTH,Emanuele Campiglio,BOLOGNA,1,Starting Grants,2019,1499956.0
864687,LOSS,Catherine De Vries - Netjes,Bocconi MILANO,1,Consolidator Grants,2019,1993518.0
802362,BIT-ACT,Alice Mattoni,BOLOGNA,1,Starting Grants,2018,1489115.0
833647,CompuLaw,Giovanni Sartor,BOLOGNA,1,Advanced Grants,2018,2273550.0
756194,ENERGYA,Enrica De Cian,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2017,1495000.0
678783,DomEQUAL,Sabrina Marchetti,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2015,1199976.0
678456,HOMInG,Paolo Boccagni,TRENTO,1,Starting Grants,2015,1499678.0
694697,CoCEAL,Giacinto Della Cananea,Bocconi MILANO,1,Advanced Grants,2015,1254105.0
694145,IFAMID,Arnstein Aassve,Bocconi MILANO,1,Advanced Grants,2015,1850820.0
638259,EUBorderCare,Vanessa Elisa Grotti,BOLOGNA,1,Starting Grants,2014,1498463.0
639284,INTERACT,Delia Stefania Baldassarri,Bocconi MILANO,1,Starting Grants,2014,969100.0
340534,REScEU,Maurizio Ferrera,MILANO,1,Advanced Grants,2013,2496904.0
262873,COD,Giovanni Marco Carbone,MILANO,1,Starting Grants,2010,322283.6
263183,FAMINE,Stefani Scherer,TRENTO,1,Starting Grants,2010,478494.0
269136,Mobilizing4democracy,Donatella Alessandra Della Porta,Scuola Normale Superiore di PISA,1,Advanced Grants,2010,1747200.0
101170767,UNDERGOV,Luigi Achilli,Scuola Superiore Sant'Anna,1,Consolidator Grants,2024,1999392.0
101116718,NEMESIS,Daniele Durante,Bocconi MILANO,1,Starting Grants,2023,1498794.0
101076713,PregDaT,Giulia Zanini,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2022,1497984.0
101088949,CowDom,Valentina Bonifacio,"""Ca' Foscari"" VENEZIA",1,Consolidator Grants,2022,1611768.0
101086663,EDUPOL,Moris Triventi,MILANO,1,Consolidator Grants,2022,1930120.0
101039655,ExpPov,Zachary Parolin,Bocconi MILANO,1,Starting Grants,2021,1393425.0
101042882,F-WORD,Maddalena Gretel Cammelli,TORINO,1,Starting Grants,2021,1114266.0
948982,CRAFTWORK,Alessandro Gandini,MILANO,1,Starting Grants,2020,1152170.0
101002163,IDENTITIES,Elisabetta Crocetti,BOLOGNA,1,Consolidator Grants,2020,1990015.0
101003183,IMMUNE,Alessia Melegaro,Bocconi MILANO,1,Consolidator Grants,2020,1986437.0
101002973,POPCLIMA,Raya Muttarak,BOLOGNA,1,Consolidator Grants,2020,1569500.0
853033,DESPO,Anne-Marie Jeannet,MILANO,1,Starting Grants,2019,1106528.0
865356,GENPOP,Nicola Barban,BOLOGNA,1,Consolidator Grants,2019,1985705.98
714463,ProcessCitizenship,Annalisa Pelizza,BOLOGNA,1,Starting Grants,2016,1498613.75
715950,SHARE,Annalisa Murgia,MILANO,1,Starting Grants,2016,1258250.0
725961,EU-FER,Daniele Vignoli,FIRENZE,1,Consolidator Grants,2016,1689272.0
694262,DisCont,Francesco Candeloro Billari,Bocconi MILANO,1,Advanced Grants,2015,2400555.0
647473,CWASI,Francesco Laio,Politecnico di TORINO,1,Consolidator Grants,2014,1222500.0
336155,COBHAM,Massimo Tavoni,Politecnico di MILANO,1,Starting Grants,2013,1451840.0
336703,RISICO,Valentina Bosetti,Bocconi MILANO,1,Starting Grants,2013,1146002.0
313590,HRES,David Stuckler,Bocconi MILANO,1,Starting Grants,2012,1358013.0
313617,SWELL-FER,Letizia Mencarini,Bocconi MILANO,1,Starting Grants,2012,1052053.0
283955,DECIDE,Alessia Melegaro,Bocconi MILANO,1,Starting Grants,2011,1210000.0
201194,CODEC,Arnstein Aassve,Bocconi MILANO,1,Starting Grants,2007,750000.0
101189208,TaGaDeDys,Giorgio Vallortigara,TRENTO,1,Proof of Concept,2024,150000.0
101170249,PredActive,Paola Binda,PISA,1,Consolidator Grants,2024,1999500.0
101116774,InqML,Ivano Alessandro Ciardelli,PADOVA,1,Starting Grants,2023,971310.0
101116408,OutOfSpace,Luca Rinaldi,PAVIA,1,Starting Grants,2023,1499688.0
101138734,BRAINmade,Viviana Betti,"ROMA ""La Sapienza""",1,Proof of Concept,2023,150000.0
101138232,DeepDive,Salvatore Maria Aglioti,"ROMA ""La Sapienza""",1,Proof of Concept,2023,150000.0
101125658,ATCOM,Roberto Bottini,TRENTO,1,Consolidator Grants,2023,1999358.0
101078497,MyFirstBody,Francesca Garbarini,TORINO,1,Starting Grants,2022,1325060.0
101087053,BraveNewWord,Marco Marelli,MILANO-BICOCCA,1,Consolidator Grants,2022,1387005.0
101098102,DiLaDi,Béla Adamik,"""Ca' Foscari"" VENEZIA",2,Advanced Grants,2022,2337500.0
101096728,ROOMors,Umberto Castiello,PADOVA,1,Advanced Grants,2022,3148411.0
101039206,ATENA,Maddalena Boccia,"ROMA ""La Sapienza""",1,Starting Grants,2021,1499718.0
101042701,DECOMPOSE,Ioana Cristea,PADOVA,1,Starting Grants,2021,1497500.0
101043216,IN-MIND,Silvia Elena Benavides Varela,PADOVA,1,Starting Grants,2021,1499798.0
101041885,TOHR,Andrea Ravignani,"ROMA ""La Sapienza""",1,Starting Grants,2021,1496294.0
101042625,UnaWireD,Giovanna Zamboni,MODENA e REGGIO EMILIA,1,Starting Grants,2021,1213888.0
101045733,PROMENADE,Valentina Bambini,I.U.S.S. - PAVIA,1,Consolidator Grants,2021,1854188.0
948891,TweakDreams,Giulio Bernardi,Scuola IMT Alti Studi LUCCA,1,Starting Grants,2020,1488270.0
804422,NOAM,Roberto Bottini,TRENTO,1,Starting Grants,2018,1498644.0
801715,PUPILTRAITS,Paola Binda,PISA,1,Starting Grants,2018,1490375.0
842243,NeuroSoNew,Giorgio Vallortigara,TRENTO,1,Proof of Concept,2018,149945.0
832813,GenPercept,David Burr,FIRENZE,1,Advanced Grants,2018,2480969.38
833504,SPANUMBRA,Giorgio Vallortigara,TRENTO,1,Advanced Grants,2018,2628333.0
759651,HANDmade,Viviana Betti,"ROMA ""La Sapienza""",1,Starting Grants,2017,1494662.0
779604,MoViS,Giorgio Vallortigara,TRENTO,1,Proof of Concept,2017,149936.0
773202,BabyRhythm,Judit Gervain,PADOVA,1,Consolidator Grants,2017,1621250.0
772953,LIGHTUP,Marco Tamietto,TORINO,1,Consolidator Grants,2017,1994212.0
789058,eHONESTY,Salvatore Maria Aglioti,"ROMA ""La Sapienza""",1,Advanced Grants,2017,2497188.0
679010,STATLEARN,Davide Crepaldi,SISSA - TRIESTE,1,Starting Grants,2015,1498210.0
682117,BiT,Domenica Bueti,SISSA - TRIESTE,1,Consolidator Grants,2015,1670830.0
640594,CRASK,Scott Laurence Fairhall,TRENTO,1,Starting Grants,2014,1472502.0
640638,Objectivity,Jan (Michael) Sprenger,TORINO,1,Starting Grants,2014,1487928.0
617629,Transfer-Learning,Giorgio Coricelli,TRENTO,1,Consolidator Grants,2013,1999998.0
338866,ECSPLAIN,Maria Concetta Morrone,PISA,1,Advanced Grants,2013,2493000.0
339939,Perceptual Awareness,Carlo Alberto Marzi,VERONA,1,Advanced Grants,2013,2139556.0
313658,CoPeST,David Paul Melcher,TRENTO,1,Starting Grants,2012,1002102.0
313692,LEX-MEA,Antonino Vallesi,PADOVA,1,Starting Grants,2012,1475950.0
323606,Parietalaction,Guy A. Orban,PARMA,1,Advanced Grants,2012,2475000.0
283554,COMPOSES,Marco Baroni,TRENTO,1,Starting Grants,2011,1117636.0
295517,PREMESOR,Giorgio Vallortigara,TRENTO,1,Advanced Grants,2011,2367922.0
263318,NeuroInt,Uri Hasson,TRENTO,1,Starting Grants,2010,978678.0
269502,PASCAL,Jacques Mehler,SISSA - TRIESTE,1,Advanced Grants,2010,2500000.0
241176,ODMIR,Chiara Turati,MILANO-BICOCCA,1,Starting Grants,2009,1208400.0
229445,STANIB,David Burr,FIRENZE,1,Advanced Grants,2008,2376000.0
210922,GENMOD,Marco Zorzi,PADOVA,1,Starting Grants,2007,492200.0
101164219,COST-X,Neri Marsili,TORINO,1,Starting Grants,2024,1389776.0
101164035,ReMedY,Marilena Panarelli,PALERMO,1,Starting Grants,2024,1498828.0
101164324,UnMaP,Silvia Di Vincenzo,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2024,1417204.0
101171020,ArOMa,Elisa Coda,PISA,1,Consolidator Grants,2024,1555956.0
101171475,NEWWORLD,Cecilia Muratori,PAVIA,1,Consolidator Grants,2024,1999663.0
101170566,TabulaRasa,Michele Cammarosano,"""L'Orientale"" di NAPOLI",1,Consolidator Grants,2024,1990000.0
101115616,ALiDiM,Simona Olivieri,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2023,1496241.0
101117162,I-STREAM,Ofer Gazit,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2023,1302500.0
101118016,MEGAMAPS,Sara Borrillo,"""L'Orientale"" di NAPOLI",1,Starting Grants,2023,1478750.0
101137707,TIMELAPSE,Andrea Pinotti,MILANO,1,Proof of Concept,2023,150000.0
101142420,18ETHICS,Stefano Bacin,MILANO,1,Advanced Grants,2023,1463694.0
101100643,EUFACETS,Massimo Leone,TORINO,1,Proof of Concept,2022,150000.0
101088645,AIMODELS,Matteo Pasquinelli,"""Ca' Foscari"" VENEZIA",1,Consolidator Grants,2022,1927573.0
101086695,APATHES,Christian Vassallo,TORINO,1,Consolidator Grants,2022,1999587.0
101088363,CAncAn,Annick Payne,"""Ca' Foscari"" VENEZIA",1,Consolidator Grants,2022,1598515.0
101088698,SIQILLIYA,Nicola Carpentieri,PADOVA,1,Consolidator Grants,2022,1931221.0
101039777,ABSTRACTION,Marianna Marcella Bolognesi,BOLOGNA,1,Starting Grants,2021,1392265.0
101041826,FragArist,Gertjan Verhasselt,PADOVA,1,Starting Grants,2021,1500000.0
101042338,HEMIG,Lorenzo Pezzani,BOLOGNA,1,Starting Grants,2021,1499855.0
101040302,LeviNeT,Martina Mengoni,FERRARA,1,Starting Grants,2021,1190125.0
101040535,PEA,Enrico Terrone,GENOVA,1,Starting Grants,2021,1493753.0
101041596,PolyphonicPhilosophy,Caterina Tarlazzi,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2021,1498215.0
101042655,SCRIBEMUS,Giovanni Varelli,PAVIA,1,Starting Grants,2021,1497793.0
101040474,VeNiss,Ludovica Galeazzo,PADOVA,1,Starting Grants,2021,1499877.5
101054750,LAUDARE,Francesco Zimei,TRENTO,1,Advanced Grants,2021,2388928.0
949742,HealthXCross,Roberta Raffaeta,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2020,1367062.0
950084,NEMUS,Michele Ducceschi,BOLOGNA,1,Starting Grants,2020,1497265.0
950513,NONWESTLIT,Ozen Nergis Dolcerocca,BOLOGNA,1,Starting Grants,2020,1457660.0
950248,SenSArt,Zuleika Murat,PADOVA,1,Starting Grants,2020,1499328.0
949645,WRITE,Adriana Iezzi,BOLOGNA,1,Starting Grants,2020,1113750.0
851466,EJCM,Joseph Sanzo,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2019,1311355.0
865863,AdriArchCult,Jasenka Gudelj,"""Ca' Foscari"" VENEZIA",1,Consolidator Grants,2019,1999750.0
865817,PURA,Olga Tribulato,"""Ca' Foscari"" VENEZIA",1,Consolidator Grants,2019,1303437.0
885222,GreekSchools,Graziano Ranocchia,PISA,1,Advanced Grants,2019,2498356.0
882588,PAGES,Michela Rosellini,"ROMA ""La Sapienza""",1,Advanced Grants,2019,2486375.0
819649,FACETS,Massimo Leone,TORINO,1,Consolidator Grants,2018,1997803.0
834033,AN-ICON,Andrea Pinotti,MILANO,1,Advanced Grants,2018,2328736.0
758732,FLOS,Emiliano Fiori,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2017,1343175.0
757314,NeMoSanctI,Jenny Ponzo,TORINO,1,Starting Grants,2017,1051590.0
757299,PALaC,Federico Giusfredi,VERONA,1,Starting Grants,2017,1233750.0
758145,PROTEUS,Silvia De Bianchi,MILANO,1,Starting Grants,2017,1418869.0
758450,RISK,Alessandro Metlica,PADOVA,1,Starting Grants,2017,1452210.0
772544,IMPACT HAU,Marc Brightman,BOLOGNA,1,Consolidator Grants,2017,1999999.0
771127,INSCRIBE,Silvia Ferrara,BOLOGNA,1,Consolidator Grants,2017,1463337.0
769994,LiLa,Marco Carlo Passarotti,Cattolica del Sacro Cuore,1,Consolidator Grants,2017,1984500.0
786379,ArsNova,Maria Sofia Lannutti,FIRENZE,1,Advanced Grants,2017,2193375.0
786572,NOTAE,Antonella Ghignoli,"ROMA ""La Sapienza""",1,Advanced Grants,2017,1479625.0
714874,DiGe,Renata Sõukand,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2016,1496675.0
727832,OPenPal,Maurizio Ghelardi,Università IUAV di VENEZIA,1,Proof of Concept,2016,150000.0
724914,AlchemEast,Matteo Martelli,BOLOGNA,1,Consolidator Grants,2016,1997000.0
678711,INCOMMON,Annalisa Sacchi,Università IUAV di VENEZIA,1,Starting Grants,2015,1452685.91
637533,BIFLOW,Antonio Montefusco,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2014,1480625.0
639276,PhilPharm,Barbara Osimani,Politecnica delle MARCHE,1,Starting Grants,2014,1500000.0
636983,PLATINUM,Maria Chiara Scappaticcio,Napoli Federico II,1,Starting Grants,2014,1485712.0
335949,ARISTOTLE,Marco Sgarbi,"""Ca' Foscari"" VENEZIA",1,Starting Grants,2013,1483180.0
339828,DIGMEDTEXT,Isabella Andorlini,PARMA,1,Advanced Grants,2013,654836.0
339621,PhiBor,Amos Bertolacci,Scuola IMT Alti Studi LUCCA,1,Advanced Grants,2013,1140800.0
295960,COSMED,Rosario Marco Nobile,PALERMO,1,Advanced Grants,2011,1203960.0
295620,LOOKINGATWORDS,Lina Bolzoni,Scuola Normale Superiore di PISA,1,Advanced Grants,2011,1376200.0
295550,SIXXI,Sergio Poretti,"ROMA ""Tor Vergata""",1,Advanced Grants,2011,987270.0
263549,HistAntArtSI,Bianca De Divitiis,Napoli Federico II,1,Starting Grants,2010,1500000.0
269774,DASI,Alessandra Avanzini,PISA,1,Advanced Grants,2010,2129200.0
249483,EUROCORR,Maurizio Ghelardi,Scuola Normale Superiore di PISA,1,Advanced Grants,2009,1215600.0
249431,Greek into Arabic,Cristina D'Ancona,PISA,1,Advanced Grants,2009,2106380.99
101165261,COLIBRI,Matilde Malaspina,"ROMA ""La Sapienza""",1,Starting Grants,2024,1495625.0
101115916,INWOOD,Giacomo Bonan,TORINO,1,Starting Grants,2023,1489901.0
101125532,AviArch,Beatrice Demarchi,TORINO,1,Consolidator Grants,2023,1999969.0
101124518,EU-GUNS,Matteo Millan,PADOVA,1,Consolidator Grants,2023,1999913.0
101126116,PatriFem,Denise Bezzina,GENOVA,1,Consolidator Grants,2023,1960215.0
101124725,REDMIX,Valentina Fusari,TORINO,1,Consolidator Grants,2023,1864059.0
101077793,DEMALPS,Marta Gravela,TORINO,1,Starting Grants,2022,1495320.0
101077348,MOTHERS,Alessia Nava,"ROMA ""La Sapienza""",1,Starting Grants,2022,1499923.0
101088489,WO-NAM,Chiara Bonfiglioli,"""Ca' Foscari"" VENEZIA",1,Consolidator Grants,2022,1985458.0
101043954,FeBo,Elena Franchi,TRENTO,1,Consolidator Grants,2021,668961.0
101044437,SSE1K,Helen Foxhall Forbes,"""Ca' Foscari"" VENEZIA",1,Consolidator Grants,2021,1998963.0
101043939,UseFool,Lucia Raggetti,BOLOGNA,1,Consolidator Grants,2021,1943208.0
101054143,IN-ROME,Barbara E. Borg,Scuola Normale Superiore di PISA,1,Advanced Grants,2021,2498457.0
101002811,FELIX,Claudio Ottoni,"ROMA ""Tor Vergata""",1,Consolidator Grants,2020,1999420.0
101001839,GEODAP,Cristiano Nicosia,PADOVA,1,Consolidator Grants,2020,1987141.0
101001857,HOLYLAB,Felicita Tramontana,ROMA TRE,1,Consolidator Grants,2020,1964456.0
101002084,MICOLL,Stefania Gialdroni,PADOVA,1,Consolidator Grants,2020,1610593.0
101002763,RESP,Dario Calomino,VERONA,1,Consolidator Grants,2020,1998026.0
101020613,Graff-IT,Carlo Tedeschi,CHIETI-PESCARA,1,Advanced Grants,2020,2499731.0
101019166,HumanEuroMed,Silvia Salvatici,FIRENZE,1,Advanced Grants,2020,1968945.0
853539,ANTIGONE,Anna Maria Stagno,GENOVA,1,Starting Grants,2019,1498000.0
865067,ArmEn,Zaroui Pogossian,FIRENZE,1,Consolidator Grants,2019,1999994.0
803147,RESOLUTION,Sahra Talamo,BOLOGNA,1,Starting Grants,2018,1499381.0
803624,SHIVADHARMA,Florinda De Simini,"""L'Orientale"" di NAPOLI",1,Starting Grants,2018,1499348.75
803644,SpoilsofWAR,Tamas Vonyo,Bocconi MILANO,1,Starting Grants,2018,1498798.0
818098,TACITROOTS,Giulia Giannini,MILANO,1,Consolidator Grants,2018,1708206.0
833834,Water-Cultures,David Gentilcore,"""Ca' Foscari"" VENEZIA",1,Advanced Grants,2018,2444549.0
759829,DISCOMPOSE,Domenico Cecere,Napoli Federico II,1,Starting Grants,2017,1481813.0
725883,EarlyModernCosmology,Pietro Daniel Omodeo,"""Ca' Foscari"" VENEZIA",1,Consolidator Grants,2016,1999976.0
725687,SMITE,Guido Alfani,Bocconi MILANO,1,Consolidator Grants,2016,1499375.0
724046,SUCCESS,Stefano Benazzi,BOLOGNA,1,Consolidator Grants,2016,1993811.0
677199,PREWArAs,Matteo Millan,PADOVA,1,Starting Grants,2015,1448776.0
681673,L.I.F.E.,Corinna Rossi,Politecnico di MILANO,1,Consolidator Grants,2015,1994932.5
694476,EMoBookTrade,Angela Nuovo,MILANO,1,Advanced Grants,2015,1434375.0
687567,PAThs,Paola Buzi,"ROMA ""La Sapienza""",1,Advanced Grants,2015,2192507.0
639286,HIDDEN FOODS,Emanuela Cristiani,"ROMA ""La Sapienza""",1,Starting Grants,2014,1499856.0
